placa,plan_type,protections_allowed,protections_used,status,valid_until,reset_cycle_days,requires_manual_review
LAB-070,proteccion_basica,2,1,active,2026-03-26,240,no
LAB-071,proteccion_total,3,0,active,2025-11-22,365,no
LAB-072,proteccion_basica,2,1,active,2025-12-15,240,no
LAB-073,proteccion_total,3,3,active,2026-03-03,365,no
LAB-074,proteccion_ilimitada,4,0,active,2026-03-10,180,no
LAB-075,proteccion_ilimitada,4,3,expired,2026-02-13,180,yes
LAB-076,proteccion_ilimitada,4,1,active,2026-01-14,180,no
LAB-077,proteccion_total,3,1,active,2026-01-20,365,yes
LAB-078,proteccion_basica,2,1,active,2026-02-06,240,no
LAB-079,proteccion_basica,2,0,active,2026-01-29,240,no
LAB-080,proteccion_caduca,2,1,active,2026-01-30,365,no
LAB-081,proteccion_caduca,2,2,active,2026-04-15,365,no
LAB-082,proteccion_light,1,0,active,2026-02-18,180,no
LAB-083,proteccion_basica,2,2,active,2025-12-19,240,no
LAB-084,proteccion_light,1,1,active,2026-01-18,180,no
LAB-085,proteccion_basica,2,2,active,2025-12-25,240,no
LAB-086,proteccion_total,3,1,active,2026-02-19,365,no
LAB-087,proteccion_light,1,0,active,2026-04-22,180,no
LAB-088,proteccion_ilimitada,4,4,active,2026-04-29,180,no
LAB-089,proteccion_caduca,2,1,active,2026-03-29,365,no
LAB-090,proteccion_basica,2,0,active,2026-04-30,240,no
LAB-091,proteccion_basica,2,2,active,2025-11-22,240,no
LAB-092,proteccion_light,1,0,active,2026-01-23,180,no
LAB-093,proteccion_light,1,1,active,2025-12-27,180,no
LAB-094,proteccion_light,1,0,active,2026-01-13,180,no
LAB-095,proteccion_total,3,2,active,2025-11-17,365,no
LAB-096,proteccion_total,3,1,active,2026-01-23,365,no
LAB-097,proteccion_total,3,0,expired,2026-05-01,365,yes
LAB-098,proteccion_basica,2,2,active,2026-01-28,240,no
LAB-099,proteccion_total,3,2,active,2026-02-02,365,no
LAB-100,proteccion_total,3,3,active,2026-02-03,365,no
LAB-101,proteccion_basica,2,0,active,2026-01-01,240,no
LAB-102,proteccion_total,3,3,expired,2026-03-22,365,yes
LAB-103,proteccion_light,1,0,active,2026-04-20,180,no
LAB-104,proteccion_basica,2,1,active,2025-11-27,240,no
LAB-105,proteccion_total,3,3,active,2025-11-26,365,no
LAB-106,proteccion_light,1,1,active,2026-03-07,180,no
LAB-107,proteccion_ilimitada,4,1,active,2026-02-02,180,no
LAB-108,proteccion_light,1,0,expired,2026-05-05,180,yes
LAB-109,proteccion_basica,2,0,active,2026-04-28,240,no
LAB-110,proteccion_total,3,2,active,2026-02-06,365,no
LAB-111,proteccion_total,3,1,active,2025-12-18,365,no
LAB-112,proteccion_total,3,2,active,2025-11-23,365,no
LAB-113,proteccion_caduca,2,2,active,2025-11-30,365,yes
LAB-114,proteccion_caduca,2,1,active,2026-01-09,365,no
LAB-115,proteccion_light,1,0,active,2026-02-02,180,no
LAB-116,proteccion_basica,2,0,active,2026-03-17,240,no
LAB-117,proteccion_light,1,1,active,2026-02-17,180,no
LAB-118,proteccion_caduca,2,1,active,2026-04-14,365,no
LAB-119,proteccion_total,3,1,active,2026-03-17,365,no
LAB-120,proteccion_light,1,1,active,2026-04-01,180,no
LAB-121,proteccion_caduca,2,2,active,2026-02-26,365,no
LAB-122,proteccion_light,1,1,active,2026-04-25,180,no
LAB-123,proteccion_total,3,1,active,2025-12-08,365,no
LAB-124,proteccion_ilimitada,4,2,active,2026-01-04,180,no
LAB-125,proteccion_caduca,2,1,active,2026-01-04,365,no
LAB-126,proteccion_total,3,1,active,2026-01-11,365,no
LAB-127,proteccion_total,3,0,active,2025-12-19,365,no
LAB-128,proteccion_basica,2,0,active,2026-01-09,240,no
LAB-129,proteccion_basica,2,0,active,2025-11-24,240,no
LAB-130,proteccion_caduca,2,1,active,2026-02-19,365,no
LAB-131,proteccion_light,1,1,active,2025-12-10,180,no
LAB-132,proteccion_basica,2,2,active,2026-03-14,240,no
LAB-133,proteccion_total,3,1,active,2025-12-02,365,no
LAB-134,proteccion_ilimitada,4,4,active,2026-01-17,180,no
LAB-135,proteccion_light,1,0,active,2026-04-10,180,no
LAB-136,proteccion_total,3,3,active,2026-02-05,365,no
LAB-137,proteccion_basica,2,0,active,2026-03-22,240,no
LAB-138,proteccion_ilimitada,4,3,active,2025-11-25,180,no
LAB-139,proteccion_ilimitada,4,0,active,2026-04-08,180,no
LAB-140,proteccion_light,1,0,active,2026-04-25,180,no
LAB-141,proteccion_light,1,0,active,2026-01-15,180,no
LAB-142,proteccion_ilimitada,4,0,active,2025-12-26,180,no
LAB-143,proteccion_total,3,2,active,2026-03-24,365,no
LAB-144,proteccion_basica,2,0,active,2026-03-14,240,no
LAB-145,proteccion_ilimitada,4,4,active,2026-02-06,180,no
LAB-146,proteccion_light,1,1,active,2026-01-14,180,yes
LAB-147,proteccion_basica,2,2,active,2026-03-15,240,no
LAB-148,proteccion_total,3,3,active,2026-03-22,365,no
LAB-149,proteccion_total,3,0,active,2026-03-23,365,no
LAB-150,proteccion_caduca,2,1,active,2026-01-26,365,no
LAB-151,proteccion_total,3,2,active,2025-12-09,365,no
LAB-152,proteccion_total,3,2,active,2026-04-20,365,no
LAB-153,proteccion_basica,2,1,active,2026-02-21,240,yes
LAB-154,proteccion_basica,2,0,active,2026-02-12,240,no
LAB-155,proteccion_total,3,2,active,2025-11-26,365,yes
LAB-156,proteccion_basica,2,1,expired,2026-03-12,240,yes
LAB-157,proteccion_total,3,2,active,2025-11-20,365,no
LAB-158,proteccion_ilimitada,4,1,active,2025-11-22,180,yes
LAB-159,proteccion_light,1,1,active,2025-12-08,180,no
LAB-160,proteccion_caduca,2,0,active,2026-01-06,365,no
LAB-161,proteccion_caduca,2,1,active,2025-12-12,365,no
LAB-162,proteccion_light,1,1,active,2026-03-29,180,no
LAB-163,proteccion_basica,2,2,active,2025-12-07,240,no
LAB-164,proteccion_basica,2,1,active,2026-05-04,240,no
LAB-165,proteccion_ilimitada,4,4,active,2026-01-18,180,no
LAB-166,proteccion_caduca,2,2,active,2026-01-07,365,no
LAB-167,proteccion_total,3,1,active,2026-05-05,365,no
LAB-168,proteccion_light,1,1,active,2026-03-04,180,no
LAB-169,proteccion_total,3,1,active,2025-11-30,365,no
LAB-170,proteccion_ilimitada,4,1,active,2026-03-03,180,no
LAB-171,proteccion_total,3,1,active,2026-04-05,365,no
LAB-172,proteccion_total,3,2,expired,2026-01-03,365,yes
LAB-173,proteccion_caduca,2,2,active,2025-12-21,365,no
LAB-174,proteccion_light,1,1,active,2025-12-22,180,no
LAB-175,proteccion_caduca,2,0,active,2026-03-20,365,no
LAB-176,proteccion_basica,2,0,active,2026-02-22,240,no
LAB-177,proteccion_total,3,1,active,2025-11-20,365,no
LAB-178,proteccion_total,3,3,active,2026-03-16,365,no
LAB-179,proteccion_basica,2,1,active,2026-04-28,240,no
LAB-180,proteccion_caduca,2,1,active,2026-01-27,365,no
LAB-181,proteccion_basica,2,2,active,2026-02-09,240,no
LAB-182,proteccion_caduca,2,0,active,2025-12-22,365,no
LAB-183,proteccion_light,1,0,active,2025-12-31,180,no
LAB-184,proteccion_total,3,1,active,2026-04-06,365,no
LAB-185,proteccion_light,1,1,active,2026-04-14,180,no
LAB-186,proteccion_ilimitada,4,3,active,2025-12-12,180,no
LAB-187,proteccion_total,3,2,active,2025-11-16,365,yes
LAB-188,proteccion_basica,2,1,active,2026-02-13,240,no
LAB-189,proteccion_total,3,2,active,2026-02-17,365,no
LAB-190,proteccion_total,3,1,active,2025-12-02,365,no
LAB-191,proteccion_total,3,1,active,2026-02-10,365,no
LAB-192,proteccion_total,3,1,active,2026-01-16,365,no
LAB-193,proteccion_basica,2,0,active,2025-11-14,240,no
LAB-194,proteccion_basica,2,2,active,2026-02-26,240,no
LAB-195,proteccion_light,1,0,active,2026-04-28,180,no
LAB-196,proteccion_total,3,1,active,2025-11-22,365,no
LAB-197,proteccion_caduca,2,1,active,2026-03-26,365,no
LAB-198,proteccion_basica,2,2,active,2025-11-28,240,no
LAB-199,proteccion_light,1,0,active,2026-04-14,180,no
