placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,fault_events_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-015,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2025-12-15,365,False,19000,11836.75,7382.84,19219.59,0.0,1.022,0.518,0.25,18679.89,9836.03,4753.09,802.66,26.76,194.37,86.55,40.99,2288.7,77.3,1,0,0,1,0,2025-09-03,baseline,baseline
LAB-016,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,1,3,active,2025-12-24,180,False,20500,10997.61,5502.13,16499.74,4000.26,0.1,0.05,0.033,1974.67,1025.0,674.98,200.0,6.67,58.06,29.95,8.53,555.1,18.3,0,1,0,1,0,2025-08-11,consumption_gap,consumption_gap
LAB-017,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2025-12-31,180,False,13500,6800.1,6748.29,13548.39,0.0,0.85,0.866,0.896,10275.3,11687.38,12095.84,783.5,26.12,23.64,23.64,23.64,2532.1,87.1,0,0,0,1,0,2025-07-16,baseline,baseline
LAB-018,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2025-12-11,180,False,13500,8409.14,6164.07,14573.21,0.0,0.1,0.062,0.062,1470.32,836.58,836.58,200.0,6.67,22.91,22.91,22.91,563.1,21.8,0,0,0,1,0,2025-08-30,baseline,baseline
LAB-019,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-14,240,False,16800,11104.59,5094.55,16199.14,600.86,1.071,1.035,1.066,15367.75,17390.24,17911.56,736.49,24.55,280.0,139.34,69.28,2165.1,79.5,2,0,0,0,0,2025-09-05,baseline,baseline
LAB-020,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,2,-1,expired,2026-04-21,365,True,17200,6037.47,4898.75,10936.22,6263.78,1.6,1.5,1.4,29603.96,25800.0,24080.0,3800.0,126.67,3.28,4.0,1.74,10087.3,336.3,0,0,0,1,0,2025-08-04,delinquency,proteccion_negativa
LAB-021,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2025-12-28,365,False,19000,13195.66,6903.48,20099.14,0.0,0.487,0.433,0.143,9254.31,8223.58,2715.39,277.4,9.25,280.0,122.15,28.94,784.1,27.7,2,0,0,0,0,2025-09-04,baseline,baseline
LAB-022,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,expired,2026-05-05,240,True,16800,4156.09,6122.21,10278.3,6521.7,0.358,0.259,0.032,6122.67,4344.16,533.32,200.0,6.67,279.39,99.96,66.72,578.8,20.8,2,0,0,1,1,2025-07-05,delinquency,promesa_incumplida
LAB-023,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,0,1,active,2025-11-19,180,False,13500,5999.54,4493.31,10492.85,3007.15,1.6,1.5,1.4,18401.43,20250.0,18900.0,3800.0,126.67,5.76,1.16,0.84,10046.5,316.9,0,1,0,1,0,2025-08-17,consumption_gap,consumption_gap
LAB-024,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-27,240,False,16800,7833.61,10067.52,17901.13,0.0,0.889,0.889,0.883,16195.73,14927.29,14842.7,422.65,14.09,23.37,23.37,23.37,1255.2,44.3,0,0,0,1,0,2025-08-29,baseline,baseline
LAB-025,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2025-11-22,180,False,13500,6809.98,7100.8,13910.78,0.0,0.439,0.201,0.099,5559.45,2712.27,1340.88,365.63,12.19,280.0,133.97,67.14,1214.0,41.1,2,0,0,0,0,2025-06-03,baseline,baseline
LAB-026,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-04-23,365,False,19000,10420.35,7197.95,17618.3,1381.7,0.317,0.19,0.272,5936.71,3613.67,5167.11,200.0,6.67,280.0,160.0,96.0,597.2,20.9,4,0,1,0,0,2025-07-11,fault_alert,fault_alert
LAB-027,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-02-16,365,False,19000,7183.0,7506.31,14689.31,4310.69,0.478,0.435,0.099,8193.66,8258.65,1889.72,200.0,6.67,280.0,110.61,61.4,592.7,19.2,1,1,0,1,0,2025-09-04,consumption_gap,consumption_gap
LAB-028,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-01-22,365,False,19000,12353.23,8147.37,20500.6,0.0,1.505,1.45,1.316,29238.33,27544.01,24995.66,3800.0,126.67,5.34,1.46,4.38,10691.6,384.5,0,0,0,1,0,2025-08-13,baseline,baseline
LAB-029,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-04-17,180,False,13500,7888.98,5266.0,13154.98,345.02,0.179,0.098,0.081,2287.03,1323.88,1097.56,200.0,6.67,42.4,17.08,0.71,578.0,20.5,0,0,0,1,0,2025-07-28,baseline,baseline
LAB-030,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2025-12-30,365,False,17200,10675.7,6059.45,16735.15,464.85,0.539,0.248,0.127,9769.51,4268.84,2192.28,448.77,14.96,265.93,125.57,63.24,1198.4,38.1,1,0,0,0,0,2025-08-24,baseline,baseline
LAB-031,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-02-26,365,True,19000,10335.0,7918.16,18253.16,746.84,1.6,1.5,1.4,30858.31,28500.0,26600.0,3800.0,126.67,4.55,5.72,4.38,11834.8,396.5,2,0,1,1,0,2025-06-04,fault_alert,fault_alert
LAB-032,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,0,2,active,2025-12-26,365,False,17200,9902.53,7077.62,16980.15,-2053.36,0.405,0.341,0.273,6271.48,5871.87,4700.15,200.0,6.67,280.0,160.0,90.77,548.2,18.8,1,0,0,0,0,2025-08-12,baseline,baseline
LAB-033,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-01-22,365,False,19000,9209.09,9754.88,18963.97,36.03,0.44,0.186,0.089,8297.72,3525.39,1683.83,358.0,11.93,280.0,131.9,67.36,1067.1,38.4,2,0,0,0,0,2025-06-28,baseline,baseline
LAB-034,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-19,180,False,13500,7504.45,5904.22,13408.67,91.33,1.125,1.119,1.071,15313.58,15108.04,14459.52,534.63,17.82,263.04,125.57,62.78,1740.8,65.2,4,0,1,0,0,2025-08-15,fault_alert,fault_alert
LAB-035,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2025-12-14,240,False,16800,8400.43,7763.99,16164.42,635.58,0.576,0.243,0.12,9842.06,4080.09,2016.41,483.6,16.12,256.97,125.76,63.37,1636.5,60.4,1,0,0,0,0,2025-06-18,baseline,baseline
LAB-036,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2026-04-23,365,False,17200,7693.29,5893.71,13587.0,3613.0,0.843,0.881,0.856,13822.92,15152.4,14726.45,688.46,22.95,87.82,87.82,23.82,2218.4,70.6,0,1,0,1,0,2025-08-23,consumption_gap,consumption_gap
LAB-037,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,expired,2025-12-01,365,True,17200,7315.52,6851.16,14166.68,3033.32,0.987,0.992,1.024,15462.48,17056.67,17619.78,703.44,23.45,106.62,106.62,72.38,1940.2,66.2,0,0,0,1,1,2025-06-14,delinquency,promesa_incumplida
LAB-038,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-03-12,240,False,16800,6956.97,5593.58,12550.55,4249.45,0.389,0.314,0.117,6019.45,5281.75,1959.08,200.0,6.67,280.0,140.05,96.0,601.9,23.1,1,0,0,0,1,2025-06-13,delinquency,promesa_incumplida
LAB-039,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2025-12-18,180,True,13500,7151.1,5322.22,12473.32,1026.68,0.532,0.254,0.119,6508.79,3429.73,1606.63,439.95,14.66,266.16,125.48,62.42,1370.4,49.1,4,0,1,0,0,2025-07-05,fault_alert,fault_alert
LAB-040,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2025-12-04,365,False,17200,8970.21,8359.55,17329.76,0.0,0.671,0.582,0.075,11852.67,10005.56,1282.75,200.0,6.67,280.0,131.66,75.22,658.6,21.5,1,0,0,0,0,2025-06-30,baseline,baseline
LAB-041,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-28,180,False,13500,6506.67,4368.74,10875.41,2624.59,0.455,0.328,0.02,5787.08,4425.03,270.0,200.0,6.67,280.0,160.0,96.0,526.6,16.9,4,0,1,0,0,2025-06-25,fault_alert,fault_alert
LAB-042,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-03-01,365,True,19000,8816.82,8127.77,16944.59,2055.41,0.317,0.28,0.195,6461.62,5329.46,3709.89,200.0,6.67,280.0,160.0,96.0,579.6,18.2,5,0,1,0,0,2025-07-28,fault_alert,fault_alert
LAB-043,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-17,180,False,13500,7474.37,6047.31,13521.68,0.0,0.177,0.177,0.112,2501.43,2394.93,1508.05,200.0,6.67,130.73,130.73,73.32,622.1,20.2,0,0,0,0,0,2025-08-14,baseline,baseline
LAB-044,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2026-03-27,180,False,20500,14093.14,7288.56,21381.7,0.0,1.366,1.361,1.343,26450.86,27901.96,27532.89,3800.0,126.67,0.94,4.85,4.24,10226.8,401.9,0,0,0,1,0,2025-06-07,baseline,baseline
LAB-045,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2025-12-02,365,False,19000,9435.3,9273.89,18709.19,290.81,0.89,0.403,0.204,16825.67,7660.08,3875.54,726.66,24.22,209.7,98.67,49.03,2095.4,70.0,2,0,0,1,0,2025-07-04,baseline,baseline
LAB-046,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-02-12,365,False,17200,10403.02,6212.33,16615.35,584.65,1.6,1.5,1.4,29540.28,25800.0,24080.0,3800.0,126.67,4.93,0.64,5.95,12409.1,414.0,0,0,0,1,0,2025-05-31,baseline,baseline
LAB-047,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2026-01-05,240,False,16800,7427.0,7699.32,15126.32,1673.68,1.6,1.5,1.4,29513.76,25200.0,23520.0,3800.0,126.67,4.7,5.71,5.5,12644.3,474.9,0,1,0,1,0,2025-08-20,consumption_gap,consumption_gap
LAB-048,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,2,2,active,2026-03-27,180,False,20500,11785.84,6094.85,17880.69,2619.31,0.236,0.186,0.139,5005.37,3820.59,2854.12,200.0,6.67,13.92,7.68,10.61,565.4,21.6,5,0,1,1,0,2025-07-11,fault_alert,fault_alert
LAB-049,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2025-12-14,365,False,17200,9621.74,7201.54,16823.28,376.72,0.391,0.368,0.188,7068.33,6325.25,3227.36,200.0,6.67,280.0,160.0,67.84,541.0,19.9,1,0,0,0,0,2025-08-25,baseline,baseline
LAB-050,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2026-01-17,240,False,16800,9735.85,6233.32,15969.17,830.83,0.572,0.237,0.123,9728.47,3987.31,2066.79,504.2,16.81,270.24,123.67,62.72,1527.8,58.8,2,0,0,0,0,2025-08-02,baseline,baseline
LAB-051,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,0,3,active,2026-03-14,365,False,19000,12678.66,7786.45,20465.11,0.0,0.556,0.257,0.156,8981.15,4876.34,2971.37,509.24,16.97,269.92,125.86,63.28,1402.4,50.2,2,0,0,0,0,2025-07-26,baseline,baseline
LAB-052,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,2,2,active,2026-05-01,180,False,20500,9554.35,6677.38,16231.73,4268.27,0.514,0.218,0.116,10517.21,4469.51,2375.0,432.64,14.42,271.98,128.03,64.78,1184.8,38.3,1,1,0,0,0,2025-08-02,consumption_gap,consumption_gap
LAB-053,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,3,1,active,2025-11-22,180,False,20500,10614.29,8644.41,19258.7,1241.3,1.383,0.657,0.338,26256.19,13459.86,6925.95,1086.09,36.2,133.48,61.74,29.76,3379.5,122.9,2,0,1,1,0,2025-07-22,fault_alert,fault_alert
LAB-054,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2026-01-04,365,False,17200,9049.58,8593.77,17643.35,0.0,1.049,0.473,0.223,17058.33,8143.33,3842.27,1048.46,34.95,186.56,85.31,42.85,2786.9,87.3,1,0,0,1,0,2025-07-29,baseline,baseline
LAB-055,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-01-25,365,False,19000,11304.59,4800.36,16104.95,2895.05,0.1,0.05,0.02,1759.38,950.0,380.0,200.0,6.67,11.84,11.84,11.84,522.3,19.3,2,0,1,1,0,2025-06-10,fault_alert,fault_alert
LAB-056,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-19,240,False,16800,8584.11,8811.73,17395.84,-1055.54,1.6,1.5,1.4,24226.77,25200.0,23520.0,3800.0,126.67,3.19,1.68,1.01,12051.4,421.1,0,0,0,1,0,2025-09-01,baseline,baseline
LAB-057,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-02-28,180,False,13500,6890.53,6509.25,13399.78,100.22,0.104,0.074,0.062,1458.02,999.04,837.8,200.0,6.67,11.01,8.83,3.75,554.3,20.1,0,0,0,1,0,2025-08-03,baseline,baseline
LAB-058,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-15,240,False,16800,7890.46,8477.4,16367.86,432.14,1.6,1.5,1.4,27942.59,25200.0,23520.0,3800.0,126.67,5.95,5.14,4.82,12129.0,417.8,0,0,0,1,0,2025-07-17,baseline,baseline
LAB-059,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-02-12,240,False,16800,10868.13,7262.42,18130.55,0.0,1.135,1.155,1.19,18486.85,19404.43,19992.77,378.87,12.63,11.78,11.78,11.78,1150.3,38.5,0,0,0,1,0,2025-08-16,baseline,baseline
LAB-060,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-03-04,365,False,19000,11201.23,7929.77,19131.0,0.0,0.231,0.156,0.143,4063.29,2963.61,2712.71,200.0,6.67,280.0,160.0,96.0,524.6,20.9,1,0,0,0,0,2025-07-02,baseline,baseline
LAB-061,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-04-03,180,False,13500,7170.49,6578.69,13749.18,0.0,0.226,0.117,0.086,2851.82,1578.53,1162.43,200.0,6.67,49.02,32.58,4.83,675.3,24.4,0,0,0,1,0,2025-07-22,baseline,baseline
LAB-062,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2026-02-01,365,False,17200,7969.76,9249.76,17219.52,0.0,1.081,0.487,0.229,18388.77,8369.13,3947.22,1187.79,39.59,169.94,80.05,41.47,3542.5,112.6,0,0,0,1,0,2025-06-16,baseline,baseline
LAB-063,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-01-20,365,False,19000,8255.87,8361.79,16617.66,2382.34,1.214,1.206,1.099,24368.92,22905.41,20871.7,3800.0,126.67,2.67,2.2,1.67,10992.0,434.0,2,0,1,1,0,2025-07-19,fault_alert,fault_alert
LAB-064,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,0,4,active,2026-04-06,180,False,20500,8462.12,10170.79,18632.91,1867.09,0.78,0.568,0.169,16756.95,11638.07,3459.67,200.0,6.67,280.0,160.0,75.71,567.8,19.3,1,1,0,0,0,2025-07-15,consumption_gap,consumption_gap
LAB-065,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2025-12-15,240,False,16800,8720.63,7627.18,16347.81,452.19,0.1,0.089,0.089,1766.07,1503.06,1503.06,200.0,6.67,56.45,56.45,56.45,635.1,21.2,3,0,1,1,0,2025-07-30,fault_alert,fault_alert
LAB-066,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-04-27,365,False,19000,12068.15,7940.85,20009.0,0.0,0.583,0.287,0.136,11938.17,5447.47,2583.03,505.87,16.86,263.3,120.07,59.78,1539.7,59.8,2,0,0,0,0,2025-07-30,baseline,baseline
LAB-067,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,0,1,active,2025-12-29,180,False,13500,8234.67,5400.22,13634.89,-952.6,0.94,0.9,0.922,12361.43,12156.72,12446.81,503.03,16.77,260.24,119.38,60.12,1541.9,56.1,1,0,0,1,0,2025-07-04,baseline,baseline
LAB-068,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2025-11-26,365,False,19000,10945.94,8084.11,19030.05,0.0,0.923,0.926,0.939,17213.69,17602.29,17846.2,544.29,18.14,13.46,0.0,0.0,1705.6,64.1,0,0,0,1,0,2025-09-08,baseline,baseline
LAB-069,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-02-10,240,False,16800,9755.09,7332.47,17087.56,0.0,0.476,0.218,0.11,7659.61,3662.28,1851.8,402.83,13.43,280.0,130.36,65.44,1156.8,38.7,2,0,0,0,0,2025-08-08,baseline,baseline
LAB-070,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,1,1,active,2026-03-26,240,False,16800,7131.72,6424.53,13556.25,3243.75,0.649,0.501,0.409,10838.18,8412.27,6869.38,200.0,6.67,280.0,152.18,34.59,650.3,23.2,5,0,1,0,0,2025-09-02,fault_alert,fault_alert
LAB-071,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,0,3,active,2025-11-22,365,False,19000,8589.86,11207.89,19797.75,0.0,0.1,0.05,0.02,1965.67,950.0,380.0,200.0,6.67,11.78,11.78,11.78,551.6,19.7,0,0,0,1,0,2025-07-13,baseline,baseline
LAB-072,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2025-12-15,240,False,16800,9970.6,6570.45,16541.05,258.95,1.6,1.5,1.4,24158.31,25200.0,23520.0,3130.2,104.34,4.67,1.21,0.06,8702.0,281.3,2,0,1,1,0,2025-06-17,fault_alert,fault_alert
LAB-073,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-03-03,365,False,19000,11058.74,9262.78,20321.52,0.0,0.679,0.334,0.134,11048.82,6339.72,2550.37,493.56,16.45,243.59,111.61,54.84,1352.5,52.6,2,0,0,1,0,2025-07-04,baseline,baseline
LAB-074,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,0,4,active,2026-03-10,180,False,20500,8382.61,7187.87,15570.48,4929.52,1.6,1.5,1.4,28016.43,30750.0,28700.0,3800.0,126.67,1.79,1.41,1.49,10888.5,362.0,0,0,0,1,0,2025-07-02,delinquency,delinquency
LAB-075,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,3,1,expired,2026-02-13,180,True,20500,6480.87,4765.64,11246.51,9253.49,0.103,0.058,0.046,2101.45,1194.82,944.35,200.0,6.67,46.94,27.28,0.51,574.4,20.4,0,0,0,1,0,2025-06-01,delinquency,delinquency
LAB-076,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-01-14,180,False,20500,10245.68,7666.22,17911.9,2588.1,0.368,0.308,0.263,7242.14,6321.12,5383.63,200.0,6.67,280.0,160.0,96.0,566.5,22.4,5,0,1,0,0,2025-08-09,fault_alert,fault_alert
LAB-077,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-01-20,365,True,19000,10051.81,5845.34,15897.15,3102.85,0.456,0.229,0.108,9304.69,4346.23,2059.24,403.06,13.44,280.0,130.94,65.01,1308.7,50.0,3,0,1,0,0,2025-06-18,fault_alert,fault_alert
LAB-078,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,1,1,active,2026-02-06,240,False,16800,7924.0,8607.82,16531.82,268.18,0.805,0.793,0.81,13249.49,13317.01,13612.36,710.18,23.67,191.35,90.68,45.73,2071.2,78.1,1,0,0,1,0,2025-08-24,baseline,baseline
LAB-079,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-01-29,240,False,16800,8742.8,4167.94,12910.74,3889.26,0.1,0.05,0.02,1672.5,840.0,336.0,200.0,6.67,11.83,11.83,11.83,660.7,23.0,0,1,0,1,0,2025-08-20,consumption_gap,consumption_gap
LAB-080,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-30,365,False,17200,6422.18,9346.79,15768.97,1431.03,0.509,0.382,0.059,8564.71,6576.86,1017.33,200.0,6.67,251.29,93.57,63.46,676.1,21.4,2,1,0,1,0,2025-08-27,consumption_gap,consumption_gap
LAB-081,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,2,0,active,2026-04-15,365,False,17200,7092.46,9328.76,16421.22,778.78,0.1,0.05,0.047,1829.16,860.0,813.85,200.0,6.67,34.86,34.86,34.86,626.0,21.5,5,0,1,1,0,2025-07-23,fault_alert,fault_alert
