plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment,plaza,first_record_date,last_record_date,records_total,litros_total,recaudo_total,avg_daily_litros,avg_daily_recaudo,litros_30d,recaudo_30d,records_30d,litros_90d,recaudo_90d,records_90d,litros_180d,recaudo_180d,records_180d,litros_365d,recaudo_365d,records_365d,avg_30d_litros,avg_30d_recaudo,max_30d_litros,max_30d_recaudo,scenario,intent,distance_km_30d,engine_hours_30d,fault_events_30d,gps_operational_ratio,hase_consumption_gap_flag,hase_fault_alert_flag,hase_downtime_alert_flag,hase_telemetry_ok_flag
EDOMEX - TLANEPANTLA,0NXA9936,2025-06-24,0.2177198841818181,0.4939354307272727,270.28,0.914,0,,11000.0,5433.2897379999995,3151.03,2415.6802620000003,5566.7102620000005,0.736,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2024-03-27,2025-06-24,511,7468.8146,0.0,16.48744944812362,0.0,220.6121,0.0,16,886.0276000000001,0.0,64,2047.3156,0.0,146,5475.660599999999,0.0,380,466.8009125,0.0,746.505,0.0,base,,1043.4141988273311,196.1182942940255,0,0.9489085606040963,0,0,0,0
EDOMEX - ECATEPEC,1050,2024-11-01,0.0902038345454545,0.0902038345454545,22.39,0.91,0,,11000.0,992.24218,4366.82,5640.937820000001,10007.75782,0.73,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-09-12,2024-11-01,2,82.618,0.0,1.6523599999999998,0.0,42.249,0.0,1,82.618,0.0,2,82.618,0.0,2,82.618,0.0,2,41.309,0.0,42.249,0.0,base,,827.2387217847769,160.36569261182728,0,0.9184236699071012,0,0,0,0
EDOMEX - ECATEPEC,109327,2025-07-26,0.0805213725454545,0.0805213725454545,34.2,0.919,0,,11000.0,885.735098,6399.81,3714.454902,10114.264902,0.786,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-05-22,2025-07-26,3,73.7498,0.0,1.1346123076923076,0.0,29.9099,0.0,1,73.7498,0.0,3,73.7498,0.0,3,73.7498,0.0,3,24.583266666666663,0.0,43.8399,0.0,base,,1154.5847870158348,235.58860757632297,0,0.9340456948824803,0,0,0,0
EDOMEX - TLANEPANTLA,109456,2024-08-31,0.0738887954545454,0.0738887954545454,11.11,0.926,0,,11000.0,812.77675,3446.24,6740.983249999999,10187.22325,0.695,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-08-31,2024-08-31,5,67.67500000000001,0.0,67.67500000000001,0.0,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.67500000000001,0.0,5,67.675,0.0,67.675,0.0,base,,663.8172561041753,171.28445376031337,1,0.8823261427175928,0,0,0,0
EDOMEX - ECATEPEC,11G896,2025-07-29,0.1913305005454545,0.4466939739090909,284.90999999999997,0.906,0,,11000.0,4913.633713,4848.27,1238.0962869999994,6086.366287,0.758,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2025-02-08,2025-07-29,123,1166.1302,0.0,6.81947485380117,0.0,219.718,0.0,24,694.5271999999999,0.0,73,1166.1302,0.0,123,1166.1302,0.0,123,194.35503333333335,0.0,264.7481,0.0,base,,1427.631171992582,158.4237855604457,2,0.9029909235084083,0,0,0,0
EDOMEX - ECATEPEC,120053K,2025-01-17,0.6717845945454545,1.4921605227272725,102.59,0.688,0,,11000.0,16413.76575,0.0,0.0,0.0,0.438,0,monitor,FOLLOW_UP,Estado de M̩xico,2024-09-09,2025-01-17,94,3258.9010000000007,0.0,25.262798449612408,0.0,675.8330000000001,0.0,19,2622.512,0.0,72,3258.9010000000007,0.0,94,3258.9010000000007,0.0,94,651.7802,0.0,938.433,0.0,base,,1231.6643991220649,169.56226901398722,1,0.9711336490100103,0,0,0,0
EDOMEX - TLANEPANTLA,120370K,2024-06-29,0.6456379872727273,1.3021552090909092,142.95000000000002,0.668,0,,11000.0,14323.7073,0.0,0.0,0.0,0.434,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2023-09-26,2024-06-29,195,6832.146000000001,0.0,24.664787003610112,0.0,895.153,0.0,25,2622.3550000000005,0.0,76,4078.035,0.0,119,6832.146000000001,0.0,195,683.2145999999999,0.0,954.906,0.0,base,,1358.0877400853738,241.04841821266876,1,0.8653863516307739,0,0,0,0
EDOMEX - TLANEPANTLA,120466K,2025-01-24,0.5803096418181818,0.6785875227272727,127.14,0.675,0,,11000.0,7464.46275,1812.73,1722.8072500000003,3535.5372500000003,0.596,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-10-18,2025-01-24,18,549.075,0.0,5.60280612244898,0.0,43.5,0.0,1,339.918,0.0,12,549.075,0.0,18,549.075,0.0,18,137.26875,0.0,456.156,0.0,base,,954.5259681298684,179.62415547172776,3,0.9336605365307096,0,0,0,0
EDOMEX - TLANEPANTLA,120768K,2025-05-16,0.0364115904545454,0.0364115904545454,11.56,0.964,0,,11000.0,400.527495,9353.17,1246.3025049999997,10599.472505,0.723,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-05-16,2025-05-16,1,33.3495,0.0,33.3495,0.0,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,1,33.3495,0.0,33.3495,0.0,base,,1570.6980243949033,222.32598434070803,1,0.8758001887128846,0,0,0,0
EDOMEX - ECATEPEC,121368K,2024-11-07,0.07906528,0.07906528,22.48,0.921,0,,11000.0,869.7180800000001,8467.63,1662.6519200000002,10130.28192,0.738,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-10-27,2024-11-07,2,71.258,0.0,7.1258,0.0,71.258,0.0,2,71.258,0.0,2,71.258,0.0,2,71.258,0.0,2,71.258,0.0,71.258,0.0,base,,1493.1211213221977,242.76915567868872,1,0.9685155437092721,0,0,0,0
EDOMEX - TLANEPANTLA,121440K,2024-12-20,0.8591263581818182,1.754663728181818,65.53,0.611,0,,11000.0,19301.30101,0.0,0.0,0.0,0.395,0,monitor,FOLLOW_UP,Estado de M̩xico,2024-07-16,2024-12-20,72,3087.468,0.0,19.791461538461537,0.0,763.4939999999999,0.0,17,2320.1670000000004,0.0,52,3087.468,0.0,72,3087.468,0.0,72,514.5780000000001,0.0,823.345,0.0,base,,1378.3834970737619,149.32936003100505,0,0.931066153539497,0,0,0,0
EDOMEX - TLANEPANTLA,122409K,2024-04-12,0.8036902490909091,1.777881610909091,58.67,0.558,0,,11000.0,19556.69772,0.0,0.0,0.0,0.356,0,monitor,FOLLOW_UP,Estado de M̩xico,2023-10-11,2024-04-12,58,2506.603,0.0,13.697284153005464,0.0,734.733,0.0,17,1965.981,0.0,44,2453.684,0.0,57,2506.603,0.0,58,358.0861428571428,0.0,761.779,0.0,base,,794.6387078519675,231.80292862136514,0,0.9064268295738379,0,0,0,0
EDOMEX - TLANEPANTLA,122432K,2023-12-13,0.5334958245454545,1.1747953554545454,178.75,0.749,0,,11000.0,12922.74891,0.0,0.0,0.0,0.45,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2023-09-26,2023-12-13,29,1122.741,0.0,14.394115384615384,0.0,438.909,0.0,12,1122.741,0.0,29,1122.741,0.0,29,1122.741,0.0,29,374.247,0.0,518.0360000000001,0.0,base,,1066.7210037270343,176.9198559654836,0,0.8849754543112545,0,0,0,0
EDOMEX - TLANEPANTLA,1247JGE,2024-10-31,0.03930873,0.03930873,58.709999999999994,0.961,0,,11000.0,432.39603,3448.02,7119.58397,10567.60397,0.917,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-05-02,2024-10-31,5,36.003,0.0,0.1989116022099447,0.0,7.172,0.0,1,19.281,0.0,2,30.154,0.0,4,36.003,0.0,5,5.143285714285715,0.0,12.109,0.0,base,,643.8037657872288,165.99468370208513,0,0.9111582578865488,0,0,0,0
EDOMEX - TLANEPANTLA,1260079,2025-03-06,0.6834618045454546,0.6834618045454546,61.95,0.533,0,,11000.0,7518.07985,1366.91,2115.01015,3481.92015,0.523,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2024-09-23,2025-03-06,15,625.9849999999999,0.0,3.8169817073170726,0.0,91.678,0.0,2,91.678,0.0,2,625.9849999999999,0.0,15,625.9849999999999,0.0,15,104.33083333333332,0.0,534.307,0.0,base,,754.2894920675478,222.66817429435667,1,0.9840657256290439,0,0,0,0
EDOMEX - TLANEPANTLA,1387JGE,2025-07-05,0.0444563251818181,0.0444563251818181,46.46,0.956,0,,11000.0,489.019577,7461.0,3049.980423000001,10510.980423,0.863,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-04-12,2025-07-05,4,40.717699999999994,83.08000000000001,0.4905746987951806,1.0009638554216869,8.3403,0.0,1,40.717699999999994,83.08000000000001,4,40.717699999999994,83.08000000000001,4,40.717699999999994,83.08000000000001,4,13.572566666666669,27.69333333333334,32.3774,83.08000000000001,base,,1283.0489532424547,249.17559472798806,1,0.9212893005641069,0,0,0,0
EDOMEX - TLANEPANTLA,1416JFHA,2024-02-15,0.0219605809090909,0.0219605809090909,23.59,0.978,0,,11000.0,241.56639,8035.01,2723.42361,10758.43361,0.783,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2023-12-09,2024-02-15,2,20.289,45.94,0.2983676470588235,0.6755882352941176,8.04,0.0,1,20.289,45.94,2,20.289,45.94,2,20.289,45.94,2,6.763000000000001,15.313333333333333,12.249,45.94,base,,1344.762155907817,175.40230504548745,2,0.9157285344379804,0,0,0,0
EDOMEX - ECATEPEC,1507EDM016,2025-07-08,0.7694621871818181,1.4772351879090908,104.37,0.681,0,,11000.0,16249.587067,0.0,0.0,0.0,0.436,0,monitor,FOLLOW_UP,Estado de M̩xico,2024-11-03,2025-07-08,59,2598.9707,0.0,10.564921544715446,0.0,424.5871,0.0,11,1182.8877,0.0,32,2253.4557,0.0,53,2598.9707,0.0,59,288.77452222222223,0.0,475.5227,0.0,base,,1567.50973243421,208.26005664611827,2,0.9544783338900432,0,0,0,0
EDOMEX - TLANEPANTLA,1507MDF049,2024-03-17,0.0329936536363636,0.0329936536363636,11.6,0.967,0,,11000.0,362.93019,5270.62,5366.449810000001,10637.06981,0.725,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-03-17,2024-03-17,1,30.219,0.0,30.219,0.0,30.219,0.0,1,30.219,0.0,1,30.219,0.0,1,30.219,0.0,1,30.219,0.0,30.219,0.0,base,,925.825358138152,174.780093661939,0,0.9030665899164669,0,0,0,0
EDOMEX - TLANEPANTLA,1511MDF034,2024-01-28,0.016335829090909,0.016335829090909,11.8,0.984,0,,11000.0,179.69412,5651.18,5169.12588,10820.30588,0.738,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-01-28,2024-01-28,1,15.612,0.0,15.612,0.0,15.612,0.0,1,15.612,0.0,1,15.612,0.0,1,15.612,0.0,1,15.612,0.0,15.612,0.0,base,,970.4597060348689,206.51427028717134,0,0.9098393529833112,0,0,0,0
EDOMEX - TLANEPANTLA,1512EDM010,2025-05-21,0.0491318181818181,0.0491318181818181,11.41,0.951,0,,11000.0,540.45,6084.67,4374.879999999999,10459.55,0.713,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-05-21,2025-05-21,1,45.0,0.0,45.0,0.0,45.0,0.0,1,45.0,0.0,1,45.0,0.0,1,45.0,0.0,1,45.0,0.0,45.0,0.0,base,,1069.5558112758079,214.62344367852086,1,0.8971726824200267,0,0,0,0
EDOMEX - TLANEPANTLA,1602MDF050,2024-02-06,0.045858979090909,0.045858979090909,34.86,0.954,0,,11000.0,504.44877,4341.83,6153.721229999999,10495.55123,0.813,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-01-20,2024-02-06,3,43.827,0.0,2.5780588235294117,0.0,43.827,0.0,3,43.827,0.0,3,43.827,0.0,3,43.827,0.0,3,43.827,0.0,43.827,0.0,base,,789.4713590842857,213.24024665482156,1,0.8711287657461148,0,0,0,0
EDOMEX - TLANEPANTLA,1603MDF019,2025-02-11,0.0727287763636363,0.0727287763636363,57.46,0.927,0,,11000.0,800.01654,3855.11,6344.873459999999,10199.98346,0.888,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2023-11-01,2025-02-11,6,67.754,0.0,0.1450835117773019,0.0,16.779,0.0,1,16.779,0.0,1,16.779,0.0,1,40.336,0.0,4,4.234624999999999,0.0,16.779,0.0,base,,729.9215053354717,214.8255643571295,1,0.9499332899883711,0,0,0,0
EDOMEX - ECATEPEC,1610MDF004,2024-09-18,0.0226039118181818,0.0226039118181818,23.57,0.977,0,,11000.0,248.64303,6294.09,4457.266970000001,10751.35697,0.782,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-09-13,2024-09-18,2,20.703000000000003,51.75,4.140600000000001,10.35,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,2,20.703000000000003,51.75,20.703000000000003,51.75,base,,1075.7049262259338,156.2095750661029,0,0.9722243279437073,0,0,0,0
EDOMEX - TLANEPANTLA,1610MDF123,2024-05-13,0.0842604009090909,0.0842604009090909,22.49,0.916,0,,11000.0,926.86441,4393.35,5679.7855899999995,10073.13559,0.735,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2023-11-29,2024-05-13,2,78.841,0.0,0.4778242424242424,0.0,38.809,0.0,1,38.809,0.0,1,78.841,0.0,2,78.841,0.0,2,13.140166666666666,0.0,40.032,0.0,base,,826.9093490508841,223.22485635040636,4,0.9767829708939871,0,0,0,0
EDOMEX - TLANEPANTLA,1611MDF003,2025-07-31,0.198213753090909,0.4749429139999999,276.79,0.9,0,,11000.0,5224.3720539999995,4053.85,1721.7779460000006,5775.6279460000005,0.743,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2023-10-31,2025-07-31,42,587.1804,0.0,0.9203454545454544,0.0,38.839,0.0,3,148.7654,0.0,12,263.1504,0.0,20,437.3194,0.0,32,26.690018181818186,0.0,114.385,0.0,base,,1269.8139946825104,220.9700427656268,0,0.9733124113252891,0,0,0,0
EDOMEX - TLANEPANTLA,1612MDF009,2024-02-27,0.1251807427272727,0.1251807427272727,123.28,0.915,0,,11000.0,1376.98817,5410.93,4212.081829999999,9623.01183,0.92,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2023-11-15,2024-02-27,11,118.767,0.0,1.1419903846153845,0.0,9.98,0.0,1,90.201,0.0,8,118.767,0.0,11,118.767,0.0,11,29.691750000000003,0.0,63.873,0.0,base,,1037.1519188723307,221.91057466602598,0,0.913249732341319,0,0,0,0
EDOMEX - ECATEPEC,1701MDF078,2025-01-15,0.0011873127272727,0.0011873127272727,11.99,0.999,0,,11000.0,13.06044,8785.23,2201.709560000001,10986.93956,0.749,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2025-01-15,2025-01-15,1,1.044,0.0,1.044,0.0,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1,1.044,0.0,1.044,0.0,base,,1432.6781960578373,148.88846632864477,0,0.8897692669084475,0,0,0,0
EDOMEX - TLANEPANTLA,1701MDF118,2024-12-27,0.0174332536363636,0.0174332536363636,11.79,0.983,0,,11000.0,191.76579,7783.65,3024.584210000001,10808.23421,0.737,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-12-27,2024-12-27,1,15.329,0.0,15.329,0.0,15.329,0.0,1,15.329,0.0,1,15.329,0.0,1,15.329,0.0,1,15.329,0.0,15.329,0.0,base,,1300.265102002249,193.6206610896983,0,0.9393093249441152,0,0,0,0
EDOMEX - TLANEPANTLA,1703MDF193,2023-09-25,0.0513335536363636,0.0513335536363636,11.38,0.949,0,,11000.0,564.66909,5086.39,5348.94091,10435.33091,0.712,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2023-09-25,2023-09-25,1,49.059,0.0,49.059,0.0,49.059,0.0,1,49.059,0.0,1,49.059,0.0,1,49.059,0.0,1,49.059,0.0,49.059,0.0,base,,912.366641382041,189.08421584548756,1,0.9836586876668444,0,0,0,0
EDOMEX - ECATEPEC,1704EDM001,2025-07-30,0.1724189649090909,0.316863654,272.82,0.907,0,,11000.0,3485.5001939999997,6006.76,1507.7398059999996,7514.499806,0.823,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2023-11-11,2025-07-30,27,287.88939999999997,0.0,0.4598872204472843,0.0,58.4588,0.0,5,58.4588,0.0,5,118.2444,0.0,10,210.67640000000003,0.0,19,13.709019047619048,0.0,58.4588,0.0,base,,1432.259801395201,150.4053780371839,0,0.9517870907436047,0,0,0,0
EDOMEX - TLANEPANTLA,1704MDF094,2024-11-10,0.0482760899999999,0.0482760899999999,11.42,0.952,0,,11000.0,531.03699,8195.72,2273.24301,10468.96301,0.714,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-11-10,2024-11-10,1,42.449,0.0,42.449,0.0,42.449,0.0,1,42.449,0.0,1,42.449,0.0,1,42.449,0.0,1,42.449,0.0,42.449,0.0,base,,1404.764357496802,166.68415134761727,0,0.9192787986226219,0,0,0,0
EDOMEX - TLANEPANTLA,1705MDF058,2024-09-03,0.1326832045454545,0.2914150072727272,310.60999999999996,0.927,0,,11000.0,3205.56508,4150.44,3643.99492,7794.43492,0.84,1,restructure-full,PIA_OPCIONES,Estado de M̩xico,2024-03-07,2024-09-03,150,1401.36,0.0,7.828826815642459,0.0,36.686,0.0,4,412.192,0.0,48,1401.36,0.0,150,1401.36,0.0,150,200.1942857142857,0.0,346.876,0.0,base,,987.4783790301744,192.91551581576442,0,0.9464332004318827,0,0,0,0
EDOMEX - TLANEPANTLA,1706MDF121,2024-04-19,0.1532759872727272,0.1532759872727272,53.48,0.847,0,,11000.0,1686.03586,4405.48,4908.4841400000005,9313.96414,0.816,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2024-04-04,2024-04-19,5,140.386,0.0,9.359066666666669,0.0,140.386,0.0,5,140.386,0.0,5,140.386,0.0,5,140.386,0.0,5,140.386,0.0,140.386,0.0,base,,888.3281039302441,229.14875718296986,0,0.9581553077436156,0,0,0,0
EDOMEX - ECATEPEC,1708MDF054,2025-07-10,0.0352019792727272,0.0352019792727272,35.32,0.965,0,,11000.0,387.221772,7529.74,3083.038227999999,10612.778228,0.823,1,restructure-light,PIA_OPCIONES,Estado de M̩xico,2023-12-27,2025-07-10,3,32.0372,0.0,0.0572092857142857,0.0,17.0292,0.0,1,17.0292,0.0,1,17.0292,0.0,1,17.0292,0.0,1,1.6861684210526315,0.0,17.0292,0.0,base,,1282.4955039749755,168.44744923815958,1,0.9786976965859299,0,0,0,0
EDOMEX - TLANEPANTLA,1710MDF045,2024-10-05,0.6204970972727273,0.6481723690909091,121.63,0.67,0,,11000.0,7129.89606,1485.55,2384.55394,3870.10394,0.61,1,advisor-review,PIA_OPCIONES,Estado de M̩xico,2023-09-14,2024-10-05,16,563.106,0.0,1.4550542635658914,0.0,41.029,0.0,1,41.029,0.0,1,79.218,0.0,2,497.378,0.0,14,43.31584615384615,0.0,219.44,0.0,base,,739.7524836093098,239.5699892149894,1,0.9568502055561016,0,0,0,0
