plaza_limpia,placa,fecha_dia,coverage_ratio_14d,coverage_ratio_30d,downtime_hours_30d,activity_drop_pct,protections_applied_last_12m,last_protection_at,expected_payment,gnv_credit_30d,bank_transfer,exposure_after_transfer,arrears_amount,risk_score,needs_protection,suggested_scenario,whatsapp_segment
EDOMEX - ECATEPEC,121368K,2024-11-07,0.07906528,0.07906528,22.48,0.921,0,,11000.0,869.7180800000001,8467.63,1662.6519200000002,10130.28192,0.738,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,121440K,2024-12-20,0.8591263581818182,1.754663728181818,65.53,0.611,0,,11000.0,19301.30101,0.0,0.0,0.0,0.395,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,122409K,2024-04-12,0.8036902490909091,1.777881610909091,58.67,0.558,0,,11000.0,19556.69772,0.0,0.0,0.0,0.356,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,122432K,2023-12-13,0.5334958245454545,1.1747953554545454,178.75,0.749,0,,11000.0,12922.74891,0.0,0.0,0.0,0.45,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1247JGE,2024-10-31,0.03930873,0.03930873,58.709999999999994,0.961,0,,11000.0,432.39603,3448.02,7119.58397,10567.60397,0.917,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1260079,2025-03-06,0.6834618045454546,0.6834618045454546,61.95,0.533,0,,11000.0,7518.07985,1366.91,2115.01015,3481.92015,0.523,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1387JGE,2025-07-05,0.0444563251818181,0.0444563251818181,46.46,0.956,0,,11000.0,489.019577,7461.0,3049.980423000001,10510.980423,0.863,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1416JFHA,2024-02-15,0.0219605809090909,0.0219605809090909,23.59,0.978,0,,11000.0,241.56639,8035.01,2723.42361,10758.43361,0.783,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1507EDM016,2025-07-08,0.7694621871818181,1.4772351879090908,104.37,0.681,0,,11000.0,16249.587067,0.0,0.0,0.0,0.436,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,1507MDF049,2024-03-17,0.0329936536363636,0.0329936536363636,11.6,0.967,0,,11000.0,362.93019,5270.62,5366.449810000001,10637.06981,0.725,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1511MDF034,2024-01-28,0.016335829090909,0.016335829090909,11.8,0.984,0,,11000.0,179.69412,5651.18,5169.12588,10820.30588,0.738,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1512EDM010,2025-05-21,0.0491318181818181,0.0491318181818181,11.41,0.951,0,,11000.0,540.45,6084.67,4374.879999999999,10459.55,0.713,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1602MDF050,2024-02-06,0.045858979090909,0.045858979090909,34.86,0.954,0,,11000.0,504.44877,4341.83,6153.721229999999,10495.55123,0.813,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1603MDF019,2025-02-11,0.0727287763636363,0.0727287763636363,57.46,0.927,0,,11000.0,800.01654,3855.11,6344.873459999999,10199.98346,0.888,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1610MDF004,2024-09-18,0.0226039118181818,0.0226039118181818,23.57,0.977,0,,11000.0,248.64303,6294.09,4457.266970000001,10751.35697,0.782,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1610MDF123,2024-05-13,0.0842604009090909,0.0842604009090909,22.49,0.916,0,,11000.0,926.86441,4393.35,5679.7855899999995,10073.13559,0.735,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1611MDF003,2025-07-31,0.198213753090909,0.4749429139999999,276.79,0.9,0,,11000.0,5224.3720539999995,4053.85,1721.7779460000006,5775.6279460000005,0.743,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1612MDF009,2024-02-27,0.1251807427272727,0.1251807427272727,123.28,0.915,0,,11000.0,1376.98817,5410.93,4212.081829999999,9623.01183,0.92,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,1701MDF078,2025-01-15,0.0011873127272727,0.0011873127272727,11.99,0.999,0,,11000.0,13.06044,8785.23,2201.709560000001,10986.93956,0.749,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1701MDF118,2024-12-27,0.0174332536363636,0.0174332536363636,11.79,0.983,0,,11000.0,191.76579,7783.65,3024.584210000001,10808.23421,0.737,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1703MDF193,2023-09-25,0.0513335536363636,0.0513335536363636,11.38,0.949,0,,11000.0,564.66909,5086.39,5348.94091,10435.33091,0.712,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1704EDM001,2025-07-30,0.1724189649090909,0.316863654,272.82,0.907,0,,11000.0,3485.5001939999997,6006.76,1507.7398059999996,7514.499806,0.823,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1704MDF094,2024-11-10,0.0482760899999999,0.0482760899999999,11.42,0.952,0,,11000.0,531.03699,8195.72,2273.24301,10468.96301,0.714,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1705MDF058,2024-09-03,0.1326832045454545,0.2914150072727272,310.60999999999996,0.927,0,,11000.0,3205.56508,4150.44,3643.99492,7794.43492,0.84,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1706MDF121,2024-04-19,0.1532759872727272,0.1532759872727272,53.48,0.847,0,,11000.0,1686.03586,4405.48,4908.4841400000005,9313.96414,0.816,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1708MDF054,2025-07-10,0.0352019792727272,0.0352019792727272,35.32,0.965,0,,11000.0,387.221772,7529.74,3083.0382279999994,10612.778228,0.823,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1710MDF045,2024-10-05,0.6204970972727273,0.6481723690909091,121.63,0.67,0,,11000.0,7129.89606,1485.55,2384.55394,3870.10394,0.61,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1711MDF017,2023-11-21,0.2470838727272727,0.5237472681818182,285.51,0.874,0,,11000.0,5761.21995,2200.0,3038.7800500000003,5238.78005,0.713,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1711MDF033,2024-03-07,0.0012022718181818,0.0012022718181818,11.99,0.999,0,,11000.0,13.22499,3344.57,7642.20501,10986.77501,0.749,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1711MDF126,2025-02-20,0.0002172718181818,0.0002172718181818,12.0,1.0,0,,11000.0,2.38999,8491.86,2505.7500099999997,10997.61001,0.75,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1712MDF018,2024-06-08,0.1029130127272727,0.1029130127272727,91.33,0.903,0,,11000.0,1132.04314,6896.82,2971.1368600000005,9867.95686,0.929,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1712MDF125,2024-04-04,0.0366730809090909,0.0366730809090909,11.56,0.963,0,,11000.0,403.40389,7662.39,2934.20611,10596.59611,0.722,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1712MDF126,2024-10-26,0.1142718745454545,0.1142718745454545,90.03,0.898,0,,11000.0,1256.99062,7486.89,2256.119379999999,9743.00938,0.922,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1712MDF131,2024-08-19,0.7731490518181817,1.5595833463636362,108.74,0.613,0,,11000.0,17155.41681,0.0,0.0,0.0,0.423,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,1712MDF162,2023-10-18,0.178323769090909,0.178323769090909,53.71,0.822,0,,11000.0,1961.56146,5795.85,3242.588539999999,9038.43854,0.799,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1800827,2025-07-18,0.0625377077272727,0.0625377077272727,22.51,0.937,0,,11000.0,687.9147849999999,3958.58,6353.505214999999,10312.085215,0.75,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1801MDF009,2025-04-15,0.0881905218181818,0.0881905218181818,68.34,0.912,0,,11000.0,970.09574,3698.21,6331.694259999999,10029.90426,0.923,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1802709,2025-02-03,0.044826779090909,0.044826779090909,34.96,0.955,0,,11000.0,493.09457,7365.78,3141.125430000001,10506.90543,0.814,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1802MDF002,2025-03-03,0.0129369536363636,0.0129369536363636,11.84,0.987,0,,11000.0,142.30649,6326.32,4531.373509999999,10857.69351,0.74,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1802MDF053,2025-03-21,0.0071612354545454,0.0071612354545454,11.91,0.993,0,,11000.0,78.77359,6980.21,3941.0164099999993,10921.22641,0.745,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,1802MDF058,2025-07-27,0.167247628090909,0.167247628090909,108.53,0.888,0,,11000.0,1839.723909,6952.64,2207.6360909999994,9160.276091,0.894,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1803342,2025-04-19,0.06928777,0.06928777,68.84,0.931,0,,11000.0,762.16547,6970.24,3267.5945300000003,10237.83453,0.938,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1804272,2024-08-15,0.0658453709090909,0.0658453709090909,22.81,0.934,0,,11000.0,724.29908,6495.76,3779.940919999999,10275.70092,0.749,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1804501,2023-11-11,0.0104720072727272,0.0104720072727272,11.87,0.99,0,,11000.0,115.19208,6917.56,3967.247919999999,10884.80792,0.742,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1804586,2025-04-30,0.018167527,0.018167527,11.78,0.982,0,,11000.0,199.842797,5209.67,5590.487203000001,10800.157203,0.736,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,1912VLL28,2025-01-28,0.00225788,0.00225788,23.96,0.998,0,,11000.0,24.83668,3495.49,7479.67332,10975.16332,0.798,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,2000012,2024-07-19,0.0357221072727272,0.0357221072727272,23.36,0.964,0,,11000.0,392.94318,5961.49,4645.56682,10607.05682,0.772,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,2000578,2025-05-02,0.1005660625454545,0.2170565116363636,322.65,0.956,0,,11000.0,2387.6216280000003,3692.56,4919.818372,8612.378372,0.883,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,2000705,2025-06-18,0.2163106355454545,0.456387771,282.89,0.888,0,,11000.0,5020.265481,3259.66,2720.074519,5979.734519,0.749,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,203ZCT,2025-07-30,0.1348625233636363,0.1348625233636363,88.57,0.881,0,,11000.0,1483.487757,7727.81,1788.7022429999988,9516.512243,0.909,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,225C,2025-07-31,1.590553262181818,4.088098895454546,0.0,0.527,0,,11000.0,44969.08785,0.0,0.0,0.0,0.105,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,2617JGE,2024-01-06,0.049864459090909,0.049864459090909,57.86,0.95,0,,11000.0,548.50905,3501.06,6950.43095,10451.49095,0.906,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,2900JGE,2024-12-30,0.3156807518181818,0.7767127736363636,221.71,0.859,0,,11000.0,8543.84051,1151.52,1304.63949,2456.15949,0.583,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,299TLA,2024-12-31,0.0258138163636363,0.0258138163636363,23.549999999999997,0.974,0,,11000.0,283.95197999999993,5102.51,5613.53802,10716.04802,0.78,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,305,2024-09-04,0.0548627718181818,0.0548627718181818,11.34,0.945,0,,11000.0,603.49049,7247.93,3148.5795099999996,10396.50951,0.709,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,308C,2025-07-31,1.1388884383636362,3.2262177054545456,0.0,0.459,0,,11000.0,35488.39476,0.0,0.0,0.0,0.092,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,320C,2025-01-30,0.5261817,1.2736196827272728,133.25,0.773,0,,11000.0,14009.81651,0.0,0.0,0.0,0.455,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,329VBS,2025-07-31,0.3427324655454545,0.7164282482727273,243.43,0.826,0,,11000.0,7880.710731,2179.1,940.189269,3119.289269,0.607,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,330C,2024-11-03,0.7488298236363635,1.413846422727273,150.88,0.582,0,,11000.0,15552.31065,0.0,0.0,0.0,0.416,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,370,2024-09-11,0.0845694818181818,0.0845694818181818,22.49,0.915,0,,11000.0,930.2643,7939.1,2130.635699999999,10069.7357,0.734,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,3866GMK,2025-06-14,0.1446415615454545,0.362098066090909,294.39,0.938,0,,11000.0,3983.078727,2808.06,4208.861273,7016.921273,0.807,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,4000009,2025-06-03,0.0978868128181818,0.0978868128181818,79.21000000000001,0.902,0,,11000.0,1076.754941,3112.2,6811.045059000001,9923.245059,0.931,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,400TL078,2024-09-28,0.9259434672727272,1.9340621236363635,34.730000000000004,0.48,0,,11000.0,21274.68336,0.0,0.0,0.0,0.241,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,400TL310,2025-07-10,0.0182121823636363,0.0182121823636363,11.78,0.982,0,,11000.0,200.334006,7920.64,2879.0259940000005,10799.665994,0.736,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,400TL319,2025-07-31,0.6872441200909091,1.4772351602727272,115.71,0.63,0,,11000.0,16249.586763,0.0,0.0,0.0,0.426,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,403TL113,2025-05-19,0.0526386267272727,0.0526386267272727,11.37,0.947,0,,11000.0,579.024894,4134.66,6286.315106,10420.975106,0.71,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,403TL167,2024-07-01,0.0501302436363636,0.0501302436363636,23.19,0.95,0,,11000.0,551.43268,6275.69,4172.8773200000005,10448.56732,0.762,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,403TL180,2025-04-01,0.7126377545454545,1.6294636172727273,84.35000000000001,0.673,0,,11000.0,17924.09979,0.0,0.0,0.0,0.435,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,404TL087,2025-07-31,0.6474808107272727,1.4030700411818182,123.43,0.681,0,,11000.0,15433.770453,0.0,0.0,0.0,0.436,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,405TL020,2024-07-11,0.0166687509090909,0.0254634372727272,189.15,0.99,0,,11000.0,280.09781,6085.62,4634.282190000001,10719.90219,0.985,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,405TL302,2024-01-24,0.2535229445454545,0.2535229445454545,72.18,0.746,0,,11000.0,2788.75239,4340.57,3870.6776100000006,8211.24761,0.822,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,40AU2X,2024-11-27,3.960846335454545,3.960846335454545,14.11,0.0,0,,11000.0,43569.309689999995,0.0,0.0,0.0,0.059,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,417,2024-09-04,0.0182115272727272,0.0182115272727272,11.78,0.982,0,,11000.0,200.3268,7324.01,3475.663199999999,10799.6732,0.736,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,418,2024-12-23,0.0290789263636363,0.0290789263636363,11.65,0.971,0,,11000.0,319.86818999999997,5522.56,5157.57181,10680.13181,0.728,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,418C,2025-01-04,0.5364822518181818,0.9075628645454548,222.03,0.746,0,,11000.0,9983.19151,358.52,658.2884899999995,1016.8084899999994,0.495,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,44VLB,2024-12-27,0.2082721663636363,0.4114330963636363,294.55,0.901,0,,11000.0,4525.7640599999995,2400.67,4073.5659400000004,6474.2359400000005,0.774,1,restructure-full,PIA_OPCIONES
EDOMEX - ECATEPEC,457C,2025-07-22,0.8247867856363634,1.593101553818182,90.4,0.583,0,,11000.0,17524.117092,0.0,0.0,0.0,0.417,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,45BB9X,2025-07-10,3.3104165289090908,6.927180098090909,0.0,0.0,0,,11000.0,76198.98107899999,0.0,0.0,0.0,0.0,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,460TL122,2025-02-18,0.6814718727272727,1.369255500909091,146.73999999999998,0.624,0,,11000.0,15061.81051,0.0,0.0,0.0,0.425,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,467TL118,2024-07-24,0.0262855227272727,0.0262855227272727,58.8,0.974,0,,11000.0,289.14075,4921.88,5788.979249999999,10710.85925,0.927,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,475TL188,2025-07-31,1.0141617387272728,2.0638343697272723,24.13,0.477,0,,11000.0,22702.178066999997,0.0,0.0,0.0,0.196,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,500ZDU,2024-05-20,0.0129369536363636,0.0129369536363636,11.84,0.987,0,,11000.0,142.30649,8330.57,2527.1235099999994,10857.69351,0.74,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,5480JES,2025-07-30,0.3498848484545455,0.6676736784545454,246.99,0.846,0,,11000.0,7344.410462999999,2669.07,986.5195370000006,3655.5895370000007,0.635,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,54AM8P,2025-01-14,6.706621431818181,13.93102943181818,0.0,0.0,0,,11000.0,153241.32374999998,0.0,0.0,0.0,0.0,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,583371,2025-07-23,3.1041340145454543,3.1041340145454543,7.050000000000001,0.0,0,,11000.0,34145.47416,0.0,0.0,0.0,0.029,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,60F708,2025-07-06,0.2276197058181818,0.4590607030909091,290.13,0.873,0,,11000.0,5049.667734,2129.23,3821.1022660000003,5950.332266,0.745,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,62AL5N,2025-02-12,6.862267431818181,16.058668903636367,0.0,0.0,0,,11000.0,176645.35794000002,0.0,0.0,0.0,0.0,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,634333,2025-07-31,5.170071831272727,11.700533246181818,0.0,0.0,0,,11000.0,128705.865708,0.0,0.0,0.0,0.0,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,640NZ022M,2024-09-23,0.0997812636363636,0.0997812636363636,22.41,0.9,0,,11000.0,1097.5938999999998,4173.05,5729.3561,9902.4061,0.723,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,69AY8K,2024-03-25,0.1094318445454545,0.1094318445454545,10.69,0.891,0,,11000.0,1203.75029,4737.21,5059.03971,9796.24971,0.668,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,6CS4E9,2025-04-03,0.5477655272727273,1.3179589090909092,140.5,0.667,0,,11000.0,14497.548,0.0,0.0,0.0,0.433,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,6CS4L60,2025-07-21,0.9231373677272726,2.5078410728181817,9.07,0.584,0,,11000.0,27586.251801,0.0,0.0,0.0,0.155,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,6CS5F50,2025-07-14,0.7507239395454546,1.6499727289090909,89.85,0.623,0,,11000.0,18149.700018,0.0,0.0,0.0,0.425,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,6CS8F90,2025-03-25,0.6802300772727272,1.4362568018181816,168.11,0.669,0,,11000.0,15798.824819999998,0.0,0.0,0.0,0.434,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,6CSL90,2025-04-22,1.405368572727273,2.244866877272727,64.39999999999999,0.346,0,,11000.0,24693.53565,0.0,0.0,0.0,0.338,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,701TL011C,2025-07-31,0.760084912090909,1.5548117143636364,101.75,0.6,0,,11000.0,17102.928858,0.0,0.0,0.0,0.42,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,705TL005M,2025-07-31,0.4975986466363636,1.335998821909091,129.24,0.75,0,,11000.0,14695.987041,0.0,0.0,0.0,0.45,1,advisor-review,PIA_OPCIONES
EDOMEX - TLANEPANTLA,710TL023M,2025-07-22,0.2563277757272727,0.2563277757272727,133.16,0.867,0,,11000.0,2819.605533,5321.01,2859.384467,8180.394467,0.845,1,restructure-full,PIA_OPCIONES
EDOMEX - TLANEPANTLA,710TL065M,2025-06-30,0.0170647906363636,0.0170647906363636,11.8,0.983,0,,11000.0,187.712697,7459.48,3352.8073029999996,10812.287303,0.737,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,71BA4V,2025-07-25,5.668356349909091,12.37378013081818,0.0,0.0,0,,11000.0,136111.581439,0.0,0.0,0.0,0.0,0,monitor,FOLLOW_UP
EDOMEX - TLANEPANTLA,741601J,2024-04-25,0.0106550536363636,0.0106550536363636,11.87,0.989,0,,11000.0,117.20559,5979.93,4902.86441,10882.79441,0.742,1,restructure-light,PIA_OPCIONES
EDOMEX - TLANEPANTLA,744733J,2025-07-13,0.863541375,1.815969968090909,50.52,0.558,0,,11000.0,19975.669649,0.0,0.0,0.0,0.322,0,monitor,FOLLOW_UP
EDOMEX - ECATEPEC,747276J,2024-12-10,0.042851299090909,0.042851299090909,11.49,0.957,0,,11000.0,471.36429,6279.22,4249.41571,10528.63571,0.718,1,restructure-light,PIA_OPCIONES
EDOMEX - ECATEPEC,752895J,2025-05-22,0.4334315078181817,1.0308858114545454,176.75,0.773,0,,11000.0,11339.743926,0.0,0.0,0.0,0.455,1,advisor-review,PIA_OPCIONES
EDOMEX - ECATEPEC,753233J,2025-07-28,0.3850224379090909,0.8395668841818181,209.75,0.815,0,,11000.0,9235.235726,682.46,1082.3042739999992,1764.7642739999992,0.543,1,advisor-review,PIA_OPCIONES
