plaza_limpia,placa,fecha_dia,litros_diarios,tickets_diarios,recaudo_diario,precio_promedio,credito_diario,litros_7d,tickets_7d,recaudo_7d,credito_7d,litros_14d,tickets_14d,recaudo_14d,credito_14d,litros_30d,tickets_30d,recaudo_30d,credito_30d,coverage_ratio_7d,coverage_ratio_14d,coverage_ratio_30d,recencia_dias,downtime_hours,activity_drop_pct,average_speed_kph,trip_count,stop_hours,seatbelt_off_events,speed_range1_hours,speed_range2_hours,speed_range3_hours,speed_range1_km,speed_range2_km,speed_range3_km,max_speed_kph,driving_hours,engine_hours,idling_hours,after_hours_distance_km,after_hours_driving_hours,after_hours_stop_hours,work_distance_km,work_driving_hours,work_stop_hours,distance_km,downtime_hours_7d,downtime_days_7d,downtime_hours_14d,downtime_days_14d,downtime_hours_30d,downtime_days_30d,protections_applied_last_12m,trip_count_7d,seatbelt_off_events_7d,stop_hours_7d,speed_range1_hours_7d,speed_range2_hours_7d,speed_range3_hours_7d,speed_range1_km_7d,speed_range2_km_7d,speed_range3_km_7d,driving_hours_7d,engine_hours_7d,idling_hours_7d,after_hours_distance_km_7d,after_hours_driving_hours_7d,after_hours_stop_hours_7d,work_distance_km_7d,work_driving_hours_7d,work_stop_hours_7d,distance_km_7d,average_speed_kph_7d,max_speed_kph_7d_max,trip_count_14d,seatbelt_off_events_14d,stop_hours_14d,speed_range1_hours_14d,speed_range2_hours_14d,speed_range3_hours_14d,speed_range1_km_14d,speed_range2_km_14d,speed_range3_km_14d,driving_hours_14d,engine_hours_14d,idling_hours_14d,after_hours_distance_km_14d,after_hours_driving_hours_14d,after_hours_stop_hours_14d,work_distance_km_14d,work_driving_hours_14d,work_stop_hours_14d,distance_km_14d,average_speed_kph_14d,max_speed_kph_14d_max,trip_count_30d,seatbelt_off_events_30d,stop_hours_30d,speed_range1_hours_30d,speed_range2_hours_30d,speed_range3_hours_30d,speed_range1_km_30d,speed_range2_km_30d,speed_range3_km_30d,driving_hours_30d,engine_hours_30d,idling_hours_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,work_distance_km_30d,work_driving_hours_30d,work_stop_hours_30d,distance_km_30d,average_speed_kph_30d,max_speed_kph_30d_max,seatbelt_off_rate_30d,high_speed_hours_30d,high_speed_ratio_30d,idle_hours_ratio_30d,days_since_last_protection,label_date,default_flag,label_reason
EDOMEX - ECATEPEC,061706K,2025-02-12,20.85,1,0.0,11.99,250.4085,20.85,1.0,0.0,250.4085,20.85,1.0,0.0,250.4085,20.85,1.0,0.0,250.4085,0.0139115833333333,0.0139115833333333,0.0139115833333333,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-02-12,1,low_coverage_active
EDOMEX - ECATEPEC,061802K,2025-02-24,16.68,1,0.0,11.99,200.3268,165.596,9.0,0.0,1988.80796,334.234,16.0,0.0,4014.15034,334.234,16.0,0.0,4014.15034,0.1104893311111111,0.2230083522222222,0.2230083522222222,18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-02-24,1,low_coverage_active
EDOMEX - ECATEPEC,061803K,2025-02-03,16.68,1,0.0,11.99,200.3268,16.68,1.0,0.0,200.3268,16.68,1.0,0.0,200.3268,16.68,1.0,0.0,200.3268,0.0111292666666666,0.0111292666666666,0.0111292666666666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-02-03,1,low_coverage_active
EDOMEX - ECATEPEC,061899K,2025-06-18,20.8507,1,0.0,11.99,250.416907,70.6013,4.0,0.0,854.4486129999999,70.6013,4.0,0.0,854.4486129999999,70.6013,4.0,0.0,854.4486129999999,0.0474693673888888,0.0474693673888888,0.0474693673888888,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-06-18,1,low_coverage_active
EDOMEX - TLANEPANTLA,0NXA9936,2025-06-24,16.1493,1,0.0,11.99,193.953093,78.7064,7.0,0.0,945.263864,190.1326,14.0,0.0,2394.918726,423.6738,32.0,0.0,5433.2897379999995,0.0525146591111111,0.1330510403333333,0.3018494298888888,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-06-24,1,low_coverage_active
EDOMEX - ECATEPEC,1050,2024-11-01,42.249,1,0.0,11.99,507.41049,82.618,2.0,0.0,992.24218,82.618,2.0,0.0,992.24218,82.618,2.0,0.0,992.24218,0.0551245655555555,0.0551245655555555,0.0551245655555555,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2024-11-01,1,low_coverage_active
EDOMEX - ECATEPEC,109327,2025-07-26,29.9099,1,0.0,11.99,359.217899,73.7498,3.0,0.0,885.735098,73.7498,3.0,0.0,885.735098,73.7498,3.0,0.0,885.735098,0.0492075054444444,0.0492075054444444,0.0492075054444444,48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-26,1,low_coverage_active
EDOMEX - TLANEPANTLA,109456,2024-08-31,67.675,5,0.0,11.99,812.77675,67.675,5.0,0.0,812.77675,67.675,5.0,0.0,812.77675,67.675,5.0,0.0,812.77675,0.0451542638888888,0.0451542638888888,0.0451542638888888,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2024-08-31,1,low_coverage_active|noise
EDOMEX - ECATEPEC,11G896,2025-07-29,4.1293,1,0.0,10.99,53.722193,79.3454,8.0,0.0,1032.283654,161.7706,17.0,0.0,2104.635506,377.6813,40.0,0.0,4913.633713,0.0573490918888888,0.1169241947777777,0.2729796507222222,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-07-29,1,low_coverage_active
EDOMEX - ECATEPEC,120053K,2025-01-17,17.03,1,0.0,9.99,238.5903,245.256,7.0,0.0,3436.0365599999996,527.4540000000001,15.0,0.0,7389.630539999999,1171.575,32.0,0.0,16413.76575,0.1908909199999999,0.4105350299999999,0.911875875,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-01-17,0,stable
EDOMEX - TLANEPANTLA,120370K,2024-06-29,35.009,1,0.0,10.49,472.97159,270.238,7.0,0.0,3650.91538,525.686,14.0,0.0,7102.01786,1060.23,31.0,0.0,14323.7073,0.2028286322222222,0.3945565477777777,0.7957615166666667,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2024-06-29,0,stable
EDOMEX - TLANEPANTLA,120466K,2025-01-24,43.5,1,0.0,9.99,609.435,260.798,9.0,0.0,3569.84048,469.056,16.0,0.0,6383.406059999999,549.075,18.0,0.0,7464.46275,0.1983244711111111,0.3546336699999999,0.414692375,51,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-01-24,1,low_coverage_active
EDOMEX - TLANEPANTLA,120768K,2025-05-16,33.3495,1,0.0,11.99,400.527495,33.3495,1.0,0.0,400.527495,33.3495,1.0,0.0,400.527495,33.3495,1.0,0.0,400.527495,0.0222515275,0.0222515275,0.0222515275,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2025-05-16,1,low_coverage_active
