placa,label_date,default_flag,reason
1710MDF045,2024-10-05,1,low_coverage_active
1711MDF017,2023-11-21,1,low_coverage_active
1711MDF033,2024-03-07,1,low_coverage_active|noise
1711MDF126,2025-02-20,1,low_coverage_active
1712MDF018,2024-06-08,1,low_coverage_active
1712MDF125,2024-04-04,1,low_coverage_active
1712MDF126,2024-10-26,1,low_coverage_active
1712MDF131,2024-08-19,0,stable
1712MDF162,2023-10-18,1,low_coverage_active
1800827,2025-07-18,1,low_coverage_active
1801MDF009,2025-04-15,1,low_coverage_active
1802709,2025-02-03,1,low_coverage_active
1802MDF002,2025-03-03,1,low_coverage_active
1802MDF053,2025-03-21,1,low_coverage_active
1802MDF058,2025-07-27,1,low_coverage_active
1803342,2025-04-19,1,low_coverage_active
1804272,2024-08-15,1,low_coverage_active
1804501,2023-11-11,1,low_coverage_active
1804586,2025-04-30,1,low_coverage_active
1912VLL28,2025-01-28,1,low_coverage_active|noise
2000012,2024-07-19,1,low_coverage_active
2000578,2025-05-02,1,low_coverage_active
2000705,2025-06-18,1,low_coverage_active
203ZCT,2025-07-30,1,low_coverage_active
225C,2025-07-31,0,stable
2617JGE,2024-01-06,1,low_coverage_active|noise
2900JGE,2024-12-30,1,low_coverage_active
299TLA,2024-12-31,1,low_coverage_active
305,2024-09-04,1,low_coverage_active
308C,2025-07-31,0,stable
320C,2025-01-30,0,stable
329VBS,2025-07-31,1,low_coverage_active
330C,2024-11-03,0,stable
370,2024-09-11,1,low_coverage_active
3866GMK,2025-06-14,1,low_coverage_active
4000009,2025-06-03,1,low_coverage_active|noise
400TL078,2024-09-28,1,stable|noise
400TL310,2025-07-10,1,low_coverage_active
400TL319,2025-07-31,0,stable
403TL113,2025-05-19,1,low_coverage_active
403TL167,2024-07-01,1,low_coverage_active
403TL180,2025-04-01,0,stable
404TL087,2025-07-31,0,stable
405TL020,2024-07-11,1,low_coverage_active
405TL302,2024-01-24,1,low_coverage_active
40AU2X,2024-11-27,0,stable
417,2024-09-04,1,low_coverage_active
418,2024-12-23,1,low_coverage_active
418C,2025-01-04,1,stable|noise
44VLB,2024-12-27,1,low_coverage_active
457C,2025-07-22,0,stable
45BB9X,2025-07-10,0,stable
460TL122,2025-02-18,0,stable
467TL118,2024-07-24,1,low_coverage_active
475TL188,2025-07-31,0,stable
500ZDU,2024-05-20,1,low_coverage_active
5480JES,2025-07-30,1,low_coverage_active
54AM8P,2025-01-14,0,stable
583371,2025-07-23,0,stable
60F708,2025-07-06,1,low_coverage_active|noise
62AL5N,2025-02-12,0,stable
634333,2025-07-31,0,stable
640NZ022M,2024-09-23,1,low_coverage_active
69AY8K,2024-03-25,1,low_coverage_active
6CS4E9,2025-04-03,0,stable
6CS4L60,2025-07-21,0,stable
6CS5F50,2025-07-14,0,stable
6CS8F90,2025-03-25,0,stable
6CSL90,2025-04-22,0,stable
701TL011C,2025-07-31,0,stable
705TL005M,2025-07-31,0,stable
710TL023M,2025-07-22,1,low_coverage_active
710TL065M,2025-06-30,1,low_coverage_active
71BA4V,2025-07-25,1,stable|noise
741601J,2024-04-25,1,low_coverage_active
744733J,2025-07-13,1,stable|noise
747276J,2024-12-10,1,low_coverage_active
752895J,2025-05-22,0,stable
753233J,2025-07-28,0,stable
754292J,2025-05-17,0,stable
756963J,2025-07-16,0,stable
757306J,2024-09-06,1,low_coverage_active
7681JFL,2025-07-01,1,low_coverage_active
770517J,2025-07-27,0,stable
770529J,2025-07-31,0,stable
770680J,2025-07-25,0,stable
770778J,2025-07-25,1,low_coverage_active|noise
770792J,2025-07-04,0,stable
770804J,2025-07-31,0,stable
770957J,2025-07-30,0,stable
770973J,2025-07-31,1,stable|noise
772,2025-04-23,1,low_coverage_active
807703J,2024-11-14,0,stable
8162,2025-07-30,1,low_coverage_active
8163JES,2025-06-11,1,low_coverage_active
837757J,2025-03-24,0,stable
838745J,2025-07-31,0,stable
838850J,2025-07-30,0,stable
845NA083C,2024-03-03,1,low_coverage_active
845NA116C,2024-07-22,1,low_coverage_active
852EC085,2025-07-31,1,stable|noise
867004J,2025-07-23,0,stable
88107,2023-09-25,1,low_coverage_active
8E9003481,2025-04-14,0,stable
902246,2024-11-23,0,stable
9026746,2025-07-31,0,stable
906068,2025-07-31,0,stable
906301,2025-04-04,0,stable
91171,2024-08-06,1,low_coverage_active
9312JES,2025-07-31,1,low_coverage_active
94AL6N,2024-02-09,0,stable
9RK9096968,2025-07-31,0,stable
A00001A,2022-07-07,0,stable
A00002A,2022-12-27,0,stable
A00007A,2021-11-26,1,stable|noise
A00012,2024-11-30,1,low_coverage_active
A00016A,2021-08-30,1,low_coverage_active
A00022A,2024-07-11,0,stable
A00027A,2023-11-02,0,stable
A00038A,2020-05-11,0,stable
A00039A,2021-06-13,0,stable
A00042A,2023-06-22,0,stable
A00053A,2019-10-05,0,stable
A0005J,2025-06-19,1,low_coverage_active
A00065A,2019-05-20,0,stable
A00068A,2019-03-05,0,stable
A00070A,2019-09-05,1,stable|noise
A00079A,2022-08-12,0,stable
A00082A,2025-07-31,0,stable
A00091A,2020-10-13,1,low_coverage_active
A00095A,2019-05-16,0,stable
A00096A,2019-06-21,0,stable
A00115A,2025-01-23,0,stable
A00136A,2020-02-17,0,stable
A00137A,2020-01-17,0,stable
A00147A,2021-11-30,0,stable
A00148A,2020-06-23,0,stable
A00150A,2022-09-08,0,stable
A00158A,2024-08-27,1,stable|noise
A0016D,2025-07-18,1,low_coverage_active
A00172A,2024-04-17,0,stable
A00178A,2019-01-16,0,stable
A00180A,2020-08-11,0,stable
A00188A,2020-07-07,0,stable
A00191A,2019-05-22,0,stable
A00196A,2022-06-11,1,low_coverage_active
A00200A,2024-03-27,0,stable
A00201A,2024-04-25,1,low_coverage_active
A00212A,2019-02-05,0,stable
A00213A,2019-02-05,0,stable
A00214A,2022-04-15,0,stable
A00215A,2021-02-20,0,stable
A00217A,2021-09-13,0,stable
A0022K,2025-03-16,1,low_coverage_active
A00232A,2021-09-13,1,low_coverage_active
A00234A,2019-09-23,1,stable|noise
A00241A,2023-05-16,0,stable
A00242A,2022-05-17,0,stable
A00252A,2022-11-01,0,stable
A00253A,2022-08-18,0,stable
A00275A,2023-11-21,0,stable
A00276A,2023-01-13,0,stable
A0028N,2025-06-18,1,low_coverage_active
A00291A,2025-06-24,0,stable
A00296A,2024-07-09,0,stable
A00300A,2021-07-30,0,stable
A00301A,2019-08-24,0,stable
A0030N,2025-07-27,1,low_coverage_active
A00316A,2019-05-08,0,stable
A00317A,2022-05-30,0,stable
A00329A,2022-03-01,1,low_coverage_active
A00334A,2020-06-08,0,stable
A00367A,2019-03-08,1,low_coverage_active
A00368A,2022-02-02,0,stable
A00383A,2021-08-03,0,stable
A0050B,2025-07-30,1,low_coverage_active
A005JMD,2025-07-31,1,low_coverage_active
A00770A,2021-03-23,1,stable|noise
A00772A,2019-10-17,0,stable
A00774A,2020-02-10,0,stable
A00786A,2021-02-09,0,stable
A00789A,2022-08-08,0,stable
A00790A,2023-03-07,0,stable
A00796A,2022-05-13,0,stable
A00798A,2022-12-27,0,stable
A00800A,2020-09-17,0,stable
A00819A,2025-07-31,1,low_coverage_active
A00865A,2021-04-23,0,stable
A00889A,2024-10-20,0,stable
A00895A,2023-04-05,1,stable|noise
A00896A,2020-10-06,1,low_coverage_active
A00897A,2020-04-02,0,stable
A0089L,2025-06-06,1,low_coverage_active
A00926A,2025-02-21,0,stable
A00943A,2020-10-31,0,stable
A00947A,2023-09-25,0,stable
A00977A,2023-07-04,0,stable
A00982A,2023-06-11,0,stable
A00983A,2023-01-10,1,low_coverage_active
A01009A,2020-05-08,0,stable
A01034A,2025-07-29,0,stable
A0103J,2025-07-25,1,low_coverage_active
A01121A,2021-11-08,1,low_coverage_active
A01129A,2021-01-24,0,stable
A01133A,2021-05-11,1,low_coverage_active
A01146A,2020-03-18,1,low_coverage_active
A01155A,2023-02-03,0,stable
A01156A,2020-03-05,0,stable
A01159A,2023-01-31,0,stable
A01164A,2022-08-22,1,low_coverage_active|noise
A01202A,2019-01-28,1,low_coverage_active
A01216A,2021-03-07,1,low_coverage_active
A01247A,2019-09-07,0,stable
A01249A,2021-02-11,1,low_coverage_active
A01259A,2024-07-18,1,low_coverage_active
A01278A,2020-01-18,0,stable
A01327A,2020-04-08,0,stable
A01332A,2023-03-22,0,stable
A0148G,2025-04-13,1,low_coverage_active
A01703A,2019-10-11,0,stable
A01710A,2025-07-11,1,stable|noise
A01722A,2022-05-10,1,stable|noise
A01726A,2022-10-19,0,stable
A01738A,2022-02-26,1,stable|noise
A01747A,2022-02-18,0,stable
A01860A,2025-07-31,0,stable
A01867A,2023-03-30,1,low_coverage_active
A01901A,2020-04-13,0,stable
A01905A,2025-02-18,0,stable
A01906A,2019-12-20,0,stable
A01913A,2025-07-12,0,stable
A01914A,2023-12-31,1,stable|noise
A01929A,2025-07-31,0,stable
A01931A,2024-06-02,0,stable
A01937A,2023-08-02,0,stable
A01960A,2024-04-12,0,stable
A01973A,2023-04-06,0,stable
A02013A,2025-07-31,1,stable|noise
A02014A,2021-10-19,0,stable
A02015A,2021-08-18,0,stable
A02018A,2020-10-13,0,stable
A02033A,2025-03-23,1,low_coverage_active
A02035A,2021-10-15,1,stable|noise
A02062A,2021-11-10,0,stable
A02076A,2025-07-31,1,stable|noise
A02084A,2020-12-03,1,low_coverage_active
A02209A,2022-09-19,0,stable
A02212A,2025-07-31,0,stable
A02218A,2023-04-19,0,stable
A02226A,2021-10-22,0,stable
A02231A,2023-07-01,0,stable
A02233A,2023-08-15,0,stable
A02255A,2023-04-01,0,stable
A02262A,2023-05-28,1,low_coverage_active
A02294A,2025-07-31,0,stable
A02303A,2025-07-29,1,low_coverage_active
A02321A,2020-10-21,0,stable
A02325A,2024-03-04,0,stable
A02336A,2023-09-25,0,stable
A02350A,2024-03-05,0,stable
A02361A,2025-05-15,0,stable
A02362A,2025-07-30,0,stable
A0240L,2025-02-15,1,low_coverage_active
A02414A,2025-07-31,0,stable
A02415A,2025-07-31,0,stable
A02425A,2025-07-31,0,stable
A02446A,2023-10-11,0,stable
A02457A,2024-03-05,0,stable
A02465A,2025-07-31,0,stable
A02468A,2024-03-05,0,stable
A0278C,2023-09-13,1,low_coverage_active
A0282D,2025-05-16,1,low_coverage_active
A02902A,2025-07-31,0,stable
A02925A,2025-07-31,0,stable
A02939A,2025-07-31,0,stable
A0316B,2024-10-29,1,low_coverage_active
A0339H,2025-03-26,1,low_coverage_active
A0348J,2025-04-20,1,low_coverage_active
A0363B,2023-12-01,1,low_coverage_active
A036JLC,2024-04-21,1,low_coverage_active
A03782E,2025-07-26,0,stable
A03782R,2025-03-27,0,stable
A03787E,2025-05-05,1,low_coverage_active
A037JLC,2025-05-20,1,low_coverage_active
A03851A,2025-05-06,0,stable
A03864A,2023-08-16,0,stable
A03898A,2025-07-31,1,low_coverage_active
A0393A,2025-06-12,1,low_coverage_active|noise
A03951A,2025-07-30,0,stable
A03952A,2025-07-31,1,stable|noise
A03956A,2025-07-29,0,stable
A03961A,2025-07-31,0,stable
A03962A,2025-07-31,0,stable
A03966A,2025-07-31,0,stable
A03970A,2025-07-31,0,stable
A03972A,2025-07-31,0,stable
A03974A,2025-07-31,0,stable
A03975A,2025-05-19,0,stable
A03977A,2025-07-31,0,stable
A03978A,2025-07-31,0,stable
A03981A,2025-07-31,1,stable|noise
A03982A,2025-07-31,0,stable
A03983A,2025-07-31,0,stable
A03985A,2025-07-31,0,stable
A03986A,2025-07-31,0,stable
A03987A,2025-07-31,0,stable
A03988A,2025-07-31,0,stable
A03989A,2025-07-31,0,stable
A03990A,2025-07-31,0,stable
A03991A,2025-07-31,0,stable
A03992A,2025-07-30,0,stable
A03993A,2025-07-31,0,stable
A04123A,2025-07-23,1,low_coverage_active
A04126A,2025-07-19,1,low_coverage_active
A04128A,2025-07-31,1,stable|noise
A04151A,2025-07-30,0,stable
A04205A,2025-07-31,0,stable
A04206A,2025-06-16,0,stable
A04210A,2024-04-07,0,stable
A04213A,2025-07-31,0,stable
A04214A,2025-07-30,0,stable
A04229A,2025-07-31,0,stable
A04230A,2025-07-31,0,stable
A04231A,2025-07-31,0,stable
A04232A,2024-05-18,0,stable
A04233A,2025-07-31,0,stable
A04243A,2025-07-31,0,stable
A04247A,2025-07-31,0,stable
A04248A,2025-07-31,0,stable
A04249A,2025-07-31,0,stable
A04250A,2025-07-31,0,stable
A04251A,2025-07-30,0,stable
A04254A,2025-07-30,1,low_coverage_active
A04255A,2025-07-26,0,stable
A04305A,2025-07-11,1,low_coverage_active
A04344A,2025-07-31,0,stable
A04351A,2025-07-31,0,stable
A04353A,2025-07-31,0,stable
A04363A,2025-07-31,0,stable
A04427A,2025-07-30,0,stable
A04428A,2025-07-31,0,stable
A04429A,2025-07-26,0,stable
A04440A,2025-07-31,1,low_coverage_active
A04501A,2025-07-31,0,stable
A04502A,2025-07-31,0,stable
A04504A,2025-07-31,1,stable|noise
A04509A,2025-07-31,0,stable
A04511A,2025-06-02,0,stable
A04512A,2025-07-31,0,stable
A04513A,2024-09-13,0,stable
A04516A,2025-07-31,0,stable
A04521A,2025-07-31,0,stable
A04522A,2024-12-09,0,stable
A04523A,2025-07-31,0,stable
A04525A,2025-07-31,0,stable
A04526A,2025-04-14,0,stable
A04527A,2025-07-31,0,stable
A04533A,2025-07-31,0,stable
A04538A,2025-07-31,0,stable
A04549A,2025-07-31,0,stable
A04552A,2025-07-31,0,stable
A04554A,2025-07-31,0,stable
A04559A,2025-07-31,0,stable
A04565A,2025-07-31,1,stable|noise
A04566A,2025-07-31,0,stable
A04568A,2025-07-31,1,stable|noise
A04573A,2025-07-31,0,stable
A04584A,2025-07-31,0,stable
A04588A,2025-07-08,0,stable
A04591A,2025-07-31,0,stable
A04592A,2025-07-31,0,stable
A04596A,2025-07-31,0,stable
A04600A,2025-07-31,1,low_coverage_active|noise
A04610A,2025-07-06,1,low_coverage_active|noise
A04626A,2025-07-27,1,stable|noise
A0465C,2024-03-01,1,low_coverage_active
A04661A,2025-07-31,0,stable
A04664E,2025-07-29,0,stable
A0466L,2025-07-31,1,low_coverage_active
A04671A,2025-07-31,1,stable|noise
A04673A,2025-07-31,0,stable
A04675A,2025-07-31,0,stable
A04678A,2025-07-31,0,stable
A04680A,2025-07-31,0,stable
A04684A,2025-01-10,0,stable
A04685A,2024-07-05,1,stable|noise
A04686A,2025-07-31,0,stable
A04688A,2025-07-31,0,stable
A04689A,2025-07-31,0,stable
A04691A,2024-11-15,0,stable
A04692A,2025-07-31,0,stable
A04693A,2025-07-31,0,stable
A04695A,2025-07-31,0,stable
A04697A,2025-07-31,0,stable
A04704A,2025-07-31,0,stable
A04706A,2025-07-31,0,stable
A04708A,2025-07-31,0,stable
A04724E,2025-07-13,0,stable
A04725A,2025-07-31,0,stable
A04732A,2025-07-12,1,stable|noise
A04743A,2025-07-31,0,stable
A0478C,2025-07-30,1,low_coverage_active|noise
A05001A,2025-07-31,0,stable
A05011A,2025-07-31,0,stable
A05012A,2025-07-31,0,stable
A05016A,2025-07-31,1,stable|noise
A05018A,2025-07-30,0,stable
A05022A,2025-07-31,0,stable
A05024A,2025-07-30,0,stable
A05026A,2025-07-31,0,stable
A05028A,2025-07-31,0,stable
A05072E,2025-07-31,0,stable
A05109A,2025-07-31,0,stable
A05113A,2025-07-31,0,stable
A05115A,2025-07-31,0,stable
A05128A,2025-07-31,0,stable
A05142A,2025-07-31,0,stable
A05151A,2025-07-31,0,stable
A05155A,2025-07-31,0,stable
A05157A,2025-07-31,0,stable
A05159A,2025-07-31,0,stable
A05160A,2025-05-31,0,stable
A05163A,2025-07-03,0,stable
A05164A,2025-07-31,0,stable
A05165A,2025-07-31,0,stable
A05166A,2025-07-31,0,stable
A05169A,2025-07-31,0,stable
A05175A,2025-07-26,0,stable
A05176A,2025-07-31,0,stable
A05177A,2025-07-28,0,stable
A05188A,2025-07-31,0,stable
A05197A,2025-07-31,0,stable
A05206A,2025-07-31,0,stable
A05207A,2025-07-31,0,stable
A05211A,2025-07-31,0,stable
A05214A,2025-07-31,1,stable|noise
A05219A,2025-07-31,0,stable
A05220A,2025-07-31,0,stable
A05225A,2025-07-31,0,stable
A05226A,2025-07-31,0,stable
A05228A,2025-07-31,0,stable
A05229A,2025-07-31,0,stable
A05234A,2025-07-31,0,stable
A05238A,2025-05-27,0,stable
A05247A,2025-07-31,0,stable
A05253A,2025-07-31,0,stable
A05255A,2025-07-31,0,stable
A05258A,2025-07-31,0,stable
A05274A,2025-07-31,0,stable
A05278A,2025-07-29,0,stable
A05286A,2025-07-25,0,stable
A0528N,2025-07-30,1,low_coverage_active
A05290A,2025-07-31,0,stable
A05292A,2025-07-31,0,stable
A05296A,2025-07-31,1,low_coverage_active
A05354A,2025-07-31,0,stable
A05355A,2025-07-31,0,stable
A05356A,2025-07-31,0,stable
A05366E,2025-07-31,0,stable
A0537H,2024-11-18,1,low_coverage_active
A05408A,2025-07-31,0,stable
A05409A,2025-07-31,1,stable|noise
A05410A,2025-07-31,0,stable
A05432A,2025-07-30,1,stable|noise
A05501A,2025-07-31,0,stable
A05502A,2025-07-31,0,stable
A05503A,2025-07-31,0,stable
A05504A,2025-07-31,0,stable
A05505A,2025-07-31,0,stable
A05506A,2025-07-31,1,stable|noise
A05507A,2025-07-31,0,stable
A05508A,2025-07-31,0,stable
A05509A,2025-07-31,1,low_coverage_active
A0576E,2025-07-31,1,low_coverage_active
A0582H,2024-11-03,1,low_coverage_active
A0604A,2024-05-21,1,low_coverage_active
A0623N,2025-07-31,1,low_coverage_active
A064,2024-09-04,1,low_coverage_active
A0646E,2025-07-31,1,low_coverage_active
A0682K,2024-03-06,1,low_coverage_active
A0689J,2025-07-31,1,low_coverage_active
A0748J,2025-07-18,1,low_coverage_active
A0772M,2024-09-14,1,low_coverage_active
A0776D,2025-06-27,1,low_coverage_active
A0802E,2025-07-02,1,low_coverage_active
A0813B,2024-08-04,1,low_coverage_active|noise
A0814M,2025-01-16,1,low_coverage_active
A0855A,2024-12-22,1,low_coverage_active
A0858A,2024-08-22,1,low_coverage_active
A0921D,2025-06-19,1,low_coverage_active
A0945H,2023-11-09,1,low_coverage_active
A1016L,2024-11-18,1,low_coverage_active
A1022C,2025-07-15,1,low_coverage_active
A1024C,2025-07-31,1,low_coverage_active
A1113L,2024-03-11,1,low_coverage_active
A1118K,2025-04-14,1,low_coverage_active
A1123C,2025-05-20,1,low_coverage_active
A114JLB,2025-07-26,1,low_coverage_active
A1155G,2025-07-31,1,low_coverage_active|noise
A1178C,2025-07-30,1,low_coverage_active
A1185K,2025-07-19,1,low_coverage_active
A1291M,2025-04-01,1,low_coverage_active
A1297B,2024-08-10,1,low_coverage_active
A1343H,2024-10-03,1,low_coverage_active
A1343HA,2025-02-23,1,low_coverage_active
A13857,2024-09-07,1,low_coverage_active|noise
A145AA,2020-02-11,1,low_coverage_active
A1506D,2025-07-27,1,low_coverage_active
A154JMF,2025-07-31,1,low_coverage_active
A1656L,2024-03-09,1,low_coverage_active
A1669G,2024-02-11,1,low_coverage_active
A1693J,2023-12-30,1,low_coverage_active|noise
A1724E,2025-06-06,1,low_coverage_active
A1725K,2024-10-10,1,low_coverage_active
A1776H,2025-07-31,1,low_coverage_active
A177JMK,2025-07-08,1,low_coverage_active
A1805G,2025-05-17,1,low_coverage_active
A1830K,2025-07-20,1,low_coverage_active
A1844K,2025-07-28,1,low_coverage_active|noise
A1861G,2025-07-01,1,low_coverage_active
A1908B,2025-03-14,1,low_coverage_active
A191JMD,2024-09-05,1,low_coverage_active
A1921M,2025-07-17,1,low_coverage_active
A1930N,2024-08-20,1,low_coverage_active
A1939N,2025-03-10,1,low_coverage_active
A19BNE,2025-07-29,1,low_coverage_active
A2000N,2025-07-31,1,low_coverage_active
A2025H,2024-08-18,1,low_coverage_active
A2044N,2023-12-24,1,low_coverage_active
A2059C,2025-04-11,1,low_coverage_active
A2082M,2024-03-08,1,low_coverage_active
A2092L,2025-07-27,1,low_coverage_active
A2101H,2024-08-16,1,low_coverage_active
A2118G,2025-03-31,1,low_coverage_active
A2164D,2024-10-17,1,low_coverage_active
A2175A,2025-06-10,1,low_coverage_active
A2175D,2025-02-27,1,low_coverage_active
A2203E,2025-05-16,1,low_coverage_active
A222JMG,2025-01-25,1,low_coverage_active
A2235C,2025-05-06,1,low_coverage_active
A22603,2025-07-27,1,low_coverage_active|noise
A23232E,2025-07-31,0,stable
A23276E,2024-07-19,1,low_coverage_active
A23350E,2024-10-09,0,stable
A23443E,2025-07-31,0,stable
A23685E,2024-03-24,1,stable|noise
A23726E,2024-11-26,0,stable
A23757E,2025-02-12,0,stable
A2381G,2025-03-27,1,low_coverage_active
A24207E,2025-07-31,0,stable
A24320E,2025-07-30,0,stable
A24333E,2024-10-25,0,stable
A24346E,2025-03-30,0,stable
A24472E,2024-10-26,0,stable
A24473E,2025-04-09,0,stable
A24616E,2025-07-29,0,stable
A24630E,2025-06-16,0,stable
A2464C,2025-07-25,1,low_coverage_active
A24654E,2025-07-30,0,stable
A2473G,2025-04-24,1,low_coverage_active
A24761E,2025-07-31,0,stable
A24766E,2023-11-20,1,low_coverage_active
A24778E,2024-10-29,0,stable
A2488M,2025-05-28,1,low_coverage_active
A2490E,2025-07-20,1,low_coverage_active
A25096E,2025-07-31,0,stable
A25097E,2023-11-23,1,low_coverage_active
A25250E,2024-10-21,1,low_coverage_active
A2525C,2025-07-31,1,low_coverage_active
A25271E,2025-07-24,0,stable
A2539C,2025-07-13,1,low_coverage_active|noise
A25907,2025-01-27,1,low_coverage_active
A2591J,2024-10-29,1,low_coverage_active
A25924E,2025-07-31,0,stable
A25990E,2025-03-27,0,stable
A26052E,2025-02-07,0,stable
A26057E,2025-07-30,1,low_coverage_active
A26082E,2025-07-31,0,stable
A26145,2025-07-17,1,low_coverage_active|noise
A26160E,2024-08-30,1,low_coverage_active
A26364E,2024-10-17,1,low_coverage_active
A26374E,2025-04-09,1,low_coverage_active
A2657C,2025-07-21,1,low_coverage_active
A26614E,2025-04-13,1,stable|noise
A266JME,2025-07-31,1,low_coverage_active
A26706E,2025-07-10,1,stable|noise
A2674M,2025-07-18,1,low_coverage_active
A2705K,2025-01-04,1,low_coverage_active
A274JMF,2025-07-27,1,low_coverage_active
A27513E,2024-06-17,0,stable
A27549E,2025-02-20,0,stable
A2757H,2024-06-24,1,low_coverage_active
A2761B,2025-07-23,1,low_coverage_active
A278JMF,2024-12-20,1,low_coverage_active|noise
A27973E,2025-05-12,0,stable
A2797B,2024-09-15,1,low_coverage_active
A2810C,2024-12-20,1,low_coverage_active
A28124E,2025-06-05,1,stable|noise
A281JTS,2025-06-29,1,low_coverage_active
A2835L,2025-07-30,1,low_coverage_active
A2841C,2025-07-30,1,low_coverage_active|noise
A28535E,2025-07-30,0,stable
A28624E,2025-02-24,0,stable
A2862L,2025-07-31,1,low_coverage_active
A2889E,2025-05-29,1,low_coverage_active
A29015E,2025-07-30,0,stable
A2901C,2024-02-12,1,low_coverage_active
A29057E,2024-09-05,0,stable
A29081,2024-11-11,1,low_coverage_active
A29124E,2024-06-05,0,stable
A2945E,2024-11-20,1,low_coverage_active
A29465E,2025-07-30,0,stable
A29517E,2024-01-01,1,low_coverage_active
A2961J,2025-07-31,1,low_coverage_active
A2967L,2025-03-30,1,low_coverage_active|noise
A2988C,2025-06-08,1,low_coverage_active
A29998E,2025-07-30,0,stable
A3043J,2024-12-18,1,low_coverage_active
A30514E,2025-07-30,0,stable
A3083D,2023-12-03,1,low_coverage_active
A3086D,2025-07-17,1,low_coverage_active
A3151A,2025-07-11,1,low_coverage_active
A3155K,2025-07-30,1,low_coverage_active
A3187E,2023-12-10,1,low_coverage_active
A32194E,2025-06-28,0,stable
A3315E,2023-09-27,1,low_coverage_active
A3315J,2024-04-21,1,low_coverage_active
A3319E,2025-07-29,1,low_coverage_active
A3330M,2025-07-20,1,low_coverage_active
A3358A,2025-07-19,1,low_coverage_active
A3392G,2025-07-14,1,low_coverage_active
A346JMC,2025-07-31,1,low_coverage_active|noise
A3472C,2023-10-15,1,low_coverage_active
A3486H,2024-05-06,1,low_coverage_active|noise
A3487H,2025-07-12,1,low_coverage_active
A3496J,2024-07-10,0,stable
A3512J,2025-07-20,1,low_coverage_active
A3513J,2025-06-07,1,low_coverage_active
A3524H,2025-07-23,1,low_coverage_active
A3606J,2025-06-26,1,low_coverage_active
A3612C,2025-07-26,1,low_coverage_active
A3625B,2025-07-30,1,low_coverage_active
A3697K,2024-06-05,1,low_coverage_active
A3730M,2025-07-14,1,low_coverage_active
A3750L,2025-07-15,1,low_coverage_active
A3757E,2025-07-19,1,low_coverage_active
A3816H,2025-07-13,1,low_coverage_active
A3820J,2024-06-19,1,low_coverage_active
A3859D,2025-05-28,1,low_coverage_active
A3861B,2025-02-09,1,low_coverage_active
A3864B,2025-06-23,1,low_coverage_active
A3873M,2024-04-02,1,low_coverage_active
A3889A,2025-01-12,1,low_coverage_active
A3917B,2025-07-30,1,low_coverage_active
A3929L,2025-07-11,1,low_coverage_active
A399JMB,2025-07-31,1,low_coverage_active
A4056C,2025-07-15,1,low_coverage_active
A40958,2024-06-02,1,low_coverage_active
A4096M,2025-07-23,1,low_coverage_active
A4114B,2024-09-25,1,low_coverage_active
A4147E,2025-06-17,1,low_coverage_active
A4171D,2024-07-18,1,low_coverage_active
A4172C,2024-02-27,1,low_coverage_active
A4174H,2025-05-04,1,low_coverage_active
A4177K,2025-07-20,1,low_coverage_active
A4193A,2024-06-05,1,low_coverage_active
A4223B,2025-07-31,1,low_coverage_active
A4250B,2025-07-31,1,low_coverage_active
A4267D,2025-07-16,1,low_coverage_active
