hotspot_type,priority,placa,overall_portfolio_risk,core_financial_risk,telemetry_enhancement_score,safety_risk_component,operational_risk_component,risk_category,projected_insurance_cost,coverage_ratio_30d,arrears_amount,harsh_brake_events,overspeed_events,idling_events,after_hours_events
portfolio_risk,HIGH,NJB4766,0.3336232091333334,0.2316827841203703,0.0,0.0,0.0,high,23362.78280768,0.0152358388888888,17725.7549,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A6869D,0.3333699381066666,0.2315069014629629,0.0,0.0,0.0,high,23360.351405824,0.0168593711111111,17696.53132,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A3083D,0.3332310469733334,0.231410449287037,0.0,0.0,0.0,high,23359.018050944,0.0177496988888888,17680.50542,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,A9933G,0.3331834980693334,0.2313774292148148,0.0,0.0,0.0,high,23358.5615814656,0.0180544995555555,17675.019008,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,MYZ280A,0.33304726944,0.231282826,0.0,0.0,0.0,high,23357.253786624,0.01892776,17659.30032,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,MJV798B,0.33297359324,0.2312316619722222,0.0,0.0,0.0,high,23356.546495104,0.0194000433333333,17650.79922,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,J75AUP,0.3329150793733335,0.2311910273425926,0.0,0.0,0.0,high,23355.984761984,0.0197751322222222,17644.04762,0.0,0.0,0.0,0.0
portfolio_risk,HIGH,PDZ7437,0.3327797146633334,0.2310970240717592,0.0,0.0,0.0,high,23354.685260768,0.0206428547222222,17628.428615,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,CR5662,0.1866574723444444,0.2333218404305555,0.0,0.0,0.0,low,14615.90070132,0.0001060883333333,17998.09041,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,CR5662,0.1119944834066666,0.2333218404305555,0.0,0.0,0.0,low,11692.720561056,0.0001060883333333,17998.09041,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,CR5662,0.33598345022,0.2333218404305555,0.0,0.0,0.0,high,23385.441122112,0.0001060883333333,17998.09041,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1711MDF126,0.1866551593074074,0.2333189491342592,0.0,0.0,0.0,low,14615.87572052,0.0001327772222222,17997.61001,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,A4680C,0.1866280389481481,0.2332850486851852,0.0,0.0,0.0,low,14615.58282064,0.0004457044444444,17991.97732,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,772,0.1866216202703703,0.2332770253379629,0.0,0.0,0.0,low,14615.51349892,0.0005197661111111,17990.64421,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,772,0.3359189164866666,0.2332770253379629,0.0,0.0,0.0,high,23384.821598272,0.0005197661111111,17990.64421,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1701MDF078,0.1866037830666666,0.2332547288333333,0.0,0.0,0.0,low,14615.32085712,0.00072558,17986.93956,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1711MDF033,0.1866029907888889,0.2332537384861111,0.0,0.0,0.0,low,14615.31230052,0.0007347216666666,17986.77501,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1711MDF033,0.1119617944733333,0.2332537384861111,0.0,0.0,0.0,low,11692.249840416,0.0007347216666666,17986.77501,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,ECO518,0.1866019594555555,0.2332524493194444,0.0,0.0,0.0,low,14615.301162119998,0.0007466216666666,17986.56081,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,ECO518,0.1119611756733333,0.2332524493194444,0.0,0.0,0.0,low,11692.240929696,0.0007466216666666,17986.56081,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,P801561,0.1865840334185185,0.2332300417731481,0.0,0.0,0.0,low,14615.10756092,0.0009534605555555,17982.83771,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,845NA116C,0.1865580117518518,0.2331975146898148,0.0,0.0,0.0,low,14614.82652692,0.0012537105555555,17977.43321,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,845NA116C,0.1119348070511111,0.2331975146898148,0.0,0.0,0.0,low,11691.861221536,0.0012537105555555,17977.43321,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1912VLL28,0.1865470826518518,0.2331838533148148,0.0,0.0,0.0,low,14614.70849264,0.0013798155555555,17975.16332,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1912VLL28,0.3357847487733333,0.2331838533148148,0.0,0.0,0.0,high,23383.533588224003,0.0013798155555555,17975.16332,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,NKN3733,0.1865392594925926,0.2331740743657407,0.0,0.0,0.0,low,14614.62400252,0.0014700827777777,17973.53851,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,A4925J,0.186516336607037,0.2331454207587963,0.0,0.0,0.0,low,14614.376435355998,0.0017345776111111,17968.777603,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,PBP4733,0.1864892165703703,0.2331115207129629,0.0,0.0,0.0,low,14614.08353896,0.0020475011111111,17963.14498,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,A0858A,0.1864776337148148,0.2330970421435185,0.0,0.0,0.0,low,14613.95844412,0.0021811494444444,17960.73931,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,LHJ272C,0.1864590889403704,0.233073861175463,0.0,0.0,0.0,low,14613.758160556,0.0023951276111111,17956.887703,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,C96ATD,0.1863880035296296,0.232985004412037,0.0,0.0,0.0,low,14612.99043812,0.0032153438888888,17942.12381,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,W32ABF,0.1863408645666666,0.2329260807083333,0.0,0.0,0.0,low,14612.48133732,0.003759255,17932.33341,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,MUN882A,0.1863243950111111,0.2329054937638889,0.0,0.0,0.0,low,14612.30346612,0.0039492883333333,17928.91281,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,MUN882A,0.1117946370066666,0.2329054937638889,0.0,0.0,0.0,low,11689.842772896,0.0039492883333333,17928.91281,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,NSV5525,0.1863170312333333,0.2328962890416666,0.0,0.0,0.0,low,14612.22393732,0.004034255,17927.38341,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,NSV5525,0.33537065622,0.2328962890416666,0.0,0.0,0.0,high,23379.558299712,0.004034255,17927.38341,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,NYM9892,0.1863161689,0.232895211125,0.0,0.0,0.0,low,14612.21462412,0.0040442049999999,17927.20431,0.0,0.0,0.0,0.0
financial_risk,MEDIUM,1802MDF053,0.1862873864185185,0.2328592330231481,0.0,0.0,0.0,low,14611.903773319998,0.0043763105555555,17921.22641,0.0,0.0,0.0,0.0
telemetry_risk,MEDIUM, A-05501-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,557.0,10692.0,17425.0,0.0
telemetry_risk,MEDIUM,A-05355-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,687.0,3431.0,8045.0,0.0
telemetry_risk,MEDIUM,A-05502-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,1774.0,16744.0,37293.0,0.0
telemetry_risk,MEDIUM,A-05503-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,703.0,0.0,23638.0,0.0
telemetry_risk,MEDIUM,A-05504-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,316.0,10575.0,20894.0,0.0
telemetry_risk,MEDIUM,A-05507-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,770.0,8135.0,21555.0,0.0
telemetry_risk,MEDIUM,A-05508-A,0.125,0.0,0.625,1.0,0.25,low,13949.999999999998,0.0,0.0,295.0,4506.0,25008.0,0.0
telemetry_risk,MEDIUM,A-05502-A,0.075,0.0,0.625,1.0,0.25,low,11160.0,0.0,0.0,1774.0,16744.0,37293.0,0.0
telemetry_risk,MEDIUM,A-05355-A,0.075,0.0,0.625,1.0,0.25,low,11160.0,0.0,0.0,687.0,3431.0,8045.0,0.0
telemetry_risk,MEDIUM,A-05504-A,0.225,0.0,0.625,1.0,0.25,high,22320.0,0.0,0.0,316.0,10575.0,20894.0,0.0
