placa,plan_type,protections_allowed,protections_used,status,valid_until,reset_cycle_days,requires_manual_review
LAB-033,proteccion_caduca,2,1,active,2026-02-02,365,no
LAB-034,proteccion_caduca,2,2,active,2026-04-09,365,no
LAB-035,proteccion_caduca,2,1,active,2026-04-27,365,no
LAB-036,proteccion_total,3,0,active,2026-06-04,365,no
LAB-037,proteccion_light,1,1,active,2026-01-30,180,no
LAB-038,proteccion_total,3,3,active,2026-03-05,365,no
LAB-039,proteccion_light,1,1,active,2026-01-27,180,yes
LAB-040,proteccion_total,3,2,active,2026-03-18,365,no
LAB-041,proteccion_caduca,2,0,active,2025-12-13,365,no
LAB-042,proteccion_total,3,3,active,2026-03-27,365,no
LAB-043,proteccion_basica,2,2,active,2026-01-06,240,no
LAB-044,proteccion_total,3,2,active,2026-02-28,365,no
LAB-045,proteccion_total,3,2,active,2026-01-07,365,no
LAB-046,proteccion_basica,2,1,active,2026-03-04,240,no
LAB-047,proteccion_caduca,2,2,active,2026-02-16,365,no
LAB-048,proteccion_caduca,2,0,active,2026-05-28,365,no
LAB-049,proteccion_total,3,1,active,2026-02-02,365,no
LAB-050,proteccion_ilimitada,4,4,active,2026-04-20,180,yes
LAB-051,proteccion_basica,2,0,active,2026-03-22,240,no
LAB-052,proteccion_basica,2,0,active,2026-03-06,240,no
LAB-053,proteccion_total,3,2,active,2026-05-07,365,no
LAB-054,proteccion_ilimitada,4,0,active,2026-04-30,180,no
LAB-055,proteccion_total,3,0,active,2026-06-02,365,no
LAB-056,proteccion_caduca,2,0,active,2026-04-04,365,no
LAB-057,proteccion_basica,2,2,active,2026-01-05,240,no
LAB-058,proteccion_light,1,1,active,2026-05-14,180,yes
LAB-059,proteccion_caduca,2,0,active,2026-04-01,365,no
LAB-060,proteccion_total,3,1,active,2026-01-31,365,no
LAB-061,proteccion_total,3,0,active,2026-02-01,365,no
LAB-062,proteccion_light,1,1,active,2026-01-22,180,yes
LAB-063,proteccion_caduca,2,2,active,2025-12-16,365,no
LAB-064,proteccion_caduca,2,1,active,2026-04-22,365,yes
LAB-065,proteccion_total,3,2,active,2026-04-21,365,no
LAB-066,proteccion_caduca,2,1,active,2026-04-02,365,no
LAB-067,proteccion_total,3,2,active,2026-02-22,365,no
LAB-068,proteccion_basica,2,0,active,2026-02-21,240,no
LAB-069,proteccion_caduca,2,1,active,2026-05-30,365,no
LAB-070,proteccion_light,1,0,active,2026-02-11,180,no
LAB-071,proteccion_basica,2,1,active,2026-05-09,240,no
LAB-072,proteccion_ilimitada,4,4,active,2026-02-15,180,no
LAB-073,proteccion_total,3,2,active,2026-03-28,365,no
LAB-074,proteccion_basica,2,0,active,2026-05-29,240,no
LAB-075,proteccion_total,3,1,active,2026-06-03,365,no
LAB-076,proteccion_total,3,3,active,2026-02-27,365,no
LAB-077,proteccion_ilimitada,4,4,active,2026-05-18,180,no
LAB-078,proteccion_light,1,1,active,2026-01-19,180,no
LAB-079,proteccion_ilimitada,4,3,expired,2026-05-27,180,yes
LAB-080,proteccion_basica,2,0,expired,2026-05-24,240,yes
LAB-081,proteccion_ilimitada,4,4,active,2026-02-24,180,no
LAB-082,proteccion_caduca,2,1,active,2026-01-15,365,no
LAB-083,proteccion_light,1,1,active,2026-02-16,180,no
LAB-084,proteccion_basica,2,0,active,2026-01-11,240,no
LAB-085,proteccion_total,3,1,active,2026-04-24,365,no
LAB-086,proteccion_total,3,0,active,2026-05-04,365,no
LAB-087,proteccion_ilimitada,4,3,active,2026-02-02,180,no
LAB-088,proteccion_caduca,2,2,active,2026-01-17,365,no
LAB-089,proteccion_basica,2,1,active,2026-02-20,240,no
LAB-090,proteccion_light,1,1,active,2026-02-20,180,no
LAB-091,proteccion_basica,2,0,active,2026-04-27,240,no
LAB-092,proteccion_light,1,1,active,2026-01-24,180,no
LAB-093,proteccion_light,1,1,active,2026-04-28,180,no
LAB-094,proteccion_ilimitada,4,4,active,2026-02-22,180,yes
LAB-095,proteccion_total,3,3,active,2026-05-23,365,no
LAB-096,proteccion_basica,2,0,active,2026-01-02,240,no
LAB-097,proteccion_ilimitada,4,1,active,2026-04-23,180,no
LAB-098,proteccion_caduca,2,0,active,2026-02-07,365,no
LAB-099,proteccion_light,1,1,active,2026-05-28,180,no
LAB-100,proteccion_light,1,1,active,2026-03-16,180,no
LAB-101,proteccion_total,3,1,active,2026-06-04,365,no
LAB-102,proteccion_total,3,1,active,2026-06-02,365,no
LAB-103,proteccion_caduca,2,0,active,2026-04-23,365,no
LAB-104,proteccion_total,3,2,active,2026-05-17,365,no
LAB-105,proteccion_total,3,1,active,2026-03-17,365,no
LAB-106,proteccion_light,1,1,active,2026-01-16,180,no
LAB-107,proteccion_ilimitada,4,3,expired,2026-03-13,180,yes
LAB-108,proteccion_basica,2,1,active,2026-01-02,240,no
LAB-109,proteccion_light,1,0,active,2026-02-11,180,no
LAB-110,proteccion_basica,2,2,active,2026-02-08,240,no
LAB-111,proteccion_basica,2,2,active,2026-01-30,240,no
LAB-112,proteccion_ilimitada,4,0,expired,2026-04-29,180,yes
LAB-113,proteccion_total,3,0,active,2025-12-17,365,no
LAB-114,proteccion_total,3,2,active,2025-12-18,365,no
LAB-115,proteccion_total,3,1,active,2025-12-14,365,no
LAB-116,proteccion_total,3,3,active,2025-12-19,365,no
LAB-117,proteccion_basica,2,0,active,2025-12-17,240,no
LAB-118,proteccion_caduca,2,0,active,2025-12-21,365,no
LAB-119,proteccion_total,3,1,active,2026-02-05,365,no
LAB-120,proteccion_ilimitada,4,1,active,2026-03-07,180,no
LAB-121,proteccion_total,3,2,active,2026-05-18,365,no
LAB-122,proteccion_light,1,0,active,2026-02-14,180,no
LAB-123,proteccion_basica,2,2,active,2026-04-13,240,no
LAB-124,proteccion_basica,2,0,active,2026-05-11,240,no
LAB-125,proteccion_basica,2,0,active,2026-04-18,240,no
LAB-126,proteccion_total,3,0,active,2026-01-06,365,no
LAB-127,proteccion_total,3,1,active,2026-02-15,365,no
LAB-128,proteccion_basica,2,0,active,2026-03-17,240,no
LAB-129,proteccion_total,3,3,active,2026-02-11,365,no
LAB-130,proteccion_basica,2,1,active,2026-01-28,240,no
LAB-131,proteccion_light,1,0,active,2026-01-16,180,no
LAB-132,proteccion_basica,2,2,active,2026-04-24,240,no
LAB-133,proteccion_ilimitada,4,3,active,2026-03-09,180,no
LAB-134,proteccion_total,3,0,active,2026-02-07,365,no
LAB-135,proteccion_light,1,1,active,2026-05-26,180,no
LAB-136,proteccion_total,3,2,active,2026-01-18,365,no
LAB-137,proteccion_basica,2,0,active,2026-05-07,240,no
LAB-138,proteccion_total,3,2,active,2025-12-14,365,no
LAB-139,proteccion_light,1,1,active,2026-04-23,180,no
LAB-140,proteccion_total,3,3,active,2026-02-16,365,no
LAB-141,proteccion_basica,2,2,active,2026-02-08,240,yes
LAB-142,proteccion_basica,2,1,active,2026-05-01,240,yes
LAB-143,proteccion_light,1,0,active,2026-01-07,180,no
LAB-144,proteccion_basica,2,0,active,2026-05-12,240,no
LAB-145,proteccion_caduca,2,2,active,2026-05-20,365,no
LAB-146,proteccion_total,3,1,active,2026-03-23,365,no
LAB-147,proteccion_total,3,3,active,2026-05-26,365,no
LAB-148,proteccion_caduca,2,0,active,2026-05-11,365,no
LAB-149,proteccion_basica,2,0,active,2026-03-25,240,no
LAB-150,proteccion_total,3,0,active,2025-12-26,365,no
LAB-151,proteccion_caduca,2,1,active,2026-01-07,365,no
LAB-152,proteccion_light,1,0,active,2026-04-15,180,no
LAB-153,proteccion_light,1,0,active,2025-12-15,180,no
LAB-154,proteccion_caduca,2,0,active,2026-01-23,365,no
LAB-155,proteccion_caduca,2,0,active,2026-04-23,365,no
LAB-156,proteccion_light,1,1,active,2026-03-13,180,no
LAB-157,proteccion_total,3,0,active,2026-02-05,365,no
LAB-158,proteccion_basica,2,1,active,2026-01-02,240,no
LAB-159,proteccion_ilimitada,4,1,active,2026-05-14,180,no
LAB-160,proteccion_light,1,0,active,2026-04-15,180,no
LAB-161,proteccion_total,3,3,active,2026-03-12,365,no
LAB-162,proteccion_total,3,0,active,2026-05-24,365,no
LAB-163,proteccion_caduca,2,1,active,2026-04-29,365,no
LAB-164,proteccion_total,3,1,active,2025-12-25,365,no
LAB-165,proteccion_total,3,1,active,2026-04-03,365,no
LAB-166,proteccion_caduca,2,1,active,2026-02-05,365,no
LAB-167,proteccion_ilimitada,4,3,active,2025-12-24,180,no
LAB-168,proteccion_basica,2,1,active,2026-05-04,240,no
LAB-169,proteccion_total,3,3,active,2025-12-21,365,no
LAB-170,proteccion_caduca,2,2,active,2026-01-28,365,no
LAB-171,proteccion_total,3,2,active,2026-05-08,365,no
LAB-172,proteccion_caduca,2,1,active,2026-01-13,365,no
LAB-173,proteccion_total,3,2,active,2026-03-05,365,no
LAB-174,proteccion_total,3,1,active,2026-01-15,365,yes
LAB-175,proteccion_light,1,0,active,2026-03-31,180,no
LAB-176,proteccion_light,1,1,active,2026-04-09,180,yes
LAB-177,proteccion_basica,2,1,active,2026-03-29,240,no
LAB-178,proteccion_basica,2,2,expired,2026-02-09,240,yes
LAB-179,proteccion_ilimitada,4,0,active,2026-01-14,180,no
LAB-180,proteccion_light,1,0,active,2025-12-26,180,no
LAB-181,proteccion_total,3,2,active,2026-01-05,365,no
LAB-182,proteccion_light,1,1,active,2026-03-13,180,no
LAB-183,proteccion_total,3,2,active,2026-05-11,365,no
LAB-184,proteccion_basica,2,0,active,2026-04-06,240,no
LAB-185,proteccion_basica,2,1,active,2025-12-16,240,no
LAB-186,proteccion_total,3,2,active,2026-03-11,365,no
LAB-187,proteccion_total,3,0,active,2026-03-19,365,no
LAB-188,proteccion_total,3,3,active,2026-05-04,365,no
LAB-189,proteccion_basica,2,0,active,2026-04-29,240,no
LAB-190,proteccion_basica,2,2,active,2026-02-03,240,no
LAB-191,proteccion_total,3,3,active,2026-04-16,365,no
LAB-192,proteccion_basica,2,2,active,2026-04-30,240,yes
LAB-193,proteccion_basica,2,2,active,2026-03-17,240,no
LAB-194,proteccion_total,3,1,active,2026-03-12,365,no
LAB-195,proteccion_basica,2,0,expired,2026-05-04,240,yes
LAB-196,proteccion_caduca,2,2,active,2026-02-04,365,no
LAB-197,proteccion_basica,2,2,active,2026-02-27,240,no
LAB-198,proteccion_total,3,3,active,2026-02-22,365,no
LAB-199,proteccion_total,3,1,active,2026-03-16,365,yes
