placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,fault_events_30d,idle_hours_ratio_30d,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,after_hours_ratio_30d,safety_score,safety_alert,telemetry_health_score,telemetry_alert,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-010,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,0,2,active,2026-06-04,365,False,17200,7305.38,5919.59,13224.97,3975.03,0.1,0.086,0.086,1783.12,1477.94,1477.94,200.0,6.67,56.94,56.94,56.94,562.0,20.6,18.39,3.02,0,0.164,0.391,0.291,135.8,5.7,42.98,0.242,0.907,1,0.401,0,0.274,0.767,1.0,1,0,1,0,2025-09-10,consumption_gap,consumption_gap
LAB-011,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2026-03-21,180,False,20500,9962.47,9549.67,19512.14,987.86,0.1,0.05,0.045,1810.06,1025.0,919.64,200.0,6.67,34.9,34.9,34.9,628.4,30.4,25.28,9.35,0,0.37,0.215,0.243,155.0,8.86,37.56,0.247,0.613,0,0.43,0,0.617,0.638,0.597,0,0,1,0,2025-09-29,baseline,baseline
LAB-012,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-05-01,240,False,16800,9612.05,7795.65,17407.7,0.0,0.422,0.205,0.118,6534.11,3440.92,1988.9,356.82,11.89,280.0,136.27,67.82,1191.7,60.0,49.3,17.17,2,0.348,0.223,0.31,360.9,21.6,31.84,0.303,0.698,0,0.189,1,0.58,0.817,0.619,0,0,0,0,2025-08-25,baseline,baseline
LAB-013,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-01-22,365,False,17200,8209.32,9985.28,18194.6,0.0,0.1,0.05,0.02,1562.04,860.0,344.0,200.0,6.67,11.85,11.85,11.85,604.9,28.1,21.42,7.22,0,0.337,0.256,0.243,163.7,8.64,26.16,0.271,0.682,0,0.491,0,0.562,0.638,0.712,0,0,1,0,2025-07-27,baseline,baseline
LAB-014,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2025-12-21,365,False,17200,8026.2,9642.95,17669.15,0.0,0.141,0.141,0.108,2562.23,2425.97,1862.26,200.0,6.67,99.71,99.71,76.26,569.7,30.2,22.78,4.09,0,0.18,0.265,0.295,81.2,2.45,10.22,0.143,0.753,0,0.305,1,0.299,0.775,0.737,0,0,1,0,2025-08-12,baseline,baseline
LAB-015,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-05-06,180,False,13500,7148.22,6562.22,13710.44,0.0,0.421,0.421,0.3,6045.56,5688.42,4053.26,343.08,11.44,81.63,81.63,59.83,903.9,40.1,35.77,7.5,0,0.21,0.382,0.331,184.1,8.25,28.95,0.204,0.948,1,0.345,1,0.35,0.871,1.0,0,0,1,0,2025-10-06,baseline,baseline
LAB-016,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-01-27,180,False,20500,13548.32,8332.25,21880.57,0.0,0.155,0.155,0.106,3330.0,3169.9,2174.39,200.0,6.67,121.31,121.31,74.44,644.7,29.0,22.62,3.81,0,0.168,0.273,0.315,275.4,5.93,23.4,0.427,0.786,0,0.244,1,0.281,0.828,0.758,0,0,0,0,2025-09-27,baseline,baseline
LAB-017,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-01,240,False,16800,8536.79,8225.86,16762.65,37.35,1.338,0.615,0.278,20948.64,10333.45,4665.4,1050.62,35.02,130.35,54.08,28.87,3050.5,120.6,105.92,48.89,0,0.462,0.323,0.425,1213.3,30.44,41.94,0.398,0.938,1,0.126,1,0.769,1.0,0.897,0,0,1,0,2025-08-18,baseline,baseline
LAB-018,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-05-23,180,False,13500,8555.26,4624.96,13180.22,319.78,0.673,0.338,0.173,9680.17,4563.11,2334.44,580.44,19.35,249.15,118.05,57.47,1570.5,59.9,55.49,21.16,1,0.381,0.332,0.194,429.2,24.17,40.04,0.273,0.757,0,0.174,1,0.635,0.51,0.922,0,0,1,0,2025-07-22,baseline,baseline
LAB-019,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-04-17,365,False,19000,7011.19,9580.24,16591.43,2408.57,0.1,0.066,0.066,1696.36,1251.06,1251.06,200.0,6.67,22.81,22.81,22.81,610.4,25.9,21.79,6.72,0,0.308,0.292,0.333,269.6,6.75,45.25,0.442,0.838,0,0.451,0,0.514,0.876,0.812,1,0,1,0,2025-09-30,consumption_gap,consumption_gap
LAB-020,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-05-27,180,False,13500,8688.33,5314.68,14003.01,0.0,1.329,0.617,0.32,19285.28,8327.63,4321.48,1328.17,44.27,138.01,65.85,33.68,4263.5,190.9,164.65,38.4,0,0.233,0.279,0.331,1620.1,41.7,23.33,0.38,0.813,0,0.254,1,0.389,0.871,0.775,0,0,1,0,2025-08-16,baseline,baseline
LAB-021,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2026-02-05,365,False,17200,9358.35,9187.76,18546.11,0.0,1.326,0.585,0.274,24807.8,10063.54,4704.83,971.68,32.39,134.95,63.42,32.93,2618.5,108.5,87.42,14.33,0,0.164,0.384,0.272,761.4,22.64,41.02,0.291,0.886,1,0.259,1,0.273,0.716,1.0,0,0,1,0,2025-08-26,baseline,baseline
LAB-022,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,-1,expired,2026-04-26,365,True,19000,7511.15,189.44,7700.59,11299.41,0.586,0.256,0.114,12242.97,4855.96,2174.74,518.06,17.27,260.93,122.21,61.75,1711.3,85.7,65.85,10.42,1,0.158,0.296,0.357,518.4,7.25,17.63,0.303,0.87,0,0.233,1,0.264,0.94,0.823,0,0,0,0,2025-08-06,delinquency,proteccion_negativa
LAB-023,AGUASCALIENTES,proteccion_total,520000,19000,48,3,2,1,active,2026-03-17,365,False,19000,8795.38,10751.26,19546.64,0.0,0.754,0.506,0.281,13023.54,9611.6,5340.89,1115.66,37.19,241.98,104.92,47.08,3658.8,193.5,149.95,68.08,2,0.454,0.3,0.38,1510.2,17.1,16.07,0.413,0.9,1,0.137,1,0.757,1.0,0.833,0,0,1,0,2025-07-27,baseline,baseline
LAB-024,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-06-01,365,False,17200,10898.87,5872.77,16771.64,428.36,0.371,0.223,0.109,6562.0,3835.13,1871.85,336.78,11.23,242.79,132.57,65.66,1139.7,43.0,40.3,13.78,2,0.342,0.316,0.295,110.4,6.47,11.67,0.097,0.838,0,0.162,1,0.57,0.776,0.879,0,0,0,0,2025-08-26,baseline,baseline
LAB-025,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-01-04,365,False,17200,7989.1,5410.15,13399.25,3800.75,1.6,0.811,0.443,29900.65,13944.69,7620.99,1377.0,45.9,75.41,31.93,16.51,3912.1,175.7,139.49,49.34,0,0.354,0.355,0.331,1044.1,33.67,26.97,0.267,0.94,0,0.333,1,0.59,0.871,0.986,1,0,1,0,2025-09-13,consumption_gap,consumption_gap
LAB-026,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-03-29,365,False,19000,11452.19,8165.34,19617.53,0.0,0.217,0.101,0.044,3926.93,1910.76,829.9,200.0,6.67,280.0,150.29,75.27,554.8,22.6,19.73,2.62,2,0.133,0.27,0.44,216.7,5.93,30.63,0.391,0.851,1,0.233,1,0.222,1.0,0.751,0,0,0,0,2025-08-06,baseline,baseline
LAB-027,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,0,2,active,2026-05-12,365,False,17200,9595.1,8144.66,17739.76,0.0,1.6,1.5,1.4,26919.65,25800.0,24080.0,3800.0,126.67,2.01,0.0,0.0,12119.6,532.2,401.25,120.9,0,0.301,0.278,0.249,3915.0,157.72,27.77,0.323,0.726,0,0.723,0,0.502,0.656,0.772,0,0,1,0,2025-10-04,baseline,baseline
LAB-028,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-02-24,365,False,19000,10137.12,8340.18,18477.3,522.7,0.1,0.05,0.02,1967.78,950.0,380.0,200.0,6.67,11.89,11.89,11.89,522.3,22.9,17.53,4.45,0,0.254,0.342,0.254,67.8,3.99,46.34,0.13,0.837,0,0.494,0,0.423,0.667,0.949,0,0,1,0,2025-07-25,baseline,baseline
LAB-029,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-02-28,180,False,13500,5772.17,6083.23,11855.4,1644.6,0.637,0.263,0.137,7332.9,3553.78,1848.42,538.6,17.95,255.09,117.61,60.81,1490.5,59.2,53.86,9.68,1,0.18,0.342,0.418,272.7,21.2,47.61,0.183,0.97,1,0.209,1,0.3,1.0,0.95,1,0,1,0,2025-09-01,consumption_gap,consumption_gap
LAB-030,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-02-21,365,False,19000,9248.36,7735.08,16983.44,2016.56,0.1,0.05,0.042,1686.57,950.0,806.93,200.0,6.67,23.14,23.14,23.14,548.9,19.2,18.09,3.69,5,0.204,0.326,0.266,216.7,4.93,11.36,0.395,0.824,0,0.491,0,0.34,0.701,0.906,0,1,1,0,2025-08-06,fault_alert,fault_alert
LAB-031,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2025-12-15,365,False,17200,9316.42,8229.96,17546.38,0.0,1.098,0.514,0.24,20035.02,8840.4,4122.14,1206.3,40.21,169.66,77.51,38.24,3602.1,160.1,122.6,36.99,0,0.302,0.27,0.251,636.8,26.88,27.95,0.177,0.714,0,0.23,1,0.503,0.661,0.749,0,0,1,0,2025-10-01,baseline,baseline
LAB-032,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-05-14,180,False,20500,7902.78,8861.53,16764.31,3735.69,1.471,0.61,0.319,27079.64,12506.24,6533.91,1159.44,38.65,111.69,59.61,30.89,3037.6,118.0,99.62,22.98,0,0.231,0.201,0.299,930.1,34.47,33.35,0.306,0.65,0,0.312,1,0.385,0.787,0.559,1,0,1,0,2025-08-09,consumption_gap,consumption_gap
LAB-033,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-02-02,365,False,17200,6538.99,7764.63,14303.62,2896.38,1.216,0.628,0.316,21861.89,10793.24,5436.85,1335.96,44.53,168.01,71.34,32.64,4399.9,225.3,177.42,49.4,0,0.278,0.238,0.32,1940.8,78.88,19.53,0.441,0.734,0,0.25,1,0.464,0.843,0.66,0,0,1,1,2025-09-29,delinquency,promesa_incumplida
LAB-034,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-04-09,365,False,17200,11977.82,5401.86,17379.68,0.0,0.513,0.253,0.132,8415.81,4344.07,2278.42,464.41,15.48,270.37,126.65,63.34,1502.3,74.3,61.08,24.97,1,0.409,0.32,0.357,488.0,14.08,9.95,0.325,0.91,0,0.124,1,0.681,0.941,0.89,0,0,0,0,2025-07-31,baseline,baseline
LAB-035,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-27,365,False,17200,9423.64,7091.36,16515.0,685.0,1.6,1.5,1.4,23728.87,25800.0,24080.0,3800.0,126.67,0.0,0.0,0.0,10593.0,488.5,373.61,45.44,3,0.122,0.304,0.261,3465.1,89.84,43.83,0.327,0.781,0,0.793,0,0.203,0.686,0.845,0,1,1,0,2025-09-06,fault_alert,fault_alert
LAB-036,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-06-04,365,False,19000,8158.37,7135.97,15294.34,3705.66,0.471,0.264,0.142,9591.39,5010.49,2696.08,431.45,14.38,265.92,127.16,62.47,1186.5,55.6,48.24,18.25,2,0.378,0.33,0.448,352.6,11.71,13.47,0.297,0.95,1,0.131,1,0.631,1.0,0.917,1,0,0,0,2025-08-01,consumption_gap,consumption_gap
LAB-037,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-30,180,False,13500,9164.13,4532.96,13697.09,0.0,0.1,0.05,0.044,1270.82,675.0,600.16,200.0,6.67,46.46,46.46,46.46,530.7,22.0,20.88,5.91,0,0.283,0.299,0.389,131.4,9.1,38.08,0.248,0.898,1,0.376,1,0.472,1.0,0.83,0,0,1,0,2025-07-12,baseline,baseline
LAB-038,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-03-05,365,False,19000,12868.06,6489.91,19357.97,0.0,0.1,0.05,0.044,1895.6,950.0,827.53,200.0,6.67,34.98,34.98,34.98,624.6,26.9,23.93,5.65,0,0.236,0.309,0.471,201.1,9.03,39.35,0.322,0.915,1,0.425,0,0.393,1.0,0.858,0,0,1,0,2025-07-02,baseline,baseline
LAB-039,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-01-27,180,True,13500,7836.9,5089.59,12926.49,573.51,0.604,0.287,0.15,7306.85,3869.71,2019.74,656.58,21.89,259.1,121.35,60.38,2002.4,100.9,81.03,37.59,2,0.464,0.307,0.287,751.3,35.32,12.12,0.375,0.813,0,0.124,1,0.773,0.755,0.852,0,1,0,0,2025-08-26,fault_alert,fault_alert
LAB-040,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-03-18,365,False,19000,9080.1,9919.63,18999.73,-1878.59,0.1,0.055,0.055,1713.33,1042.48,1042.48,200.0,6.67,46.31,46.31,46.31,568.3,25.0,21.24,2.56,0,0.121,0.33,0.232,158.4,5.9,27.58,0.279,0.794,0,0.467,0,0.201,0.609,0.917,0,0,1,0,2025-08-29,baseline,baseline
LAB-041,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2025-12-13,365,False,17200,9126.71,7755.48,16882.19,317.81,0.737,0.305,0.154,12934.82,5240.13,2650.51,809.55,26.99,233.64,111.89,56.78,2252.7,113.8,85.6,11.77,2,0.137,0.221,0.335,643.9,9.98,13.53,0.286,0.721,0,0.279,1,0.229,0.882,0.613,0,0,1,0,2025-09-22,baseline,baseline
LAB-042,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-03-27,365,False,19000,11495.71,7151.14,18646.85,353.15,0.1,0.05,0.03,1895.34,950.0,577.53,200.0,6.67,23.42,23.42,23.42,655.9,35.6,27.29,9.36,0,0.343,0.319,0.278,125.1,5.16,44.75,0.191,0.824,0,0.43,0,0.571,0.732,0.886,0,0,1,0,2025-07-03,baseline,baseline
LAB-043,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-01-06,240,False,16800,7789.82,8335.54,16125.36,674.64,0.1,0.05,0.044,1680.31,840.0,732.95,200.0,6.67,11.48,11.48,11.48,554.6,23.6,20.62,3.05,3,0.148,0.308,0.179,159.9,3.26,37.01,0.288,0.703,0,0.573,0,0.247,0.471,0.857,0,1,1,0,2025-07-13,fault_alert,fault_alert
LAB-044,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-02-28,365,False,19000,11842.2,6634.97,18477.17,522.83,0.1,0.063,0.063,2086.09,1202.89,1202.89,200.0,6.67,57.82,57.82,57.82,520.6,29.1,21.59,7.13,0,0.33,0.289,0.321,148.1,6.21,32.87,0.284,0.819,0,0.342,1,0.551,0.846,0.802,0,0,1,0,2025-10-06,baseline,baseline
LAB-045,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-01-07,365,False,19000,9827.73,4491.28,14319.01,4680.99,1.6,0.751,0.377,30367.42,14263.75,7165.65,1295.48,43.18,89.85,37.49,22.06,3607.9,134.9,119.8,40.72,0,0.34,0.223,0.328,1147.1,42.41,30.68,0.318,0.717,0,0.328,1,0.566,0.863,0.619,1,0,1,0,2025-07-03,consumption_gap,consumption_gap
LAB-046,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-03-04,240,False,16800,10903.32,6192.86,17096.18,0.0,0.846,0.399,0.197,12413.02,6704.49,3309.44,674.0,22.47,219.26,101.78,50.7,2232.1,104.6,83.4,14.49,1,0.174,0.22,0.27,945.9,33.41,44.5,0.424,0.651,0,0.287,1,0.29,0.711,0.61,0,0,1,0,2025-07-29,baseline,baseline
LAB-047,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-02-16,365,False,17200,9963.18,8035.3,17998.48,0.0,1.6,1.5,1.4,28778.77,25800.0,24080.0,3800.0,126.67,0.0,0.0,0.0,11612.6,620.3,469.53,202.65,0,0.432,0.234,0.281,4909.2,169.15,8.93,0.423,0.687,0,0.683,0,0.719,0.74,0.651,0,0,1,0,2025-07-30,baseline,baseline
LAB-048,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-05-28,365,False,17200,9112.27,8588.88,17701.15,0.0,0.1,0.064,0.064,1637.93,1102.37,1102.37,200.0,6.67,46.2,46.2,46.2,616.3,24.0,20.18,3.85,0,0.191,0.29,0.324,173.4,3.17,35.38,0.281,0.824,0,0.434,0,0.318,0.851,0.805,0,0,1,0,2025-09-17,baseline,baseline
LAB-049,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-02-02,365,False,19000,10947.94,5308.89,16256.83,2743.17,0.1,0.05,0.02,1710.99,950.0,380.0,200.0,6.67,11.88,11.88,11.88,549.7,23.7,19.88,4.24,2,0.213,0.305,0.233,193.7,6.53,27.82,0.352,0.754,0,0.528,0,0.356,0.614,0.846,0,1,1,0,2025-07-25,fault_alert,fault_alert
LAB-050,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,4,-1,active,2026-04-20,180,True,20500,9134.63,7808.61,16943.24,3556.76,0.1,0.05,0.02,1779.31,1025.0,410.0,200.0,6.67,11.81,11.81,11.81,542.0,25.2,20.74,3.21,0,0.155,0.186,0.246,121.5,3.27,18.13,0.224,0.568,0,0.591,0,0.258,0.647,0.516,0,0,1,1,2025-07-29,delinquency,proteccion_negativa
LAB-051,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-22,240,False,16800,10752.06,6894.76,17646.82,0.0,1.278,0.599,0.295,23308.73,10063.42,4962.06,1279.48,42.65,144.73,67.85,34.68,3450.1,123.1,113.97,24.53,0,0.215,0.223,0.251,1103.0,29.34,17.81,0.32,0.637,0,0.292,1,0.359,0.662,0.621,0,0,1,0,2025-07-17,baseline,baseline
LAB-052,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-06,240,False,16800,8603.31,7891.33,16494.64,305.36,0.964,0.421,0.199,17563.59,7070.14,3335.82,964.45,32.15,195.55,91.64,47.19,3192.7,130.7,108.44,32.17,2,0.297,0.278,0.333,819.8,15.84,13.03,0.257,0.814,0,0.204,1,0.494,0.876,0.772,0,0,1,0,2025-07-06,baseline,baseline
LAB-053,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-05-07,365,False,19000,7439.33,7772.77,15212.1,3787.9,0.513,0.224,0.116,8358.03,4253.24,2195.97,457.13,15.24,280.0,128.33,65.25,1232.0,46.4,40.5,13.73,2,0.339,0.36,0.324,301.1,6.7,47.54,0.244,0.941,1,0.144,1,0.565,0.853,1.0,1,0,0,0,2025-08-25,consumption_gap,consumption_gap
LAB-054,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,0,4,active,2026-04-30,180,False,20500,9481.8,10905.71,20387.51,112.49,0.1,0.05,0.02,2061.64,1025.0,410.0,200.0,6.67,11.85,11.85,11.85,640.1,24.1,21.66,9.8,0,0.453,0.228,0.296,176.9,9.7,19.24,0.276,0.692,0,0.441,0,0.754,0.78,0.633,0,0,1,0,2025-08-26,baseline,baseline
LAB-055,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,0,3,active,2026-06-02,365,False,19000,8143.12,9609.92,17753.04,1246.96,1.6,1.5,1.4,28265.59,28500.0,26600.0,3800.0,126.67,14.68,0.0,0.0,12087.6,554.0,443.95,149.12,0,0.336,0.315,0.336,1534.3,71.93,35.12,0.127,0.879,0,0.642,0,0.56,0.885,0.874,1,0,1,0,2025-10-07,consumption_gap,consumption_gap
LAB-056,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,0,2,active,2026-04-04,365,False,17200,9431.82,5296.24,14728.06,2471.94,0.352,0.161,0.09,6136.62,2762.78,1541.64,321.95,10.73,280.0,142.48,71.3,915.0,34.6,29.87,11.53,1,0.386,0.281,0.329,326.4,8.31,44.28,0.357,0.815,0,0.144,1,0.643,0.865,0.782,1,0,0,0,2025-09-07,consumption_gap,consumption_gap
LAB-057,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-01-05,240,False,16800,8088.39,8071.93,16160.32,639.68,0.1,0.05,0.02,1703.32,840.0,336.0,200.0,6.67,11.97,11.97,11.97,626.1,29.8,25.94,4.96,0,0.191,0.258,0.188,109.9,8.66,13.17,0.175,0.628,0,0.56,0,0.319,0.495,0.717,0,0,1,0,2025-09-13,baseline,baseline
LAB-058,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,-1,active,2026-05-14,180,True,13500,3383.51,5000.52,8384.03,5115.97,1.119,0.551,0.26,15485.75,7443.22,3508.69,1229.38,40.98,174.05,80.76,38.99,4133.6,164.7,146.22,50.47,0,0.345,0.351,0.387,1241.2,49.7,8.93,0.3,0.985,1,0.161,1,0.575,1.0,0.974,0,0,1,1,2025-07-08,delinquency,proteccion_negativa
