placa,plaza,first_record_date,last_record_date,records_total,litros_total,recaudo_total,avg_daily_litros,avg_daily_recaudo,litros_30d,recaudo_30d,records_30d,litros_90d,recaudo_90d,records_90d,litros_180d,recaudo_180d,records_180d,litros_365d,recaudo_365d,records_365d,avg_30d_litros,avg_30d_recaudo,max_30d_litros,max_30d_recaudo
330C,Estado de M̩xico,2024-09-03,2024-11-03,57,1460.26,0.0,24.337666666666667,0.0,957.653,0.0,36,1460.26,0.0,57,1460.26,0.0,57,1460.26,0.0,57,486.75333333333333,0.0,897.544,0.0
370,Estado de M̩xico,2024-09-09,2024-09-11,2,73.08,0.0,36.54,0.0,73.08,0.0,2,73.08,0.0,2,73.08,0.0,2,73.08,0.0,2,73.08,0.0,73.08,0.0
3866GMK,Estado de M̩xico,2024-10-20,2025-06-14,46,530.3767,0.0,2.237876371308017,0.0,7.629700000000001,0.0,2,100.7407,0.0,11,345.02169999999995,0.0,31,530.3767,0.0,46,66.2970875,0.0,112.041,0.0
4000009,Estado de M̩xico,2024-12-30,2025-06-03,7,89.1241,0.0,0.5749941935483871,0.0,23.0291,0.0,2,38.1481,0.0,3,89.1241,0.0,7,89.1241,0.0,7,14.854016666666666,0.0,29.808,0.0
400TL078,Estado de M̩xico,2023-10-19,2024-09-28,52,2423.1980000000003,0.0,7.044180232558141,0.0,699.975,0.0,14,2199.601,0.0,44,2256.21,0.0,45,2423.1980000000003,0.0,52,201.93316666666666,0.0,1216.3890000000001,0.0
400TL310,Estado de M̩xico,2025-07-10,2025-07-10,1,16.6806,0.0,16.6806,0.0,16.6806,0.0,1,16.6806,0.0,1,16.6806,0.0,1,16.6806,0.0,1,16.6806,0.0,16.6806,0.0
400TL319,Estado de M̩xico,2023-09-15,2025-07-31,434,17367.7053,0.0,25.354314306569346,0.0,914.1883,0.0,25,2381.975,0.0,62,4544.521299999999,0.0,119,8613.0933,0.0,231,755.1176217391303,0.0,979.705,0.0
403TL113,Estado de M̩xico,2025-05-19,2025-05-19,1,41.3294,0.0,41.3294,0.0,41.3294,0.0,1,41.3294,0.0,1,41.3294,0.0,1,41.3294,0.0,1,41.3294,0.0,41.3294,0.0
403TL167,Estado de M̩xico,2023-11-21,2024-07-01,2,46.618,0.0,0.209990990990991,0.0,29.719,0.0,1,29.719,0.0,1,29.719,0.0,1,46.618,0.0,2,5.82725,0.0,29.719,0.0
403TL180,Estado de M̩xico,2024-04-25,2025-04-01,149,5971.6630000000005,0.0,17.512208211143697,0.0,304.57,0.0,8,1519.255,0.0,37,2701.2060000000006,0.0,69,5971.6630000000005,0.0,149,497.6385833333334,0.0,1091.56,0.0
404TL087,Estado de M̩xico,2024-04-13,2025-07-31,97,3545.1006,0.0,7.494927272727273,0.0,880.2384000000001,0.0,25,2629.4289,0.0,70,3515.0415999999996,0.0,96,3515.0415999999996,0.0,96,221.5687875,0.0,893.2108000000001,0.0
405TL020,Estado de M̩xico,2023-11-05,2024-07-11,16,23.731,0.0,0.09568951612903226,0.0,9.083,0.0,7,13.908000000000001,0.0,12,15.326,0.0,14,23.731,0.0,16,2.636777777777778,0.0,8.405000000000001,0.0
405TL302,Estado de M̩xico,2023-11-08,2024-01-24,7,224.889,0.0,2.9206363636363637,0.0,33.7,0.0,1,224.889,0.0,7,224.889,0.0,7,224.889,0.0,7,74.96300000000001,0.0,191.189,0.0
40AU2X,Estado de M̩xico,2024-10-29,2024-11-27,16,3517.6929999999998,0.0,125.63189285714284,0.0,3517.6929999999998,0.0,16,3517.6929999999998,0.0,16,3517.6929999999998,0.0,16,3517.6929999999998,0.0,16,3517.6929999999998,0.0,3517.6929999999998,0.0
417,Estado de M̩xico,2024-09-04,2024-09-04,1,16.68,0.0,16.68,0.0,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,1,16.68,0.0,16.68,0.0
418,Estado de M̩xico,2024-12-23,2024-12-23,1,25.569,0.0,25.569,0.0,25.569,0.0,1,25.569,0.0,1,25.569,0.0,1,25.569,0.0,1,25.569,0.0,25.569,0.0
418C,Estado de M̩xico,2024-08-28,2025-01-04,80,1143.314,0.0,8.932140625,0.0,471.7269999999999,0.0,21,491.74299999999994,0.0,23,1143.314,0.0,80,1143.314,0.0,80,228.66279999999998,0.0,651.5709999999999,0.0
44VLB,Estado de M̩xico,2023-12-26,2024-12-27,29,361.8059999999999,2090.88,0.9885409836065572,5.712786885245902,13.489,0.0,1,23.339,59.16,2,115.065,609.72,9,361.37699999999995,2088.3,28,27.831230769230764,160.83692307692309,66.187,397.26
457C,Estado de M̩xico,2024-08-28,2025-07-22,152,3572.4462,0.0,10.924911926605505,0.0,20.1092,0.0,2,20.1092,0.0,2,647.5841999999999,0.0,30,3572.4462,0.0,152,324.7678363636363,0.0,1088.165,0.0
45BB9X,Estado de M̩xico,2024-09-14,2025-07-10,80,16977.5769,0.0,56.97173456375839,0.0,3032.0218,0.0,15,5959.499899999999,0.0,29,10242.2519,0.0,50,16977.5769,0.0,80,1697.75769,0.0,3032.0218,0.0
460TL122,Estado de M̩xico,2024-03-05,2025-02-18,79,2130.9649999999997,0.0,6.088471428571427,0.0,580.5590000000001,0.0,18,1046.021,0.0,34,2089.717,0.0,77,2130.9649999999997,0.0,79,177.58041666666668,0.0,509.372,0.0
467TL118,Estado de M̩xico,2024-05-09,2024-07-24,5,24.075000000000003,0.0,0.31677631578947374,0.0,1.029,0.0,1,24.075000000000003,0.0,5,24.075000000000003,0.0,5,24.075000000000003,0.0,5,8.025,0.0,22.097,0.0
475TL188,Estado de M̩xico,2024-08-31,2025-07-31,203,8892.9084,0.0,26.625474251497007,0.0,910.2717,0.0,18,2766.4479,0.0,55,5923.4654,0.0,124,8892.9084,0.0,203,741.0757,0.0,1110.6490000000001,0.0
500ZDU,Estado de M̩xico,2024-05-20,2024-05-20,1,11.849,0.0,11.849,0.0,11.849,0.0,1,11.849,0.0,1,11.849,0.0,1,11.849,0.0,1,11.849,0.0,11.849,0.0
5480JES,Estado de M̩xico,2025-01-01,2025-07-30,175,2373.3118000000004,0.0,11.301484761904764,0.0,366.01030000000003,0.0,24,1114.9783,0.0,79,2135.9168,0.0,158,2373.3118000000004,0.0,175,296.663975,0.0,472.8263,0.0
54AM8P,Estado de M̩xico,2023-09-25,2025-01-14,37,13240.539999999997,0.0,27.816260504201676,0.0,935.608,0.0,3,2420.346,0.0,7,5165.171,0.0,14,9933.486999999997,0.0,28,827.53375,0.0,1175.808,0.0
583371,Estado de M̩xico,2025-05-19,2025-07-23,7,2239.2077,0.0,34.44934923076923,0.0,1548.2185,0.0,5,2239.2077,0.0,7,2239.2077,0.0,7,2239.2077,0.0,7,746.4025666666666,0.0,930.9991,0.0
60F708,Estado de M̩xico,2024-12-04,2025-07-06,29,361.3634,1000.0400000000001,1.6886140186915888,4.6730841121495335,43.718900000000005,0.0,3,148.8464,683.54,11,316.1654,999.6800000000001,25,361.3634,1000.0400000000001,29,45.170424999999994,125.005,89.239,403.19
62AL5N,Estado de M̩xico,2023-09-28,2025-02-12,33,13269.019,0.0,26.37975944333996,0.0,896.3000000000001,0.0,3,2294.0860000000002,0.0,7,4805.962,0.0,14,9343.765,0.0,24,780.5305294117647,0.0,1257.227,0.0
634333,Estado de M̩xico,2025-04-01,2025-07-31,48,13006.986700000001,0.0,107.49575785123967,0.0,3702.5254,0.0,14,10077.4661,0.0,36,13006.986700000001,0.0,48,13006.986700000001,0.0,48,2601.39734,0.0,3476.7756,0.0
640NZ022M,Estado de M̩xico,2024-09-22,2024-09-23,2,91.39,137.07999999999998,91.39,137.07999999999998,91.39,137.07999999999998,2,91.39,137.07999999999998,2,91.39,137.07999999999998,2,91.39,137.07999999999998,2,91.39,137.07999999999998,91.39,137.07999999999998
69AY8K,Estado de M̩xico,2024-03-25,2024-03-25,1,100.229,0.0,100.229,0.0,100.229,0.0,1,100.229,0.0,1,100.229,0.0,1,100.229,0.0,1,100.229,0.0,100.229,0.0
