placa,overall_portfolio_risk,core_financial_risk,telemetry_enhancement_score,overall_risk_score,risk_category,projected_insurance_cost,coverage_ratio_30d,gnv_credit_30d,arrears_amount,expected_payment,coverage_risk,credit_utilization,arrears_risk,safety_risk_component,operational_risk_component,accident_risk_score,fuel_efficiency_proxy,unauthorized_use_risk,tampering_risk,total_safety_events,harsh_brake_events,overspeed_events,idling_events,after_hours_events,disconnect_events,hase_default_risk,scenario_type
1511MDF034,0.18580147275555559,0.23225184094444448,0.0,0.18580147275555559,low,14606.655905759999,0.0099830066666666,179.69412,17820.30588,18000.0,0.9900169933333334,0.012478758333333333,0.9900169933333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1512EDM010,0.18406450000000005,0.23008062500000004,0.0,0.18406450000000005,low,14587.8966,0.030025,540.45,17459.55,18000.0,0.969975,0.03753125,0.9699749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1602MDF050,0.18423783925555556,0.23029729906944443,0.0,0.18423783925555556,low,14589.768663959998,0.0280249316666666,504.44877,17495.55123,18000.0,0.9719750683333334,0.03503116458333334,0.9719750683333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1603MDF019,0.1828147351777778,0.22851841897222222,0.0,0.1828147351777778,low,14574.399139919999,0.0444453633333333,800.01654,17199.98346,18000.0,0.9555546366666667,0.055556704166666665,0.9555546366666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1610MDF004,0.18546949652222225,0.2318368706527778,0.0,0.18546949652222225,low,14603.070562439998,0.0138135016666666,248.64303,17751.35697,18000.0,0.9861864983333334,0.017266877083333333,0.9861864983333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1610MDF123,0.1822039861740741,0.22775498271759262,0.0,0.1822039861740741,low,14567.803050679999,0.0514924672222222,926.86441,17073.13559,18000.0,0.9485075327777778,0.06436558402777778,0.9485075327777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1611MDF003,0.161512282702963,0.20189035337870373,0.0,0.161512282702963,low,14344.332653192,0.2902428918888888,5224.372054,12775.627946,18000.0,0.7097571081111111,0.3628036148611111,0.7097571081111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1612MDF009,0.18003672362592596,0.22504590453240744,0.0,0.18003672362592596,low,14544.39661516,0.0764993427777777,1376.98817,16623.01183,18000.0,0.9235006572222223,0.09562417847222222,0.9235006572222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1701MDF078,0.18660378306666667,0.2332547288333333,0.0,0.18660378306666667,low,14615.32085712,0.00072558,13.06044,17986.93956,18000.0,0.99927442,0.000906975,0.9992744199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1701MDF118,0.18574334990000002,0.232179187375,0.0,0.18574334990000002,low,14606.028178919998,0.010653655,191.76579,17808.23421,18000.0,0.989346345,0.013317068750000001,0.989346345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1703MDF193,0.18394788956666666,0.22993486195833332,0.0,0.18394788956666666,low,14586.63720732,0.031370505,564.66909,17435.33091,18000.0,0.968629495,0.03921313125,0.9686294950000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1704EDM001,0.16988462869555557,0.21235578586944445,0.0,0.16988462869555557,low,14434.753989912,0.1936388996666666,3485.500194,14514.499806,18000.0,0.8063611003333334,0.24204862458333334,0.8063611003333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1704MDF094,0.18410982190000003,0.230137277375,0.0,0.18410982190000003,low,14588.386076519999,0.0295020549999999,531.03699,17468.96301,18000.0,0.9704979450000001,0.03687756875,0.970497945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1705MDF058,0.17123246442962964,0.21404058053703703,0.0,0.17123246442962964,low,14449.310615839999,0.1780869488888888,3205.56508,14794.43492,18000.0,0.8219130511111112,0.2226086861111111,0.8219130511111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1706MDF121,0.17854871622962964,0.22318589528703706,0.0,0.17854871622962964,low,14528.32613528,0.0936686588888888,1686.03586,16313.96414,18000.0,0.9063313411111112,0.11708582361111111,0.9063313411111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1708MDF054,0.18480226554222223,0.2310028319277778,0.0,0.18480226554222223,low,14595.864467856,0.0215123206666666,387.221772,17612.778228,18000.0,0.9784876793333334,0.02689040083333333,0.9784876793333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1710MDF045,0.15233753748888892,0.19042192186111115,0.0,0.15233753748888892,low,14245.24540488,0.3961053366666666,7129.89606,10870.10394,18000.0,0.6038946633333334,0.4951316708333333,0.6038946633333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1711MDF017,0.15892745949999998,0.19865932437499997,0.0,0.15892745949999998,low,14316.416562599998,0.320067775,5761.21995,12238.78005,18000.0,0.679932225,0.40008471874999996,0.679932225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1711MDF033,0.18660299078888895,0.23325373848611117,0.0,0.18660299078888895,low,14615.31230052,0.0007347216666666,13.22499,17986.77501,18000.0,0.9992652783333335,0.0009184020833333333,0.9992652783333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1711MDF126,0.1866551593074074,0.23331894913425924,0.0,0.1866551593074074,low,14615.87572052,0.0001327772222222,2.38999,17997.61001,18000.0,0.9998672227777778,0.00016597152777777778,0.9998672227777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1712MDF018,0.1812160885851852,0.22652011073148148,0.0,0.1812160885851852,low,14557.13375672,0.0628912855555555,1132.04314,16867.95686,18000.0,0.9371087144444445,0.07861410694444444,0.9371087144444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1712MDF125,0.18472435164074075,0.23090543955092593,0.0,0.18472435164074075,low,14595.02299772,0.0224113272222222,403.40389,17596.59611,18000.0,0.9775886727777778,0.028014159027777777,0.9775886727777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1712MDF126,0.18061448960740742,0.22576811200925925,0.0,0.18061448960740742,low,14550.636487759999,0.0698328122222222,1256.99062,16743.00938,18000.0,0.9301671877777778,0.08729101527777779,0.9301671877777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1712MDF131,0.0887586404888889,0.11094830061111112,0.0,0.0887586404888889,low,13558.59331728,0.9530787116666666,17155.41681,844.5831900000012,18000.0,0.04692128833333342,1.0,0.0469212883333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1712MDF162,0.1772221114888889,0.2215276393611111,0.0,0.1772221114888889,low,14513.99880408,0.1089756366666666,1961.56146,16038.43854,18000.0,0.8910243633333335,0.13621954583333332,0.8910243633333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1800827,0.18335448436851853,0.22919310546064817,0.0,0.18335448436851853,low,14580.22843118,0.0382174880555555,687.9147849999999,17312.085215,18000.0,0.9617825119444445,0.04777186006944444,0.9617825119444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1801MDF009,0.18199583532592592,0.2274947941574074,0.0,0.18199583532592592,low,14565.555021519998,0.0538942077777777,970.09574,17029.90426,18000.0,0.9461057922222222,0.06736775972222223,0.9461057922222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1802709,0.18429250762592597,0.23036563453240744,0.0,0.18429250762592597,low,14590.359082359999,0.0273941427777777,493.09457,17506.90543,18000.0,0.9726058572222223,0.03424267847222222,0.9726058572222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1802MDF002,0.1859814872703704,0.23247685908796298,0.0,0.1859814872703704,low,14608.60006252,0.0079059161111111,142.30649,17857.69351,18000.0,0.9920940838888889,0.009882395138888889,0.992094083888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1802MDF053,0.18628738641851852,0.23285923302314815,0.0,0.18628738641851852,low,14611.903773319998,0.0043763105555555,78.77359,17921.22641,18000.0,0.9956236894444445,0.0054703881944444446,0.9956236894444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1802MDF058,0.17780873673444447,0.22226092091805558,0.0,0.17780873673444447,low,14520.334356731999,0.1022068838333333,1839.723909,16160.276091,18000.0,0.8977931161666667,0.12775860479166667,0.8977931161666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1803342,0.18299698107037035,0.22874622633796293,0.0,0.18299698107037035,low,14576.367395559999,0.0423425261111111,762.16547,17237.83453,18000.0,0.9576574738888889,0.05292815763888889,0.9576574738888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1804272,0.18317930072592595,0.22897412590740743,0.0,0.18317930072592595,low,14578.33644784,0.0402388377777777,724.29908,17275.70092,18000.0,0.9597611622222223,0.050298547222222226,0.9597611622222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1804501,0.18611203813333335,0.23264004766666668,0.0,0.18611203813333335,low,14610.010011839999,0.0063995599999999,115.19208,17884.80792,18000.0,0.9936004400000001,0.00799945,0.9936004399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1804586,0.18570446060703705,0.23213057575879628,0.0,0.18570446060703705,low,14605.608174555999,0.0111023776111111,199.842797,17800.157203,18000.0,0.9888976223888889,0.013877972013888889,0.9888976223888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1912VLL28,0.18654708265185185,0.2331838533148148,0.0,0.18654708265185185,low,14614.70849264,0.0013798155555555,24.83668,17975.16332,18000.0,0.9986201844444444,0.0017247694444444445,0.9986201844444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000012,0.18477471802222223,0.23096839752777779,0.0,0.18477471802222223,low,14595.566954639999,0.0218301766666666,392.94318,17607.05682,18000.0,0.9781698233333334,0.02728772083333333,0.9781698233333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000578,0.17517071068,0.21896338834999998,0.0,0.17517071068,low,14491.843675344,0.132645646,2387.6216280000003,15612.378372,18000.0,0.8673543539999999,0.16580705750000002,0.8673543539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2000705,0.16249501805444447,0.20311877256805558,0.0,0.16249501805444447,low,14354.946194988,0.2789036378333333,5020.265481,12979.734519,18000.0,0.7210963621666667,0.3486295472916667,0.7210963621666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
203ZCT,0.1795239478366667,0.22440493479583334,0.0,0.1795239478366667,low,14538.858636636,0.0824159865,1483.487757,16516.512243,18000.0,0.9175840135,0.103019983125,0.9175840135000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
225C,-0.07981681688888896,-0.09977102111111119,0.0,-0.07981681688888896,low,11737.978377599999,2.4982826583333337,44969.08785,0.0,18000.0,-1.4982826583333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2617JGE,0.18402569716666667,0.23003212145833332,0.0,0.18402569716666667,low,14587.4775294,0.030472725,548.50905,17451.49095,18000.0,0.969527275,0.03809090625,0.969527275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2900JGE,0.1455296568037037,0.1819120710046296,0.0,0.1455296568037037,low,14171.720293479999,0.4746578061111111,8543.84051,9456.15949,18000.0,0.5253421938888889,0.5933222576388889,0.5253421938888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
299TLA,0.1852994904666667,0.23162436308333334,0.0,0.1852994904666667,low,14601.234497039999,0.0157751099999999,283.95197999999993,17716.04802,18000.0,0.9842248900000001,0.019718887499999997,0.9842248899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
305,0.18376097171481484,0.22970121464351853,0.0,0.18376097171481484,low,14584.618494519998,0.0335272494444444,603.49049,17396.50951,18000.0,0.9664727505555556,0.04190906180555556,0.9664727505555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
308C,-0.023634931911111146,-0.029543664888888932,0.0,-0.023634931911111146,low,12344.742735359998,1.9715774866666669,35488.39476,0.0,18000.0,-0.9715774866666669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
320C,0.11921199458148149,0.14901499322685186,0.0,0.11921199458148149,low,13887.48954148,0.7783231394444444,14009.81651,3990.18349,18000.0,0.22167686055555558,0.9729039243055556,0.22167686055555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
329VBS,0.1487225038877778,0.18590312985972224,0.0,0.1487225038877778,low,14206.203041988,0.4378172628333333,7880.710731,10119.289269,18000.0,0.5621827371666668,0.5472715785416666,0.5621827371666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
330C,0.10538344511111111,0.13172930638888888,0.0,0.10538344511111111,low,13738.141207199998,0.8640172583333333,15552.31065,2447.689350000001,18000.0,0.13598274166666668,1.0,0.1359827416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
370,0.18218761633333336,0.22773452041666667,0.0,0.18218761633333336,low,14567.626256399999,0.0516813499999999,930.2643,17069.7357,18000.0,0.9483186500000002,0.0646016875,0.94831865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3866GMK,0.16748888020333333,0.20936110025416665,0.0,0.16748888020333333,low,14408.879906195998,0.2212821514999999,3983.078727,14016.921273,18000.0,0.7787178485000001,0.276602689375,0.7787178485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4000009,0.18148229102481483,0.22685286378101854,0.0,0.18148229102481483,low,14560.008743068,0.0598197189444444,1076.754941,16923.245059,18000.0,0.9401802810555556,0.07477464868055556,0.9401802810555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
400TL078,0.060594468977777774,0.07574308622222221,0.0,0.060594468977777774,low,13254.42026496,1.1819268533333334,21274.68336,0.0,18000.0,-0.18192685333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
400TL310,0.1857020955266667,0.23212761940833335,0.0,0.1857020955266667,low,14605.582631688,0.011129667,200.334006,17799.665994,18000.0,0.988870333,0.013912083749999998,0.9888703329999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
400TL319,0.09815243356888889,0.12269054196111111,0.0,0.09815243356888889,low,13660.046282543999,0.9027548201666666,16249.586763,1750.413237000001,18000.0,0.09724517983333336,1.0,0.09724517983333339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
403TL113,0.18387876902888892,0.22984846128611114,0.0,0.18387876902888892,low,14585.890705512,0.0321680496666666,579.024894,17420.975106,18000.0,0.9678319503333334,0.04021006208333333,0.9678319503333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
403TL167,0.18401162042962962,0.23001452553703702,0.0,0.18401162042962962,low,14587.325500639998,0.0306351488888888,551.43268,17448.56732,18000.0,0.9693648511111111,0.038293936111111114,0.969364851111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
403TL180,0.08078711328888888,0.10098389161111108,0.0,0.08078711328888888,low,13472.50082352,0.9957833216666668,17924.09979,75.90020999999979,18000.0,0.004216678333333168,1.0,0.004216678333333322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
