placa,alert_type,severity,details,triggered_at,code,diagnostic_id
A2797B,downtime,high,163.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-15T00:00:00,,
A2797B,telemetry,high,Salud de telemetría 0.36,2024-09-15T00:00:00,,
1610MDF004,downtime,high,183.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-18T00:00:00,,
640NZ022M,downtime,high,123.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-23T00:00:00,,
A1343H,safety,high,Seatbelt 0.48 | Alta velocidad 0.49,2024-10-03T00:00:00,,
LKH469A,downtime,high,150.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-03T00:00:00,,
LKH469A,telemetry,high,Salud de telemetría 0.33,2024-10-03T00:00:00,,
LKH469A,telemetry,high,Salud de telemetría 0.35,2024-10-03T00:00:00,,
PCT9966,downtime,high,164.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-03T00:00:00,,
PCT9966,telemetry,high,Salud de telemetría 0.30,2024-10-03T00:00:00,,
LMN574A,telemetry,high,Salud de telemetría 0.37,2024-10-05T00:00:00,,
NJT3199,safety,high,Seatbelt 0.47 | Alta velocidad 0.40,2024-10-14T00:00:00,,
NYM4040,downtime,high,219.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-14T00:00:00,,
A2164D,telemetry,high,Salud de telemetría 0.35,2024-10-17T00:00:00,,
A25250E,downtime,high,219.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-21T00:00:00,,
A25250E,telemetry,high,Salud de telemetría 0.39,2024-10-21T00:00:00,,
PBE4208,downtime,high,198.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-21T00:00:00,,
NPR7970,downtime,high,163.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-24T00:00:00,,
NPR7970,telemetry,high,Salud de telemetría 0.35,2024-10-24T00:00:00,,
1712MDF126,safety,high,Seatbelt 0.38 | Alta velocidad 0.45,2024-10-26T00:00:00,,
A24472E,downtime,high,213.1 h sin movimiento en 30d | Cobertura 14d: 0.14,2024-10-26T00:00:00,,
A24472E,telemetry,high,Salud de telemetría 0.40,2024-10-26T00:00:00,,
PBZ4742,downtime,high,163.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-26T00:00:00,,
PBZ4742,telemetry,high,Salud de telemetría 0.30,2024-10-26T00:00:00,,
LYX364A,downtime,high,143.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-27T00:00:00,,
LYX364A,telemetry,high,Salud de telemetría 0.34,2024-10-27T00:00:00,,
NHT5940,downtime,high,150.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-27T00:00:00,,
A24778E,downtime,high,211.2 h sin movimiento en 30d | Cobertura 14d: 0.18,2024-10-29T00:00:00,,
A24778E,telemetry,high,Salud de telemetría 0.31,2024-10-29T00:00:00,,
A2591J,downtime,high,121.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-10-29T00:00:00,,
A2591J,telemetry,high,Salud de telemetría 0.32,2024-10-29T00:00:00,,
PDV9084,downtime,high,165.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-02T00:00:00,,
PDV9084,telemetry,high,Salud de telemetría 0.40,2024-11-02T00:00:00,,
121368K,downtime,high,190.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-07T00:00:00,,
P801079,downtime,high,219.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-07T00:00:00,,
P801079,safety,high,Seatbelt 0.34 | Alta velocidad 0.42,2024-11-07T00:00:00,,
MAF974B,downtime,high,173.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-08T00:00:00,,
MAF974B,telemetry,high,Salud de telemetría 0.39,2024-11-08T00:00:00,,
NAN301A,safety,high,Seatbelt 0.43 | Alta velocidad 0.46,2024-11-11T00:00:00,,
807703J,safety,high,Seatbelt 0.40 | Alta velocidad 0.44,2024-11-14T00:00:00,,
V25AUE,downtime,high,133.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-18T00:00:00,,
V25AUE,telemetry,high,Salud de telemetría 0.29,2024-11-18T00:00:00,,
A2945E,downtime,high,191.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-20T00:00:00,,
LVJ213A,downtime,high,200.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-24T00:00:00,,
N86BHC,downtime,high,139.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-26T00:00:00,,
N86BHC,telemetry,high,Salud de telemetría 0.32,2024-11-26T00:00:00,,
NSF7001,downtime,high,176.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-26T00:00:00,,
A00012,downtime,high,134.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-11-30T00:00:00,,
NYM9892,safety,high,Seatbelt 0.43 | Alta velocidad 0.40,2024-12-01T00:00:00,,
P802569,downtime,high,164.8 h sin movimiento en 30d | Cobertura 14d: 0.19,2024-12-11T00:00:00,,
P802569,safety,high,Seatbelt 0.46 | Alta velocidad 0.40,2024-12-11T00:00:00,,
NWC5697,downtime,high,205.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-12-13T00:00:00,,
NWC5697,telemetry,high,Salud de telemetría 0.39,2024-12-13T00:00:00,,
A6323E,downtime,high,219.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-12-20T00:00:00,,
NXD1136,downtime,high,132.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-12-31T00:00:00,,
A04684A,safety,high,Seatbelt 0.48 | Alta velocidad 0.48,2025-01-10T00:00:00,,
A0814M,downtime,high,141.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-16T00:00:00,,
A0814M,telemetry,high,Salud de telemetría 0.30,2025-01-16T00:00:00,,
LYD851A,downtime,high,128.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-17T00:00:00,,
LYD851A,telemetry,high,Salud de telemetría 0.36,2025-01-17T00:00:00,,
NZW4847,downtime,high,206.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-18T00:00:00,,
NZW4847,telemetry,high,Salud de telemetría 0.36,2025-01-18T00:00:00,,
NZE5695,safety,high,Seatbelt 0.43 | Alta velocidad 0.52,2025-01-21T00:00:00,,
PDR6179,safety,high,Seatbelt 0.44 | Alta velocidad 0.46,2025-01-23T00:00:00,,
PEZ7226,downtime,high,199.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-24T00:00:00,,
PEZ7226,telemetry,high,Salud de telemetría 0.29,2025-01-24T00:00:00,,
A6899H,safety,high,Seatbelt 0.35 | Alta velocidad 0.51,2025-01-26T00:00:00,,
A25907,downtime,high,204.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-27T00:00:00,,
CR5838,downtime,high,123.3 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-01-27T00:00:00,,
1912VLL28,downtime,high,162.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-28T00:00:00,,
A67282,downtime,high,184.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-01-30T00:00:00,,
A26052E,downtime,high,216.0 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-02-07T00:00:00,,
A3861B,downtime,high,202.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-09T00:00:00,,
A3861B,telemetry,high,Salud de telemetría 0.29,2025-02-09T00:00:00,,
F87AEX,downtime,high,181.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-10T00:00:00,,
F87AEX,telemetry,high,Salud de telemetría 0.31,2025-02-10T00:00:00,,
1603MDF019,downtime,high,177.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-11T00:00:00,,
1603MDF019,telemetry,high,Salud de telemetría 0.35,2025-02-11T00:00:00,,
A23757E,downtime,high,209.6 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-02-12T00:00:00,,
A23757E,telemetry,high,Salud de telemetría 0.39,2025-02-12T00:00:00,,
MHJ174B,downtime,high,175.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-16T00:00:00,,
MHJ174B,safety,high,Seatbelt 0.50 | Alta velocidad 0.45,2025-02-16T00:00:00,,
460TL122,downtime,high,211.2 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-02-18T00:00:00,,
W96AUN,downtime,high,141.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-18T00:00:00,,
W96AUN,telemetry,high,Salud de telemetría 0.36,2025-02-18T00:00:00,,
1711MDF126,downtime,high,206.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-20T00:00:00,,
1711MDF126,safety,high,Seatbelt 0.39 | Alta velocidad 0.42,2025-02-20T00:00:00,,
1711MDF126,telemetry,high,Salud de telemetría 0.35,2025-02-20T00:00:00,,
A00926A,safety,high,Seatbelt 0.43 | Alta velocidad 0.49,2025-02-21T00:00:00,,
A1343HA,downtime,high,122.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-02-23T00:00:00,,
E9003344,downtime,high,217.6 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-02-23T00:00:00,,
E9003344,telemetry,high,Salud de telemetría 0.38,2025-02-23T00:00:00,,
A28624E,downtime,high,177.2 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-02-24T00:00:00,,
B01923,downtime,high,160.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-03-01T00:00:00,,
A8204H,safety,high,Seatbelt 0.45 | Alta velocidad 0.48,2025-03-02T00:00:00,,
A4766C,downtime,high,171.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-03-06T00:00:00,,
NTT7520,downtime,high,135.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-03-09T00:00:00,,
NTT7520,telemetry,high,Salud de telemetría 0.38,2025-03-09T00:00:00,,
A1939N,downtime,high,131.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-03-10T00:00:00,,
L37AZX,downtime,high,202.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-03-17T00:00:00,,
L37AZX,telemetry,high,Salud de telemetría 0.29,2025-03-17T00:00:00,,
A02033A,downtime,high,169.5 h sin movimiento en 30d | Cobertura 14d: 0.01,2025-03-23T00:00:00,,
A02033A,telemetry,high,Salud de telemetría 0.30,2025-03-23T00:00:00,,
X28ABB,safety,high,Seatbelt 0.45 | Alta velocidad 0.49,2025-03-23T00:00:00,,
6CS8F90,safety,high,Seatbelt 0.48 | Alta velocidad 0.41,2025-03-25T00:00:00,,
LE41033,safety,high,Seatbelt 0.38 | Alta velocidad 0.50,2025-03-31T00:00:00,,
403TL180,safety,high,Seatbelt 0.45 | Alta velocidad 0.52,2025-04-01T00:00:00,,
A4521C,downtime,high,155.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-02T00:00:00,,
A4521C,telemetry,high,Salud de telemetría 0.31,2025-04-02T00:00:00,,
M02696,downtime,high,158.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-06T00:00:00,,
LGX501B,safety,high,Seatbelt 0.45 | Alta velocidad 0.43,2025-04-08T00:00:00,,
A26374E,safety,high,Seatbelt 0.43 | Alta velocidad 0.40,2025-04-09T00:00:00,,
A5208G,safety,high,Seatbelt 0.48 | Alta velocidad 0.50,2025-04-10T00:00:00,,
A0148G,downtime,high,209.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-13T00:00:00,,
NXK8810,safety,high,Seatbelt 0.46 | Alta velocidad 0.52,2025-04-13T00:00:00,,
8E9003481,safety,high,Seatbelt 0.44 | Alta velocidad 0.44,2025-04-14T00:00:00,,
A04526A,downtime,high,189.4 h sin movimiento en 30d | Cobertura 14d: 0.07,2025-04-14T00:00:00,,
K009100,downtime,high,140.5 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-04-14T00:00:00,,
K009100,safety,high,Seatbelt 0.41 | Alta velocidad 0.51,2025-04-14T00:00:00,,
K009100,telemetry,high,Salud de telemetría 0.37,2025-04-14T00:00:00,,
PCZ3897,telemetry,high,Salud de telemetría 0.39,2025-04-15T00:00:00,,
A5948A,safety,high,Seatbelt 0.46 | Alta velocidad 0.47,2025-04-16T00:00:00,,
MDF887A,downtime,high,125.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-17T00:00:00,,
A5007M,downtime,high,147.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-18T00:00:00,,
A5007M,telemetry,high,Salud de telemetría 0.26,2025-04-18T00:00:00,,
A6090C,downtime,high,218.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-20T00:00:00,,
LHT976A,downtime,high,160.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-21T00:00:00,,
NAE825A,safety,high,Seatbelt 0.45 | Alta velocidad 0.48,2025-04-21T00:00:00,,
A2473G,downtime,high,140.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-24T00:00:00,,
A2473G,telemetry,high,Salud de telemetría 0.37,2025-04-24T00:00:00,,
PDE3038,safety,high,Seatbelt 0.50 | Alta velocidad 0.37,2025-04-24T00:00:00,,
PDE3038,telemetry,high,Salud de telemetría 0.40,2025-04-24T00:00:00,,
A9933E,downtime,high,167.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-28T00:00:00,,
MDC441A,safety,high,Seatbelt 0.38 | Alta velocidad 0.46,2025-04-28T00:00:00,,
LHJ272C,downtime,high,159.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-29T00:00:00,,
LHJ272C,telemetry,high,Salud de telemetría 0.39,2025-04-29T00:00:00,,
MBK588A,downtime,high,142.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-29T00:00:00,,
NJU829B,downtime,high,193.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-29T00:00:00,,
PWR358D,downtime,high,160.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-04-30T00:00:00,,
PWR358D,telemetry,high,Salud de telemetría 0.33,2025-04-30T00:00:00,,
A6041C,safety,high,Seatbelt 0.42 | Alta velocidad 0.43,2025-05-03T00:00:00,,
NWT2578,downtime,high,178.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-05-03T00:00:00,,
NWT2578,telemetry,high,Salud de telemetría 0.29,2025-05-03T00:00:00,,
NXW6665,downtime,high,184.0 h sin movimiento en 30d | Cobertura 14d: 0.36,2025-05-04T00:00:00,,
NXW6665,safety,high,Seatbelt 0.47 | Alta velocidad 0.51,2025-05-04T00:00:00,,
NXW6665,telemetry,high,Salud de telemetría 0.33,2025-05-04T00:00:00,,
A03851A,safety,high,Seatbelt 0.36 | Alta velocidad 0.40,2025-05-06T00:00:00,,
MTC009A,safety,high,Seatbelt 0.39 | Alta velocidad 0.53,2025-05-07T00:00:00,,
NFN637A,safety,high,Seatbelt 0.37 | Alta velocidad 0.49,2025-05-11T00:00:00,,
A0282D,downtime,high,199.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-05-16T00:00:00,,
A2203E,safety,high,Seatbelt 0.46 | Alta velocidad 0.47,2025-05-16T00:00:00,,
MMX820A,safety,high,Seatbelt 0.38 | Alta velocidad 0.50,2025-05-16T00:00:00,,
754292J,downtime,high,188.6 h sin movimiento en 30d | Cobertura 14d: 0.06,2025-05-17T00:00:00,,
403TL113,downtime,high,149.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-05-19T00:00:00,,
A03975A,downtime,high,120.6 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-05-19T00:00:00,,
PDR246A,downtime,high,163.4 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-05-20T00:00:00,,
PDR246A,telemetry,high,Salud de telemetría 0.38,2025-05-20T00:00:00,,
CR5896,downtime,high,173.5 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-05-21T00:00:00,,
CR5896,telemetry,high,Salud de telemetría 0.39,2025-05-21T00:00:00,,
CR5763,safety,high,Seatbelt 0.47 | Alta velocidad 0.37,2025-05-22T00:00:00,,
A05238A,safety,high,Seatbelt 0.35 | Alta velocidad 0.42,2025-05-27T00:00:00,,
MVB471B,safety,high,Seatbelt 0.37 | Alta velocidad 0.40,2025-05-28T00:00:00,,
MUS763B,telemetry,high,Salud de telemetría 0.36,2025-05-29T00:00:00,,
