placa,alert_type,severity,details,triggered_at,code,diagnostic_id
A00383A,downtime,high,295.6 h sin movimiento en 30d | Cobertura 14d: 0.27,2021-08-03T00:00:00,,
A00383A,downtime,high,259.9 h sin movimiento en 30d | Cobertura 14d: 0.30,2021-08-03T00:00:00,,
A02015A,downtime,high,186.7 h sin movimiento en 30d | Cobertura 14d: 0.54,2021-08-18T00:00:00,,
A00016A,downtime,high,239.0 h sin movimiento en 30d | Cobertura 14d: 0.26,2021-08-30T00:00:00,,
A00217A,downtime,high,137.6 h sin movimiento en 30d | Cobertura 14d: 0.54,2021-09-13T00:00:00,,
A00232A,downtime,high,242.0 h sin movimiento en 30d | Cobertura 14d: 0.51,2021-09-13T00:00:00,,
A02035A,downtime,high,160.0 h sin movimiento en 30d | Cobertura 14d: 0.69,2021-10-15T00:00:00,,
A02226A,downtime,high,182.6 h sin movimiento en 30d | Cobertura 14d: 0.46,2021-10-22T00:00:00,,
A01121A,downtime,high,249.2 h sin movimiento en 30d | Cobertura 14d: 0.34,2021-11-08T00:00:00,,
A02062A,downtime,high,147.3 h sin movimiento en 30d | Cobertura 14d: 0.60,2021-11-10T00:00:00,,
A02062A,downtime,high,349.2 h sin movimiento en 30d | Cobertura 14d: 0.40,2021-11-10T00:00:00,,
A00147A,downtime,high,163.6 h sin movimiento en 30d | Cobertura 14d: 0.48,2021-11-30T00:00:00,,
A00368A,downtime,high,215.2 h sin movimiento en 30d | Cobertura 14d: 0.41,2022-02-02T00:00:00,,
A01738A,downtime,high,186.2 h sin movimiento en 30d | Cobertura 14d: 0.53,2022-02-26T00:00:00,,
A00329A,downtime,high,229.3 h sin movimiento en 30d | Cobertura 14d: 0.34,2022-03-01T00:00:00,,
A00214A,downtime,high,159.0 h sin movimiento en 30d | Cobertura 14d: 0.49,2022-04-15T00:00:00,,
A01722A,downtime,high,252.2 h sin movimiento en 30d | Cobertura 14d: 0.60,2022-05-10T00:00:00,,
A00796A,downtime,high,147.9 h sin movimiento en 30d | Cobertura 14d: 0.55,2022-05-13T00:00:00,,
A00242A,downtime,high,218.8 h sin movimiento en 30d | Cobertura 14d: 0.38,2022-05-17T00:00:00,,
A00317A,downtime,high,205.1 h sin movimiento en 30d | Cobertura 14d: 0.43,2022-05-30T00:00:00,,
A00317A,downtime,high,367.4 h sin movimiento en 30d | Cobertura 14d: 0.14,2022-05-30T00:00:00,,
A00317A,downtime,high,255.1 h sin movimiento en 30d | Cobertura 14d: 0.32,2022-05-30T00:00:00,,
A00196A,downtime,high,237.7 h sin movimiento en 30d | Cobertura 14d: 0.22,2022-06-11T00:00:00,,
A00196A,downtime,high,317.7 h sin movimiento en 30d | Cobertura 14d: 0.09,2022-06-11T00:00:00,,
A00001A,downtime,high,198.8 h sin movimiento en 30d | Cobertura 14d: 0.41,2022-07-07T00:00:00,,
A00789A,downtime,high,130.9 h sin movimiento en 30d | Cobertura 14d: 0.51,2022-08-08T00:00:00,,
A00079A,downtime,high,162.7 h sin movimiento en 30d | Cobertura 14d: 0.50,2022-08-12T00:00:00,,
A00253A,downtime,high,205.7 h sin movimiento en 30d | Cobertura 14d: 0.41,2022-08-18T00:00:00,,
A01164A,downtime,high,258.4 h sin movimiento en 30d | Cobertura 14d: 0.28,2022-08-22T00:00:00,,
A00150A,downtime,high,169.9 h sin movimiento en 30d | Cobertura 14d: 0.51,2022-09-08T00:00:00,,
A00150A,downtime,high,229.3 h sin movimiento en 30d | Cobertura 14d: 0.42,2022-09-08T00:00:00,,
A02209A,downtime,high,180.4 h sin movimiento en 30d | Cobertura 14d: 0.43,2022-09-19T00:00:00,,
A01726A,downtime,high,177.1 h sin movimiento en 30d | Cobertura 14d: 0.39,2022-10-19T00:00:00,,
A00252A,downtime,high,198.9 h sin movimiento en 30d | Cobertura 14d: 0.48,2022-11-01T00:00:00,,
A00002A,downtime,high,189.6 h sin movimiento en 30d | Cobertura 14d: 0.42,2022-12-27T00:00:00,,
A00002A,downtime,high,323.6 h sin movimiento en 30d | Cobertura 14d: 0.18,2022-12-27T00:00:00,,
A00798A,downtime,high,171.8 h sin movimiento en 30d | Cobertura 14d: 0.51,2022-12-27T00:00:00,,
A954AA,downtime,high,208.4 h sin movimiento en 30d | Cobertura 14d: 0.45,2022-12-31T00:00:00,,
A954AA,downtime,high,423.3 h sin movimiento en 30d | Cobertura 14d: 0.17,2022-12-31T00:00:00,,
A00983A,downtime,high,233.6 h sin movimiento en 30d | Cobertura 14d: 0.30,2023-01-10T00:00:00,,
A00983A,downtime,high,396.0 h sin movimiento en 30d | Cobertura 14d: 0.06,2023-01-10T00:00:00,,
A00983A,downtime,high,352.4 h sin movimiento en 30d | Cobertura 14d: 0.25,2023-01-10T00:00:00,,
A00276A,downtime,high,196.7 h sin movimiento en 30d | Cobertura 14d: 0.45,2023-01-13T00:00:00,,
A00276A,downtime,high,352.1 h sin movimiento en 30d | Cobertura 14d: 0.23,2023-01-13T00:00:00,,
A01159A,downtime,high,174.7 h sin movimiento en 30d | Cobertura 14d: 0.56,2023-01-31T00:00:00,,
A01155A,downtime,high,195.2 h sin movimiento en 30d | Cobertura 14d: 0.47,2023-02-03T00:00:00,,
A00790A,downtime,high,153.2 h sin movimiento en 30d | Cobertura 14d: 0.56,2023-03-07T00:00:00,,
A00790A,downtime,high,297.1 h sin movimiento en 30d | Cobertura 14d: 0.31,2023-03-07T00:00:00,,
A01332A,downtime,high,155.9 h sin movimiento en 30d | Cobertura 14d: 0.61,2023-03-22T00:00:00,,
A01867A,downtime,high,249.2 h sin movimiento en 30d | Cobertura 14d: 0.31,2023-03-30T00:00:00,,
A01867A,downtime,high,359.6 h sin movimiento en 30d | Cobertura 14d: 0.24,2023-03-30T00:00:00,,
A02255A,downtime,high,177.2 h sin movimiento en 30d | Cobertura 14d: 0.55,2023-04-01T00:00:00,,
A02255A,downtime,high,251.2 h sin movimiento en 30d | Cobertura 14d: 0.48,2023-04-01T00:00:00,,
A00895A,downtime,high,154.1 h sin movimiento en 30d | Cobertura 14d: 0.58,2023-04-05T00:00:00,,
A01973A,downtime,high,175.3 h sin movimiento en 30d | Cobertura 14d: 0.51,2023-04-06T00:00:00,,
A01973A,downtime,high,307.9 h sin movimiento en 30d | Cobertura 14d: 0.25,2023-04-06T00:00:00,,
A02218A,downtime,high,191.3 h sin movimiento en 30d | Cobertura 14d: 0.43,2023-04-19T00:00:00,,
A00241A,downtime,high,198.0 h sin movimiento en 30d | Cobertura 14d: 0.51,2023-05-16T00:00:00,,
A02262A,downtime,high,237.4 h sin movimiento en 30d | Cobertura 14d: 0.25,2023-05-28T00:00:00,,
A00982A,downtime,high,209.5 h sin movimiento en 30d | Cobertura 14d: 0.42,2023-06-11T00:00:00,,
A00042A,downtime,high,187.6 h sin movimiento en 30d | Cobertura 14d: 0.43,2023-06-22T00:00:00,,
A02231A,downtime,high,155.1 h sin movimiento en 30d | Cobertura 14d: 0.56,2023-07-01T00:00:00,,
A00977A,downtime,high,125.2 h sin movimiento en 30d | Cobertura 14d: 0.71,2023-07-04T00:00:00,,
A00977A,downtime,high,315.4 h sin movimiento en 30d | Cobertura 14d: 0.54,2023-07-04T00:00:00,,
A01937A,downtime,high,159.0 h sin movimiento en 30d | Cobertura 14d: 0.53,2023-08-02T00:00:00,,
A02233A,downtime,high,126.7 h sin movimiento en 30d | Cobertura 14d: 0.62,2023-08-15T00:00:00,,
A02233A,downtime,high,243.5 h sin movimiento en 30d | Cobertura 14d: 0.50,2023-08-15T00:00:00,,
A03864A,downtime,high,207.8 h sin movimiento en 30d | Cobertura 14d: 0.45,2023-08-16T00:00:00,,
A03864A,downtime,high,427.0 h sin movimiento en 30d | Cobertura 14d: 0.17,2023-08-16T00:00:00,,
A00947A,downtime,high,182.2 h sin movimiento en 30d | Cobertura 14d: 0.56,2023-09-25T00:00:00,,
A02336A,downtime,high,176.7 h sin movimiento en 30d | Cobertura 14d: 0.46,2023-09-25T00:00:00,,
A02336A,downtime,high,329.1 h sin movimiento en 30d | Cobertura 14d: 0.22,2023-09-25T00:00:00,,
PBG2889,downtime,high,120.2 h sin movimiento en 30d | Cobertura 14d: 0.17,2023-10-08T00:00:00,,
PBG2889,downtime,high,284.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-08T00:00:00,,
A02446A,downtime,high,191.7 h sin movimiento en 30d | Cobertura 14d: 0.33,2023-10-11T00:00:00,,
NGH1704,downtime,high,161.0 h sin movimiento en 30d | Cobertura 14d: 0.17,2023-10-11T00:00:00,,
NTU4623,downtime,high,227.1 h sin movimiento en 30d | Cobertura 14d: 0.20,2023-10-13T00:00:00,,
NTU4623,downtime,high,383.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-13T00:00:00,,
1712MDF162,downtime,high,145.7 h sin movimiento en 30d | Cobertura 14d: 0.03,2023-10-18T00:00:00,,
PCG7490,downtime,high,185.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-10-18T00:00:00,,
A00027A,downtime,high,176.1 h sin movimiento en 30d | Cobertura 14d: 0.57,2023-11-02T00:00:00,,
PEP9965,downtime,high,242.7 h sin movimiento en 30d | Cobertura 14d: 0.33,2023-11-02T00:00:00,,
PEP9965,downtime,high,423.5 h sin movimiento en 30d | Cobertura 14d: 0.16,2023-11-02T00:00:00,,
PDR8767,downtime,high,180.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-11-06T00:00:00,,
1711MDF017,downtime,high,285.5 h sin movimiento en 30d | Cobertura 14d: 0.25,2023-11-21T00:00:00,,
A00275A,downtime,high,150.1 h sin movimiento en 30d | Cobertura 14d: 0.55,2023-11-21T00:00:00,,
A25097E,downtime,high,163.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-11-23T00:00:00,,
A0363B,downtime,high,235.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-01T00:00:00,,
ECO065,downtime,high,215.4 h sin movimiento en 30d | Cobertura 14d: 0.06,2023-12-02T00:00:00,,
A3187E,downtime,high,174.8 h sin movimiento en 30d | Cobertura 14d: 0.26,2023-12-10T00:00:00,,
A3187E,downtime,high,251.8 h sin movimiento en 30d | Cobertura 14d: 0.13,2023-12-10T00:00:00,,
ECO049,downtime,high,120.8 h sin movimiento en 30d | Cobertura 14d: 0.40,2023-12-10T00:00:00,,
122432K,downtime,high,178.8 h sin movimiento en 30d | Cobertura 14d: 0.53,2023-12-13T00:00:00,,
NLD8153,downtime,high,215.2 h sin movimiento en 30d | Cobertura 14d: 0.20,2023-12-16T00:00:00,,
PBP4733,downtime,high,143.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-19T00:00:00,,
A4488G,downtime,high,202.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-23T00:00:00,,
A2044N,downtime,high,257.7 h sin movimiento en 30d | Cobertura 14d: 0.22,2023-12-24T00:00:00,,
A1693J,downtime,high,182.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2023-12-30T00:00:00,,
A01914A,downtime,high,190.4 h sin movimiento en 30d | Cobertura 14d: 0.40,2023-12-31T00:00:00,,
A01914A,downtime,high,269.0 h sin movimiento en 30d | Cobertura 14d: 0.34,2023-12-31T00:00:00,,
2617JGE,downtime,high,141.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-01-06T00:00:00,,
A6354C,downtime,high,194.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-01-13T00:00:00,,
HEC477G,downtime,high,228.0 h sin movimiento en 30d | Cobertura 14d: 0.30,2024-01-19T00:00:00,,
NXG9080,downtime,high,291.5 h sin movimiento en 30d | Cobertura 14d: 0.22,2024-01-21T00:00:00,,
A5301H,downtime,high,231.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-01-22T00:00:00,,
G42ASF,downtime,high,185.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-01-22T00:00:00,,
MST069A,downtime,high,261.1 h sin movimiento en 30d | Cobertura 14d: 0.29,2024-01-29T00:00:00,,
MST069A,downtime,high,335.7 h sin movimiento en 30d | Cobertura 14d: 0.17,2024-01-29T00:00:00,,
A7212G,downtime,high,232.2 h sin movimiento en 30d | Cobertura 14d: 0.26,2024-02-07T00:00:00,,
A7653C,downtime,high,174.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-08T00:00:00,,
K72ADJ,downtime,high,179.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-09T00:00:00,,
A1669G,downtime,high,196.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-11T00:00:00,,
A2901C,downtime,high,221.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-12T00:00:00,,
A4913C,downtime,high,180.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-20T00:00:00,,
A8731E,downtime,high,152.1 h sin movimiento en 30d | Cobertura 14d: 0.19,2024-02-23T00:00:00,,
A8731E,downtime,high,337.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-23T00:00:00,,
A9793C,downtime,high,206.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-02-23T00:00:00,,
1612MDF009,downtime,high,123.3 h sin movimiento en 30d | Cobertura 14d: 0.13,2024-02-27T00:00:00,,
1612MDF009,downtime,high,215.6 h sin movimiento en 30d | Cobertura 14d: 0.05,2024-02-27T00:00:00,,
A0465C,downtime,high,142.3 h sin movimiento en 30d | Cobertura 14d: 0.18,2024-03-01T00:00:00,,
F42BCG,downtime,high,266.2 h sin movimiento en 30d | Cobertura 14d: 0.25,2024-03-02T00:00:00,,
845NA083C,downtime,high,166.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-03-03T00:00:00,,
A02325A,downtime,high,148.5 h sin movimiento en 30d | Cobertura 14d: 0.61,2024-03-04T00:00:00,,
A02325A,downtime,high,340.0 h sin movimiento en 30d | Cobertura 14d: 0.35,2024-03-04T00:00:00,,
A02457A,downtime,high,288.4 h sin movimiento en 30d | Cobertura 14d: 0.48,2024-03-05T00:00:00,,
A02468A,downtime,high,134.2 h sin movimiento en 30d | Cobertura 14d: 0.62,2024-03-05T00:00:00,,
A02468A,downtime,high,201.5 h sin movimiento en 30d | Cobertura 14d: 0.48,2024-03-05T00:00:00,,
A0682K,downtime,high,263.0 h sin movimiento en 30d | Cobertura 14d: 0.24,2024-03-06T00:00:00,,
A0682K,downtime,high,470.7 h sin movimiento en 30d | Cobertura 14d: 0.08,2024-03-06T00:00:00,,
LXL030A,downtime,high,266.6 h sin movimiento en 30d | Cobertura 14d: 0.26,2024-03-06T00:00:00,,
LXL030A,downtime,high,480.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-03-06T00:00:00,,
NRA8543,downtime,high,130.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-03-07T00:00:00,,
NPM6657,downtime,high,124.9 h sin movimiento en 30d | Cobertura 14d: 0.23,2024-03-09T00:00:00,,
NNX1745,downtime,high,272.2 h sin movimiento en 30d | Cobertura 14d: 0.22,2024-03-12T00:00:00,,
NSV2306,downtime,high,245.4 h sin movimiento en 30d | Cobertura 14d: 0.22,2024-03-13T00:00:00,,
PCR7008,downtime,high,201.9 h sin movimiento en 30d | Cobertura 14d: 0.18,2024-03-21T00:00:00,,
A23685E,downtime,high,120.5 h sin movimiento en 30d | Cobertura 14d: 0.67,2024-03-24T00:00:00,,
A00200A,downtime,high,145.9 h sin movimiento en 30d | Cobertura 14d: 0.60,2024-03-27T00:00:00,,
A6107K,downtime,high,251.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-01T00:00:00,,
UPZ963G,downtime,high,275.8 h sin movimiento en 30d | Cobertura 14d: 0.23,2024-04-04T00:00:00,,
NNF5462,downtime,high,254.9 h sin movimiento en 30d | Cobertura 14d: 0.30,2024-04-05T00:00:00,,
A04210A,downtime,high,138.0 h sin movimiento en 30d | Cobertura 14d: 0.62,2024-04-07T00:00:00,,
NKP6417,downtime,high,129.3 h sin movimiento en 30d | Cobertura 14d: 0.19,2024-04-11T00:00:00,,
122409K,downtime,high,267.9 h sin movimiento en 30d | Cobertura 14d: 0.58,2024-04-12T00:00:00,,
A01960A,downtime,high,147.4 h sin movimiento en 30d | Cobertura 14d: 0.58,2024-04-12T00:00:00,,
LRV397A,downtime,high,276.8 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-04-12T00:00:00,,
MMW997A,downtime,high,177.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-16T00:00:00,,
A00172A,downtime,high,141.1 h sin movimiento en 30d | Cobertura 14d: 0.56,2024-04-17T00:00:00,,
A00172A,downtime,high,197.1 h sin movimiento en 30d | Cobertura 14d: 0.42,2024-04-17T00:00:00,,
A5070M,downtime,high,130.7 h sin movimiento en 30d | Cobertura 14d: 0.18,2024-04-19T00:00:00,,
NCC4186,downtime,high,302.8 h sin movimiento en 30d | Cobertura 14d: 0.13,2024-04-19T00:00:00,,
A036JLC,downtime,high,192.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-21T00:00:00,,
PDD8511,downtime,high,234.1 h sin movimiento en 30d | Cobertura 14d: 0.28,2024-04-21T00:00:00,,
PEB7197,downtime,high,275.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-24T00:00:00,,
A00201A,downtime,high,236.2 h sin movimiento en 30d | Cobertura 14d: 0.32,2024-04-25T00:00:00,,
A00201A,downtime,high,423.5 h sin movimiento en 30d | Cobertura 14d: 0.14,2024-04-25T00:00:00,,
LLG870A,downtime,high,174.4 h sin movimiento en 30d | Cobertura 14d: 0.16,2024-04-25T00:00:00,,
NUW7185,downtime,high,149.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-26T00:00:00,,
A8077A,downtime,high,183.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-04-27T00:00:00,,
LUE056A,downtime,high,195.2 h sin movimiento en 30d | Cobertura 14d: 0.24,2024-05-06T00:00:00,,
A5993L,downtime,high,286.7 h sin movimiento en 30d | Cobertura 14d: 0.18,2024-05-10T00:00:00,,
NFW3006,downtime,high,284.8 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-05-16T00:00:00,,
A04232A,downtime,high,188.7 h sin movimiento en 30d | Cobertura 14d: 0.50,2024-05-18T00:00:00,,
A5253L,downtime,high,144.6 h sin movimiento en 30d | Cobertura 14d: 0.15,2024-05-18T00:00:00,,
500ZDU,downtime,high,217.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-05-20T00:00:00,,
A0604A,downtime,high,143.1 h sin movimiento en 30d | Cobertura 14d: 0.16,2024-05-21T00:00:00,,
A5425L,downtime,high,211.8 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-05-25T00:00:00,,
A5425L,downtime,high,351.3 h sin movimiento en 30d | Cobertura 14d: 0.04,2024-05-25T00:00:00,,
A6058C,downtime,high,301.6 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-05-28T00:00:00,,
A4821E,downtime,high,250.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-05-30T00:00:00,,
A01931A,downtime,high,159.1 h sin movimiento en 30d | Cobertura 14d: 0.61,2024-06-02T00:00:00,,
A4193A,downtime,high,185.4 h sin movimiento en 30d | Cobertura 14d: 0.23,2024-06-05T00:00:00,,
PAJ5018,downtime,high,164.6 h sin movimiento en 30d | Cobertura 14d: 0.24,2024-06-05T00:00:00,,
PAJ5018,downtime,high,348.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-06-05T00:00:00,,
MXU8000,downtime,high,230.3 h sin movimiento en 30d | Cobertura 14d: 0.19,2024-06-09T00:00:00,,
A27513E,downtime,high,130.5 h sin movimiento en 30d | Cobertura 14d: 0.69,2024-06-17T00:00:00,,
MVY284A,downtime,high,252.9 h sin movimiento en 30d | Cobertura 14d: 0.29,2024-06-25T00:00:00,,
120370K,downtime,high,143.0 h sin movimiento en 30d | Cobertura 14d: 0.65,2024-06-29T00:00:00,,
403TL167,downtime,high,213.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-01T00:00:00,,
NWE4850,downtime,high,285.2 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-07-04T00:00:00,,
A04685A,downtime,high,168.5 h sin movimiento en 30d | Cobertura 14d: 0.58,2024-07-05T00:00:00,,
A04685A,downtime,high,235.4 h sin movimiento en 30d | Cobertura 14d: 0.45,2024-07-05T00:00:00,,
PEC8365,downtime,high,151.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-07T00:00:00,,
A00296A,downtime,high,161.6 h sin movimiento en 30d | Cobertura 14d: 0.53,2024-07-09T00:00:00,,
A3496J,downtime,high,220.2 h sin movimiento en 30d | Cobertura 14d: 0.34,2024-07-10T00:00:00,,
405TL020,downtime,high,189.2 h sin movimiento en 30d | Cobertura 14d: 0.02,2024-07-11T00:00:00,,
A00022A,downtime,high,214.1 h sin movimiento en 30d | Cobertura 14d: 0.42,2024-07-11T00:00:00,,
ECO508,downtime,high,203.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-16T00:00:00,,
ECO508,downtime,high,128.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-16T00:00:00,,
NKH9513,downtime,high,239.4 h sin movimiento en 30d | Cobertura 14d: 0.19,2024-07-16T00:00:00,,
A01259A,downtime,high,250.2 h sin movimiento en 30d | Cobertura 14d: 0.30,2024-07-18T00:00:00,,
NJA3266,downtime,high,291.0 h sin movimiento en 30d | Cobertura 14d: 0.21,2024-07-19T00:00:00,,
A6506B,downtime,high,186.0 h sin movimiento en 30d | Cobertura 14d: 0.04,2024-07-20T00:00:00,,
F15BEA,downtime,high,164.0 h sin movimiento en 30d | Cobertura 14d: 0.34,2024-07-20T00:00:00,,
F15BEA,downtime,high,329.3 h sin movimiento en 30d | Cobertura 14d: 0.12,2024-07-20T00:00:00,,
ECO035,downtime,high,129.9 h sin movimiento en 30d | Cobertura 14d: 0.58,2024-07-24T00:00:00,,
N66BJB,downtime,high,268.0 h sin movimiento en 30d | Cobertura 14d: 0.22,2024-07-24T00:00:00,,
J68BGU,downtime,high,268.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-07-29T00:00:00,,
91171,downtime,high,173.7 h sin movimiento en 30d | Cobertura 14d: 0.46,2024-08-06T00:00:00,,
A9293J,downtime,high,160.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-08-09T00:00:00,,
Z14ARR,downtime,high,294.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-08-10T00:00:00,,
GYM770,downtime,high,186.8 h sin movimiento en 30d | Cobertura 14d: 1.00,2024-08-17T00:00:00,,
NJK7453,downtime,high,215.0 h sin movimiento en 30d | Cobertura 14d: 0.28,2024-08-17T00:00:00,,
A2025H,downtime,high,160.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-08-18T00:00:00,,
U75AXN,downtime,high,272.5 h sin movimiento en 30d | Cobertura 14d: 0.26,2024-08-19T00:00:00,,
A931JMD,downtime,high,302.5 h sin movimiento en 30d | Cobertura 14d: 0.13,2024-08-20T00:00:00,,
A00158A,downtime,high,147.2 h sin movimiento en 30d | Cobertura 14d: 0.57,2024-08-27T00:00:00,,
1705MDF058,downtime,high,310.6 h sin movimiento en 30d | Cobertura 14d: 0.13,2024-09-03T00:00:00,,
417,downtime,high,148.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-04T00:00:00,,
A064,downtime,high,210.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2024-09-04T00:00:00,,
A29057E,downtime,high,155.3 h sin movimiento en 30d | Cobertura 14d: 0.57,2024-09-05T00:00:00,,
A13857,downtime,high,280.8 h sin movimiento en 30d | Cobertura 14d: 0.22,2024-09-07T00:00:00,,
