Reporte de errores del motor,,"oct. 05, 2025",,,,,,,,,
DIDCOM IOT,,,,,,,,,,,
,,,,,,,,,,,
Fecha,,,,,,,,,,,
Desde,"oct. 05, 2025",,,,,,,,,,
Hasta,"oct. 05, 2025",,,,,,,,,,
Días,1,,,,,,,,,,
,,,,,,,,,,,
Huso horario,America/Mexico_City,,,,,,,,,,
,,,,,,,,,,,
Dispositivo,Grupo de dispositivos,Fecha,Fecha de descarte,Usuario que lo descarta,Descripción,Modo de Falla,Fuente,Controlador de motor,Código,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:02:24 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:56:55 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:56:55 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 11:57:15 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 12:30:14 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 12:30:14 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 12:30:34 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:37:03 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:37:03 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Vehicle speed sensor A circuit low,No sub type information,OBD with Source Address Information,OBD Powertrain,P0502,,
A-05503-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:37:23 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:27:03 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:27:03 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:27:23 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:59:20 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:59:20 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:59:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 8:36:07 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 8:36:07 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 8:36:27 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 9:29:16 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 9:29:16 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:33:48 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:33:48 a. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 10:34:08 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:26:12 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:26:12 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:26:32 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:36:22 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:36:22 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 1:36:42 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:03:22 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:03:23 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:03:42 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:57:04 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:57:04 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 2:57:24 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:19:43 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:19:44 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:20:03 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:36:54 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:36:54 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 4:37:14 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:07:45 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:07:46 p. m.","ene. 00, 1900 12:00:00 a. m.",0,Catalyst system efficiency below threshold bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P0420,,
A-05507-A,"Vehicle, Conductores del mundo","oct. 05, 2025 6:08:06 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
,,,,,,,,,,,
