Reporte de errores del motor,,"oct. 05, 2025",,,,,,,,,
DIDCOM IOT,,,,,,,,,,,
,,,,,,,,,,,
Fecha,,,,,,,,,,,
Desde,"sep. 01, 2025",,,,,,,,,,
Hasta,"sep. 30, 2025",,,,,,,,,,
Días,30,,,,,,,,,,
,,,,,,,,,,,
Huso horario,America/Mexico_City,,,,,,,,,,
,,,,,,,,,,,
Dispositivo,Grupo de dispositivos,Fecha,Fecha de descarte,Usuario que lo descarta,Descripción,Modo de Falla,Fuente,Controlador de motor,Código,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:47:32 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:08:07 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:08:07 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:08:27 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:25:19 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:25:19 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:25:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:55:25 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:55:25 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 10:55:44 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:13:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:13:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:13:27 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:17:24 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:17:24 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:17:44 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:25:25 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:25:26 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 12:25:45 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 1:01:37 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 1:01:37 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 1:01:56 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 3:24:57 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 3:24:57 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 3:25:17 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:14:59 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:14:59 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 5:15:19 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 6:57:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 6:57:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 6:57:27 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 7:08:37 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 7:08:37 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 7:08:57 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:36:30 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:36:31 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 01, 2025 8:36:51 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:36:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:36:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:36:59 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 9:00:19 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 9:00:19 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 9:00:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:10:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:10:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:10:59 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:26:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:26:40 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 10:27:00 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 11:01:53 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 11:01:53 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 11:12:54 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 11:12:54 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 11:13:14 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 1:57:11 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 1:57:12 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 1:57:32 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:08:47 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:08:47 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:09:07 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:14:53 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:14:54 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:15:13 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:26:25 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:26:26 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:26:46 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:31:29 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:31:30 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:31:49 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:48:29 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:48:30 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 3:48:50 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:38:05 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:38:06 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 5:38:26 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 7:25:55 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 7:25:55 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 02, 2025 7:26:15 p. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 5:34:38 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 5:34:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 5:34:59 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:40:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:40:39 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:40:58 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:50:14 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:50:14 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 6:50:34 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 8:51:56 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 8:51:56 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 8:52:16 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:01:28 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:01:29 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:01:49 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:16:38 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:16:38 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 10:16:58 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 11:06:24 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 11:06:24 a. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 11:06:44 a. m.","ene. 00, 1900 12:00:00 a. m.",0,La luz de advertencia del vehículo está encendida,,Telematics Device,Telematics device,168,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 1:30:58 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
A-05502-A,"Vehicle, Conductores del mundo","sep. 03, 2025 1:30:58 p. m.","ene. 00, 1900 12:00:00 a. m.",0,System too rich at idle bank 1,No sub type information,OBD with Source Address Information,OBD Powertrain,P2188,,
