alert_type,placa,plaza_limpia,seatbelt_off_rate_30d,high_speed_ratio_30d,idle_hours_ratio_30d,telemetry_health_score,suggested_scenario,risk_score,needs_protection
safety,A1343H,EDOMEX - TLANEPANTLA,0.4826562304541236,0.490289017451593,0.272506270966147,0.6864557204307721,restructure-light,0.4752811172984861,1
safety,NYE3957,EDOMEX - TLANEPANTLA,0.4823560762811379,0.4822137153109591,0.4518675762857886,0.6117218432142547,restructure-light,0.4420728129991204,1
safety,A04684A,AGUASCALIENTES,0.4803284188595747,0.4841339952908558,0.6677819724388443,0.55,advisor-review,0.3230821146818353,1
safety,6CS8F90,EDOMEX - ECATEPEC,0.4797903220964367,0.4133637075300369,0.5981451634928016,0.550772848544666,advisor-review,0.2413630490572709,1
safety,A5208G,EDOMEX - TLANEPANTLA,0.4784718907262693,0.5010532294660129,0.523816116196664,0.5817432849180566,restructure-light,0.4965430775272368,1
safety,CR5903,EDOMEX - TLANEPANTLA,0.4776838710870238,0.4602716888062991,0.5912387435132492,0.5536505235361462,restructure-light,0.3374074596383312,1
safety,N28BEP,EDOMEX - TLANEPANTLA,0.4771134984544756,0.4458239932684127,0.4046053183232422,0.6314144506986491,restructure-light,0.402656346545777,1
safety,0116YXA,EDOMEX - ECATEPEC,0.476880943581824,0.4009955218889711,0.4653133525239263,0.606119436448364,restructure-light,0.4647697676331186,1
safety,A04511A,AGUASCALIENTES,0.4754974109156207,0.3874160024340126,0.261394553079983,0.6910856028833404,advisor-review,0.2518079587884881,1
safety,CR5763,EDOMEX - ECATEPEC,0.4747148621645913,0.3724626742970638,0.3006146844529511,0.6763306868890815,monitor,0.1514753228699228,0
safety,A05164A,AGUASCALIENTES,0.4729971817190144,0.5205768388196874,0.5579193736125959,0.567533594328085,advisor-review,0.2145794402414843,1
safety,MVJ923A,EDOMEX - ECATEPEC,0.4720142533856308,0.4784230497184443,0.3265515771425239,0.6639368428572817,advisor-review,0.1282290425760128,1
safety,P08BJW,EDOMEX - TLANEPANTLA,0.471894253028394,0.5077117906362136,0.3495344699359599,0.6543606375266833,restructure-light,0.5111247533921988,1
safety,A9425H,EDOMEX - TLANEPANTLA,0.4717231571485118,0.3636110092532918,0.6060332504376911,0.5534503138414122,restructure-light,0.4292291849920777,1
safety,PEF2218,EDOMEX - ECATEPEC,0.4709499333243978,0.3845500139531391,0.4115947912681341,0.628502170304944,restructure-light,0.4150532211830223,1
safety,B36AYC,EDOMEX - TLANEPANTLA,0.4705469140024507,0.44682712773879,0.6596174899697689,0.55,restructure-light,0.4919682796979402,1
safety,A3864B,EDOMEX - TLANEPANTLA,0.4693129265542772,0.3648720632128461,0.4307170516285799,0.6237193906187206,restructure-light,0.4329743967913329,1
safety,Z50BGG,EDOMEX - TLANEPANTLA,0.4686372889016584,0.4721575264781464,0.6356675071533455,0.55,restructure-light,0.4954867970757393,1
safety,NHU5137,EDOMEX - ECATEPEC,0.4683468419118378,0.4914969092560415,0.5851652654787358,0.55618113938386,restructure-light,0.4571981722906681,1
safety,NJT3199,EDOMEX - ECATEPEC,0.4664125533243051,0.3969251884382642,0.6092436033165439,0.55,restructure-light,0.4991173004679154,1
safety,A04229A,AGUASCALIENTES,0.466396167434395,0.3779507801461152,0.4825357282229728,0.5993748612798423,advisor-review,0.2722258302013602,1
safety,NXW6665,EDOMEX - TLANEPANTLA,0.4657960052127746,0.5082330501005452,0.6394362386614618,0.55,advisor-review,0.2089099395358669,1
safety,A4193A,EDOMEX - TLANEPANTLA,0.4651727028708926,0.4214492393051986,0.646940807059823,0.55,restructure-light,0.4863357146047277,1
safety,A04429A,AGUASCALIENTES,0.4646637863498369,0.4984814261055724,0.2938675074416274,0.6775552052326552,advisor-review,0.2310928407004075,1
telemetry,A5007M,EDOMEX - TLANEPANTLA,0.3426792410617695,0.2021264936319525,0.5485001671639078,0.264678903966669,restructure-light,0.3768942438096282,1
telemetry,PBV4760,EDOMEX - TLANEPANTLA,0.2857778365853588,0.329198664423566,0.5263632080830616,0.2661177357863628,restructure-light,0.4984487135296347,1
telemetry,LHN874B,EDOMEX - TLANEPANTLA,0.2129413294751813,0.3754380759890757,0.5459980259933193,0.2724807843993213,restructure-light,0.4101058357088423,1
telemetry,CR5903,EDOMEX - TLANEPANTLA,0.2455917801445477,0.3416143185838649,0.5242440667095164,0.2777822415771263,restructure-light,0.3249415633566249,1
telemetry,NYX6756,EDOMEX - ECATEPEC,0.3460393066363545,0.3129036636891172,0.4546328174146477,0.2793487683516136,restructure-light,0.4037396267769314,1
telemetry,A4981E,EDOMEX - TLANEPANTLA,0.3311168704525961,0.3197221588179353,0.4506639006519248,0.2845411564053023,restructure-light,0.4526848938871816,1
telemetry,A4792J,EDOMEX - TLANEPANTLA,0.2669528854495167,0.3264111272327596,0.4944957601757325,0.2862576727279371,restructure-light,0.5438452663127871,1
telemetry,V25AUE,EDOMEX - ECATEPEC,0.3155318079102127,0.1553686581225671,0.5408980907705738,0.2867393350251583,restructure-light,0.4821014766477069,1
telemetry,A3861B,EDOMEX - ECATEPEC,0.2313828470252702,0.3475683085787206,0.5085753609449157,0.2877937084409381,restructure-light,0.4863851769433752,1
telemetry,PEZ7226,EDOMEX - ECATEPEC,0.271083611685704,0.2250095493086647,0.5359661759184209,0.2889491247053535,restructure-light,0.4609915706759118,1
telemetry,TR56,EDOMEX - ECATEPEC,0.3381748324132678,0.1860484794314636,0.5005731509186839,0.289534808713186,monitor,0.1095841700053781,0
telemetry,L37AZX,EDOMEX - ECATEPEC,0.3050905510731707,0.3557871803856988,0.4360287006463226,0.2917219600812493,restructure-light,0.5332120013034005,1
telemetry,CR5850,EDOMEX - TLANEPANTLA,0.2432065450392954,0.3268680644817384,0.4963613221170009,0.2932996047402413,monitor,0.2925603393098216,0
telemetry,NWT2578,EDOMEX - TLANEPANTLA,0.2750514009252466,0.188658336583424,0.5397003642074875,0.2937235033945859,restructure-light,0.4350785768522315,1
telemetry,NBF241A,EDOMEX - ECATEPEC,0.1807814447452499,0.3430668288369341,0.531456125295567,0.2960748706671461,advisor-review,0.2712244440474259,1
telemetry,B49BEB,EDOMEX - ECATEPEC,0.2585405833690958,0.1815367644789556,0.5459634122617314,0.2981167842284841,restructure-light,0.5338960888437168,1
telemetry,A02033A,AGUASCALIENTES,0.2444147850380399,0.2232397771627586,0.527764772822092,0.3016285684877098,restructure-light,0.3929723936808461,1
telemetry,A0814M,EDOMEX - TLANEPANTLA,0.3099440587057274,0.3662375801676671,0.4019226737147268,0.302114884593937,restructure-light,0.5221081141188424,1
telemetry,PBZ4742,EDOMEX - TLANEPANTLA,0.3423104052186266,0.1845130743513917,0.4676962826497384,0.3021782227315458,restructure-light,0.5371312969164361,1
telemetry,PCT9966,EDOMEX - ECATEPEC,0.2808921691536257,0.3369764434647306,0.4380288130773676,0.3029148623494185,restructure-light,0.5441141865656838,1
telemetry,F87AEX,EDOMEX - TLANEPANTLA,0.1323726435936089,0.3724991434030816,0.5329962350279227,0.3053731485784435,restructure-light,0.5149878836150878,1
telemetry,A4404M,EDOMEX - ECATEPEC,0.2191151805606802,0.350173745874248,0.4704814726487876,0.3072068709376736,restructure-light,0.4186820378704231,1
telemetry,A24778E,EDOMEX - TLANEPANTLA,0.3408359131393241,0.3232729496501837,0.3859431727559876,0.3075209105543146,advisor-review,0.2191540992406507,1
telemetry,LGM538A,EDOMEX - TLANEPANTLA,0.2344138074643221,0.2515813160104989,0.4998266950554295,0.3106364536576393,restructure-light,0.3776028171880247,1
telemetry,A00217A,AGUASCALIENTES,0.1395006224426209,0.331954579286699,0.5339458390981884,0.3111371849748744,advisor-review,0.1826032333651669,1
telemetry,PBG6023,EDOMEX - TLANEPANTLA,0.2593627248141017,0.1645859957758045,0.5217900867870958,0.3114835389127874,restructure-light,0.4801032457541124,1
telemetry,A6069L,EDOMEX - ECATEPEC,0.3178327290615368,0.1910789609769425,0.4601696641671364,0.3120912472304913,restructure-light,0.4349118715134451,1
telemetry,CR5855,EDOMEX - TLANEPANTLA,0.2692558033340573,0.3314324272563541,0.4271727916758723,0.3124841545135911,monitor,0.1033490556311577,0
telemetry,A4521C,EDOMEX - TLANEPANTLA,0.1411384022285428,0.3075051571577658,0.5405393163926848,0.3129912229375128,restructure-light,0.3970284150702056,1
telemetry,203ZCT,EDOMEX - ECATEPEC,0.2950059880078925,0.2369373520453942,0.4528274084383182,0.3131050360157061,restructure-light,0.5189020934268664,1
telemetry,CR5903,EDOMEX - TLANEPANTLA,0.2455917801445477,0.3416143185838649,0.5242440667095164,0.313701862813339,restructure-light,0.3206330797462678,1
telemetry,ECO026R,EDOMEX - TLANEPANTLA,0.2912966466021106,0.1536914219127001,0.4948335224610125,0.3143643946168148,restructure-light,0.5212236328941298,1
telemetry,MZY949B,EDOMEX - TLANEPANTLA,0.2258081962550342,0.3028990130063013,0.4682143110942391,0.3158730916945711,restructure-light,0.5588295872055578,1
telemetry,A3750L,EDOMEX - TLANEPANTLA,0.3333384100191155,0.2304367025182851,0.5275155084418607,0.3178146991360688,restructure-light,0.4456638519449953,1
telemetry,A02350A,AGUASCALIENTES,0.1292555914625006,0.3620279892671267,0.5096855529242316,0.3183294036676574,advisor-review,0.2112097079273401,1
telemetry,N86BHC,EDOMEX - TLANEPANTLA,0.1521261556252534,0.3189550464256741,0.512487937107755,0.3186062101702265,restructure-light,0.4994928181480212,1
telemetry,A2591J,EDOMEX - TLANEPANTLA,0.206140410164156,0.3259303350968208,0.459070352730491,0.3213903036556145,restructure-light,0.4279853900741702,1
telemetry,LTY048A,EDOMEX - ECATEPEC,0.2606315060097253,0.0867824637875895,0.5360387064584685,0.321503377929395,restructure-light,0.405461722758875,1
telemetry,NKH9513,EDOMEX - TLANEPANTLA,0.2078583479698776,0.1582530290817315,0.5406535964147386,0.322125124995465,restructure-light,0.4331067967468206,1
telemetry,A929JMF,EDOMEX - TLANEPANTLA,0.2094123136432878,0.1896341305637605,0.521903044407968,0.3228133187600555,restructure-light,0.4119095612282216,1
telemetry,NTD7979,EDOMEX - ECATEPEC,0.2640904563857024,0.2289828551398351,0.4582301948207726,0.3228336831578997,restructure-light,0.484122540852959,1
telemetry,MXM893A,EDOMEX - ECATEPEC,0.2874625723651635,0.212784394474475,0.4963809388647577,0.3228771492128192,restructure-light,0.3933792048730436,1
telemetry,A05175A,AGUASCALIENTES,0.2382547589471685,0.1858597734297288,0.4941300670432215,0.3255658457293077,advisor-review,0.2957602325946938,1
telemetry,A6839B,EDOMEX - TLANEPANTLA,0.3193980412872566,0.0550004305397018,0.4884181885723814,0.3284473696573973,restructure-light,0.3875900154593489,1
telemetry,A9926G,EDOMEX - TLANEPANTLA,0.3242691558512927,0.1649908171448013,0.4272168232773732,0.3291683628114071,restructure-light,0.4123771402486959,1
telemetry,LKH469A,EDOMEX - ECATEPEC,0.2286940221915073,0.2042919826276035,0.4815457042647157,0.3301157773779495,restructure-light,0.3641739169734764,1
telemetry,K0088915,EDOMEX - TLANEPANTLA,0.3440382636253765,0.1566855478838639,0.4105434338707365,0.3312743835452892,restructure-light,0.5098406023290492,1
telemetry,A04559A,AGUASCALIENTES,0.166160885319534,0.2473869003023305,0.5067379881892099,0.3313907571194237,advisor-review,0.2468190315888302,1
telemetry,NXW6665,EDOMEX - TLANEPANTLA,0.3215386131691869,0.1286985954102824,0.4412151019021875,0.3318863953453527,advisor-review,0.1724620253641391,1
telemetry,PWR358D,EDOMEX - ECATEPEC,0.2703961647271282,0.1957098211860601,0.4449023115505383,0.3332899143267817,restructure-light,0.540401322147579,1
